step,file,dims,array,missing,nonfinite_count,fluid_nonfinite_count,nonfinite_cell_count,fluid_nonfinite_cell_count,finite_min,finite_max,bad_bbox,fluid_bad_bbox,phi_gt_threshold_fluid,boundary_available,boundary_nonfinite_count,boundary_cell_count,fluid_cell_count,speed_max,speed_mean
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,PhaseField,False,0,0,0,0,0.0,0.9997192263130218,,,49928,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,U,False,0,0,0,0,0.0,0.0,,,,True,0,80520,1492344,0.0,0.0
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,P,False,0,0,0,0,0.0,0.0,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,Rho,False,0,0,0,0,0.0,0.9997108987965971,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallPhasePred,False,0,0,0,0,0.0,1.0028510456102697,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallPhaseProfilePred,False,0,0,0,0,0.0,0.9998532782184653,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallPhaseSignedProfilePred,False,0,0,0,0,0.0,0.9997192263130221,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallPhaseRawPred,False,0,0,0,0,0.0,1.0028510456102697,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallPhaseSignedPred,False,0,0,0,0,0.0,0.9997192263130221,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallContactResidual,False,0,0,0,0,-0.018317647591986508,1.1469636258094469,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallSignedNormalGrad,False,0,0,0,0,-0.1539321652831424,1.2986345624595854e-08,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallTangentGradMag,False,0,0,0,0,0.0,0.0842642141746207,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallSignedDeltaQ,False,0,0,0,0,0.0,4.852683375567842,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,WallSignedQClipped,False,0,0,0,0,0.0,0.0,,,,True,0,80520,1492344,,
0,/mnt/8A0E24070E23EAC1/runs/tclb_flat_wall_cap_stage7_signedwrite_gate_20260612/cap_theta030_wall011/output/case_VTK_P00_00000000.vti,128x96x128,BoundaryMask,False,0,0,0,0,0.0,1.0,,,,True,0,80520,1492344,,
