step,mask,field,max_abs,p99_abs,p999_abs,nonfinite
12,low_rho,ReplayPhaseFromH,0.019902763285619355,0.001485722345590509,0.015127193234003897,0
12,low_rho,ReplayHPostMaxAbs,0.006011434286369104,0.00045211442597842114,0.004558478423898781,0
12,low_rho,ReplayFphiMaxAbs,0.0019185696264035043,0.00012318749707941772,0.0012322151779005275,0
12,low_rho,ReplayTmp1,0.026347367215061392,0.00199217639540949,0.020108374282112918,0
12,low_rho,ReplayPressureInput,0.011968349263321394,0.0011305915436326487,0.011967063192205257,0
12,low_rho,FmuRawNorm,0.22612018335423656,9.70876608953416e-05,0.13927396471283898,0
12,low_rho,ForceOverRhoNorm,41.409622900033895,0.01525888317177955,27.83172084777494,0
12,low_rho,StressInputNorm,5.8663823014956185,0.9521516843479435,3.483413144515897,0
12,low_rho,StressPreForceNorm,5.8663823014956185,0.9521516843479435,3.483413144515897,0
12,low_rho,StressPostForceNorm,466.2979644555277,0.8705629515291612,200.62662554706134,0
12,low_rho,StressPostMinusPreNorm,460.43158215403207,0.28215297432797914,197.14321240254543,0
12,low_rho,StressPostOverPreRatio,79.48646039257385,1.014370161837711,57.59484081379131,0
12,low_rho,UPostForceNorm,20.01716372132625,1.3100579032450854,13.223339182231951,0
12,low_rho,PhaseAdvVelocityNorm,1.9235508634461922,0.6990796055577978,1.4117143082728312,0
12,near_interface_wall,ReplayPhaseFromH,0.9894731259433991,0.9888395051430969,0.9894731259433991,0
12,near_interface_wall,ReplayHPostMaxAbs,0.2931650977569104,0.2929788957089905,0.2931650977569104,0
12,near_interface_wall,ReplayFphiMaxAbs,0.021424864418012505,0.02140885762244319,0.0214248644180125,0
12,near_interface_wall,ReplayTmp1,0.3333328666177778,0.3332190672936668,0.3333328666177778,0
12,near_interface_wall,ReplayPressureInput,0.0002963311346358433,0.0002257226710261608,0.00029633113463584283,0
12,near_interface_wall,FmuRawNorm,0.005900278442885635,0.005145198791636172,0.005900278442885632,0
12,near_interface_wall,ForceOverRhoNorm,0.4107523775828181,0.33128085619678516,0.4107523775828178,0
12,near_interface_wall,StressInputNorm,0.13081480524965824,0.10974674457190045,0.13081480524965822,0
12,near_interface_wall,StressPreForceNorm,0.13081480524965824,0.10974674457190045,0.13081480524965822,0
12,near_interface_wall,StressPostForceNorm,0.11204406497918144,0.09608632173467901,0.11204406497918139,0
12,near_interface_wall,StressPostMinusPreNorm,0.018984070397828803,0.013772347346760194,0.01898407039782877,0
12,near_interface_wall,StressPostOverPreRatio,1.0005517603017264,1.0005372305269666,1.0005517603017264,0
12,near_interface_wall,UPostForceNorm,0.22991787116348203,0.18297599430379305,0.2299178711634819,0
12,near_interface_wall,PhaseAdvVelocityNorm,0.07752232555522127,0.0602544719616854,0.07752232555522118,0
12,fluid_all,ReplayPhaseFromH,1.0000221338821245,0.9963782139519086,1.0000165301158779,0
12,fluid_all,ReplayHPostMaxAbs,0.2963012429230519,0.2951712031932471,0.2962999176987081,0
12,fluid_all,ReplayFphiMaxAbs,0.024413896900741583,0.010462905797924872,0.02122384613911345,0
12,fluid_all,ReplayTmp1,0.33333332961544637,0.17557515829421164,0.3317337010314326,0
12,fluid_all,ReplayPressureInput,0.011968349263321394,0.0011296720789225033,0.011966986573266421,0
12,fluid_all,FmuRawNorm,0.22612018335423656,0.00012387414660469187,0.13675653260633464,0
12,fluid_all,ForceOverRhoNorm,41.409622900033895,0.013638695786329782,27.44304200624858,0
12,fluid_all,StressInputNorm,5.8663823014956185,0.9506187951023216,3.4269647848951377,0
12,fluid_all,StressPreForceNorm,5.8663823014956185,0.9506187951023216,3.4269647848951377,0
12,fluid_all,StressPostForceNorm,466.2979644555277,0.8694693598409419,194.5775970958154,0
12,fluid_all,StressPostMinusPreNorm,460.43158215403207,0.24738314948844362,191.15142163129497,0
12,fluid_all,StressPostOverPreRatio,79.48646039257385,1.011674724884896,56.791659891412536,0
12,fluid_all,UPostForceNorm,20.01716372132625,1.3092530321006193,13.028306020003685,0
12,fluid_all,PhaseAdvVelocityNorm,1.9235508634461922,0.6981313748100023,1.402696992295158,0
12,interface_wide,ReplayPhaseFromH,0.9899174323443523,0.9885915128305324,0.989732512508549,0
12,interface_wide,ReplayHPostMaxAbs,0.29322481643951687,0.29282393031292764,0.2931650977569104,0
12,interface_wide,ReplayFphiMaxAbs,0.024413896900741583,0.023377283372292907,0.024381738130362627,0
12,interface_wide,ReplayTmp1,0.33333332961544637,0.3332365742682251,0.33333326736717706,0
12,interface_wide,ReplayPressureInput,0.0002963311346358433,4.359804319780028e-05,0.00021538397164127702,0
12,interface_wide,FmuRawNorm,0.005900278442885635,0.002068963476762238,0.00503627831540087,0
12,interface_wide,ForceOverRhoNorm,0.4107523775828181,0.08350079080530462,0.32015429203679685,0
12,interface_wide,StressInputNorm,0.13081480524965824,0.03619437673941871,0.10697123244336292,0
12,interface_wide,StressPreForceNorm,0.13081480524965824,0.03619437673941871,0.10697123244336292,0
12,interface_wide,StressPostForceNorm,0.11204406497918144,0.035386418595260746,0.09410629717266816,0
12,interface_wide,StressPostMinusPreNorm,0.018984070397828803,0.0008079581441579678,0.013025461047814787,0
12,interface_wide,StressPostOverPreRatio,1.0031729715425344,1.0003446357481864,1.0021038944213998,0
12,interface_wide,UPostForceNorm,0.22991787116348203,0.04009886880087642,0.17640145603221632,0
