label,final_step,H1_minus_H2_error_percent,measured_H1_minus_H2_lu,fit_contact_angle_deg,fit_angle_offset_deg,fluid_phase_drift_percent,fluid_rho_drift_percent,phase_max,max_mach,max_nonfinite_count,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_pred_max,wall_phase_profile_pred_max,phase_wall_max,phase_fluid_max
baseline M0.1 W6,200000,28.30167807108231,25.164747316950226,46.08245537145331,16.082455371453307,-2.7866170456135873,-2.742949946254566,1.4318890182653934,0.0005960404740080798,0,,,,,,,
baseline M0.2 W6,200000,19.317803894754583,23.40267431078651,43.764889962858064,13.764889962858064,-3.5093172411398657,-3.4543252195802574,1.4273791122325794,0.0006677853550703425,0,,,,,,,
baseline M0.2 W8,200000,17.46761239862317,23.039782708836285,42.95139339680901,12.95139339680901,-3.226817036461518,-3.1775590969175287,1.254020767404223,0.0007726763435722583,0,,,,,,,
profile M0.1 W6,200000,39.44908176511726,27.351169204939964,54.87418900050058,24.87418900050058,-1.5318834550326015,-1.5078783958722097,1.0000004295672509,0.000571792917989038,0,4478,52,132,1.7048204384422396,1.0000002177629779,1.0000002177629779,1.0000004295672509
