status,step,file,dims,phase_nonfinite_count,phase_min,phase_max,phase_sum,phase_clipped_sum,fluid_cell_count,fluid_phase_sum,fluid_phase_clipped_sum,boundary_cell_count,wall_phase_sum,top_interface_z_lu,measured_Hmax_lu,measured_H1_minus_H2_lu,fit_contact_angle_deg,fit_contact_angle_x_slice_deg,fit_contact_angle_y_slice_deg,fit_x_point_count,fit_y_point_count,u_nonfinite_count,u_max_fluid,u_max_interface_band,u_max_contact_interface_band,mach_max_fluid,mach_max_interface_band,rho_nonfinite_count,rho_sum,fluid_rho_sum,target_expected_Hmax_lu,target_expected_H1_minus_H2_lu,target_liquid_spherical_cap_radius_lu,target_liquid_solid_center_distance_lu,Hmax_relative_error_percent,H1_minus_H2_relative_error_percent,phase_sum_rel_change,phase_clipped_sum_rel_change,fluid_phase_sum_rel_change,fluid_phase_clipped_sum_rel_change,rho_sum_rel_change,fluid_rho_sum_rel_change
exploratory_not_validation,0,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00000000.vti,96x80x140,0,-2.6917312936231506e-17,1.0,107974.0960153977,107974.0960153977,954036,59987.78315628944,59987.78315628944,121164,47986.31285910823,95.48976686071707,71.48976686071707,47.48976686071707,163.59725731395724,163.59725731395724,163.59725731395724,184,184,0,0.0,0.0,0.0,0.0,0.0,0,60881.83137313317,60881.83137313318,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,15.576916683566491,25.452728663976792,0.0,0.0,0.0,0.0,0.0,0.0
exploratory_not_validation,20000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00020000.vti,96x80x140,0,1.5472880210778167e-08,1.0,108135.92981591601,108135.92981591601,954036,59957.41053249371,59957.41053249371,121164,48178.5192834223,94.65326746767387,70.65326746767387,46.65326746767387,150.03642349064904,150.03831735475444,150.03452962654364,176,176,0,0.00014357129949351004,7.74914874688974e-05,7.749148746889326e-05,0.0002486727852314472,0.00013421919345021728,0,60851.489121961225,60851.48912196122,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,14.224555011385235,23.24296562827245,0.0014988206105955707,0.0014988206105955707,-0.0005063134891416025,-0.0005063134891416025,-0.0004983794095480701,-0.0004983794095483091
exploratory_not_validation,40000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00040000.vti,96x80x140,0,1.5968395141148427e-08,1.0,108224.60607622922,108224.60607622922,954036,59941.04555514161,59941.04555514161,121164,48283.56052108762,93.33847360675165,69.33847360675165,45.33847360675165,139.2727401321197,139.2758504908649,139.2696297733745,172,172,0,0.00012314284415830922,6.123125910040056e-05,6.116660523240685e-05,0.0002132896626707279,0.00010605565177330796,0,60835.14050958644,60835.14050958641,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,12.098938616301243,19.769702051992862,0.0023200940788222703,0.0023200940788222703,-0.0007791186586453046,-0.0007791186586453046,-0.0007669096427236892,-0.0007669096427242866
exploratory_not_validation,60000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00060000.vti,96x80x140,0,1.5798343447610796e-08,1.0,108297.49134785814,108297.49134785814,954036,59927.875672910035,59927.875672910035,121164,48369.61567494814,92.26344599356774,68.26344599356774,44.26344599356774,131.92436260489188,131.92755226167677,131.92117294810703,170,170,0,9.546282923968786e-05,4.8467628336807405e-05,4.844717910519341e-05,0.0001653464704774112,8.394839480171547e-05,0,60821.98379723714,60821.9837972371,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,10.36095033717366,16.929823981869045,0.002995119611043738,0.002995119611043738,-0.0009986613978270752,-0.0009986613978270752,-0.0009830120833461717,-0.0009830120833468888
exploratory_not_validation,80000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00080000.vti,96x80x140,0,1.540614312242389e-08,1.0,108356.94082522669,108356.94082522669,954036,59917.28362660751,59917.28362660751,121164,48439.65719861918,91.4064631494094,67.4064631494094,43.406463149409404,126.71598285692333,126.7186903164703,126.71327539737636,168,168,0,7.489035220723397e-05,3.9106331647569956e-05,3.9097630139281455e-05,0.00012971389501965726,6.77341533112299e-05,0,60811.402342980895,60811.4023429809,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,8.975473238451162,14.665950239696379,0.003545709794823243,0.003545709794823243,-0.001175231455015702,-0.001175231455015702,-0.001156815236398388,-0.001156815236398388
exploratory_not_validation,100000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00100000.vti,96x80x140,0,1.5604949562390235e-08,1.0,108405.4413213188,108405.4413213188,954036,59908.72879968308,59908.72879968308,121164,48496.7125216357,90.71014095469182,66.71014095469182,42.71014095469182,122.8450297859452,122.84731782112013,122.84274175077026,166,166,0,5.936159495593962e-05,3.179643604297535e-05,3.178767403152765e-05,0.00010281729848201181,5.507304272604762e-05,0,60802.856070883376,60802.85607088338,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,7.849734887106583,12.826490391160695,0.003994896200469931,0.003994896200469931,-0.0013178409410529422,-0.0013178409410529422,-0.0012971899903235905,-0.0012971899903235905
exploratory_not_validation,120000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00120000.vti,96x80x140,0,1.6083787038827635e-08,1.0,108444.89873783368,108444.89873783368,954036,59901.82274501206,59901.82274501206,121164,48543.075992821636,90.15277906204793,66.15277906204793,42.15277906204793,119.92670839083874,119.88060900079307,119.97280778088441,166,165,0,4.726122707590087e-05,2.5882924236194407e-05,2.5882924236194407e-05,8.18588465235102e-05,4.483053982554459e-05,0,60795.95692226708,60795.956922267025,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,6.948652510460929,11.354119080293419,0.004360330299675113,0.004360330299675113,-0.0014329652931735117,-0.0014329652931735117,-0.0014105103103712689,-0.0014105103103723442
exploratory_not_validation,140000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00140000.vti,96x80x140,0,1.601830665453074e-08,1.0,108476.92448953295,108476.92448953295,954036,59896.25198075459,59896.25198075459,121164,48580.67250877834,89.68840492340337,65.68840492340337,41.68840492340337,117.76667089705529,117.76776660629024,117.76557518782036,162,162,0,3.7721891472451306e-05,2.1071332805751767e-05,2.1063131639017474e-05,6.533623258788484e-05,3.649661900275493e-05,0,60790.39172877379,60790.39172877384,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,6.197902669064863,10.127391583719138,0.004656936179058483,0.004656936179058483,-0.0015258302727470512,-0.0015258302727470512,-0.0015019200687141521,-0.0015019200687135545
exploratory_not_validation,160000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00160000.vti,96x80x140,0,1.5633147641555743e-08,1.0,108502.89847159796,108502.89847159796,954036,59891.75639005709,59891.75639005709,121164,48611.14208154086,89.3207147085494,65.3207147085494,41.3207147085494,115.96993193487418,115.97001272072998,115.96985114901838,162,162,0,3.0178175498749876e-05,1.714270528498282e-05,1.7134876933283143e-05,5.227013324356503e-05,2.9692036532769756e-05,0,60785.900633667035,60785.90063366705,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,5.60346093014669,9.156071996243332,0.004897493711129044,0.004897493711129044,-0.0016007720435704273,-0.0016007720435704273,-0.0015756874801974342,-0.0015756874801973145
exploratory_not_validation,180000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00180000.vti,96x80x140,0,1.600080603537151e-08,1.0,108523.97133238148,108523.97133238148,954036,59888.123754403765,59888.123754403765,121164,48635.84757797773,89.01539723678208,65.01539723678208,41.01539723678208,114.54774573105695,114.54693869445138,114.54855276766253,162,162,0,2.419635307801681e-05,1.3959744021934087e-05,1.3952573813032828e-05,4.190931288900071e-05,2.4178985906645746e-05,0,60782.27163064937,60782.27163064939,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,5.109856690742191,8.34952118595327,0.0050926596033307615,0.0050926596033307615,-0.0016613283012314288,-0.0016613283012314288,-0.0016352948036931153,-0.0016352948036928762
exploratory_not_validation,200000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_200k_20260610/theta100/output/case_VTK_P00_00200000.vti,96x80x140,0,1.613818099669323e-08,1.0,108541.08201832008,108541.08201832008,954036,59885.18371171987,59885.18371171987,121164,48655.89830660023,88.76579308046792,64.76579308046792,40.765793080467915,113.41422118299363,113.41434108963858,113.41410127634866,160,160,0,1.9444660397037815e-05,1.1391679573068894e-05,1.1385211319961735e-05,3.3679139743591916e-05,1.9730967804099864e-05,0,60779.334528008134,60779.33452800815,61.85471018961866,37.85471018961866,24.61294762521191,37.24176256440675,4.706323709100229,7.690147081478909,0.005251129889909177,0.005251129889909177,-0.0017103389918955345,-0.0017103389918955345,-0.0016835374825841742,-0.0016835374825840545
