status,step,file,dims,shell_min_lu,shell_max_lu,phase_floor,shell_fluid_cell_count,shell_liquid_cell_count,shell_phi_sum,shell_phi_mean,theta_weighted_mean_deg,theta_weighted_p90_deg,theta_weighted_p95_deg,theta_weighted_p99_deg,theta_max_phi005_deg,theta_max_phi05_deg,theta_gt05_cell_count,theta_gt005_cell_count,top60_phi_sum,top90_phi_sum,lower90_phi_sum,bottom120_phi_sum,bottom135_phi_sum,bottom150_phi_sum,zmin_plane_zmax_lu,zmin_outside_sphere_phi_sum,zmin_outside_sphere_phi_fraction_of_shell,zmin_outside_sphere_phi_max,zmin_outside_sphere_cell_count,zmin_near_sphere_phi_sum,zmin_near_sphere_phi_fraction_of_shell,zmin_near_sphere_phi_max,zmin_near_sphere_cell_count,lower90_phi_fraction,bottom120_phi_fraction,bottom135_phi_fraction,bottom150_phi_fraction,bottom150_phi_max,global_fit_angle_deg,global_H1H2_error_percent,global_H1H2_lu,global_fluid_phase_drift_percent
exploratory_not_validation,0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00000000.vti,96x80x180,0.0,8.0,1e-06,77706,23903,3115.8220754502304,0.040097573873963795,17.869740605305434,27.92746040295835,30.65330424928928,36.08051649158879,35.795759914707084,27.474785630176836,2908,6362,3115.8068846555366,3115.8220754502304,0.0,0.0,0.0,0.0,8.0,0.0,0.0,nan,0,0.0,0.0,nan,0,0.0,0.0,0.0,0.0,nan,163.59725731394778,142.1250928011663,47.48976686071707,0.0
exploratory_not_validation,50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_z48_gap24_outer90_sphere11_normal_path_v6diag_50k_20260611/theta030/output/case_VTK_P00_00050000.vti,96x80x180,0.0,8.0,1e-06,77706,77706,10800.271829349611,0.13898890470941255,34.06068980323535,57.76477143739746,77.43777170469787,115.75182064793026,116.47085311678956,52.05243592619335,9370,21391,9795.99973316508,10489.19085080795,341.39887620670004,87.77033523632565,39.43223912318217,15.110327247288708,8.0,0.0,0.0,nan,0,0.0,0.0,nan,0,0.03161021144661865,0.008126678348762557,0.003651041357683751,0.0013990691610396855,0.02007759519640837,107.12571932305862,104.71912301552241,40.15306018662592,-0.6185642768798076
