case,step,failures,PhaseField_max_abs,ReplayPhaseFromH_max_abs,ReplayPhaseConsumed_max_abs,ReplayFtotal_max_abs,ReplayFtotalIter1_max_abs,ReplayForceOverRho_max_abs,ReplayUPostForce_max_abs,ReplayPhaseAdvVelocity_max_abs,ReplayUPreForce_max_abs,ReplayStressYY_max_abs,ReplayFphiMaxAbs_max_abs,ReplayMu_max_abs,ReplayPressureMoment_max_abs,ReplayRho_max_abs
legacy_ff2,0,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,0.9999999810930902,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
legacy_ff2,1,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,0.9999999717996106,0.9999999717996106,0.9999999810930902,2.903238318565417e-05,2.9033551827076453e-05,0.010401530394048147,0.005200765197024074,,0.0,4.860474480344378e-05,0.02440638872501261,9.717740691643747e-05,0.0,0.9999999811119971
legacy_ff2,2,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,0.999999968229641,0.999999968229641,0.9999999717996106,2.651139432085885e-05,2.6547662904634463e-05,0.01905931035715159,0.009529655178575793,,0.0041380840167372784,0.00317280945722721,0.02441337868198854,9.456908590777984e-05,0.0041380840167372784,0.9999999718278111
legacy_ff2,3,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,0.9999999661570658,0.9999999661570658,0.999999968229641,0.002086900587635471,0.00045411484953278297,2.086900587635471,1.045681838666035,,0.007068103501728075,0.04652049845022684,0.02441507506800575,9.205764770938491e-05,0.008951674617643644,0.9999999682614114
legacy_ff2,4,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,11662.121723741535,11662.121723741535,0.9999999661570658,91.23955081064909,0.08824267694892365,91239.55081064899,45619.77812499813,,0.4218382809108,2270.916828598856,0.02441583983602182,9.092299917198032e-05,1.2839799612930698,0.9999999661909087
legacy_ff2,5,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,4.6343351277418636e+49,4.6343351277418636e+49,11662.121723741535,4.110281889982387e+22,311754186.81560695,7.731575168041009e+26,3.865787584020505e+26,,1213966804.4040344,1.3942823123650412e+24,13433752.61442844,1269049478.0865753,2428024847.7084236,11650.458602017794
legacy_ff2,6,nonfinite_PhaseField_step_6|nonfinite_ReplayPhaseFromH_step_6,8.656145247982665e+306,8.656145247982665e+306,4.6343351277418636e+49,4.0401018117884283e+189,1.9906380644105824e+145,8.726485776864251e+139,4.3632428884321255e+139,,4.087604457542686e+52,5.392194610328232e+190,2.1211913161700935e+98,7.96255225764233e+145,6.845531367284515e+52,4.6297007926141216e+49
legacy_ff1,0,,0.9999999810930902,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
legacy_ff1,1,,0.9999999717996106,0.9999999717996106,0.9999999810930902,2.9033551827076453e-05,2.9033551827076453e-05,0.012917448697613456,0.006458724348806728,,0.0,0.0,0.02440638872501261,9.717740691643747e-05,0.0,0.9999999811119971
legacy_ff1,2,,0.999999968229641,0.999999968229641,0.9999999717996106,2.9756352492263247e-05,2.9756352492263247e-05,0.029756352492263247,0.014878176246131624,,0.004686426950477376,0.0036098583647649327,0.02441337868198948,9.456908610454309e-05,0.004686426950477376,0.9999999718278111
legacy_ff1,3,,0.9999999661570658,0.9999999661570658,0.999999968229641,0.00052170010463534,0.00052170010463534,0.41767390415437833,0.21130129207817067,,0.009967600427016303,0.007237499791442153,0.02441507506800584,9.20576476158603e-05,0.012132541207689402,0.9999999682614114
legacy_ff1,4,,0.9999999647363017,0.9999999647363017,0.9999999661570658,0.004093116143814693,0.004093116143814693,4.093116143814692,2.049502191880275,,0.1836885579915083,0.14602876065070414,0.024415839836028193,9.09229981277846e-05,0.18109843010081866,0.9999999661909087
legacy_ff1,5,,0.9999999627031002,0.9999999627031002,0.9999999647363017,0.3079729575946122,0.3079729575946122,303.0066717372205,151.35674755583912,,0.5795223469430029,2.787957338434572,0.024416034174997173,8.976442562488138e-05,4.459195495291456,0.9999999647715654
legacy_ff1,6,,114007731.3027839,114007731.3027839,0.9999999627031002,1841.7500047170238,1841.7500047170238,1805361.8463310148,902676.4690587128,,13094.540641532149,17184.201101409813,0.08737757450836774,0.0008569369210328272,26465.126566998108,0.9999999627403972
phaseadv_m0_ff2,0,,0.9999999810930902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phaseadv_m0_ff2,1,,0.9999999717996106,0.9999999717996106,0.9999999810930902,2.903238318565417e-05,2.9033551827076453e-05,0.010401530394048147,0.005200765197024074,0.0,0.0,4.860474480344378e-05,0.02440638872501261,9.717740691643747e-05,0.0,0.9999999811119971
phaseadv_m0_ff2,2,,0.999999968229641,0.999999968229641,0.9999999717996106,2.651129575825595e-05,2.6547662904634463e-05,0.01905931035715159,0.009529655178575793,0.0041380840167372784,0.0041380840167372784,0.00317280945722721,0.024413379610556687,9.456849443381898e-05,0.0041380840167372784,0.9999999718278111
phaseadv_m0_ff2,3,,0.9999999661570658,0.9999999661570658,0.999999968229641,0.002086900587635471,0.00045411547874333236,2.086900587635471,1.045681838666035,0.007068103501728075,0.007068103501728075,0.04652049845022684,0.02441507672592444,9.205589325821796e-05,0.008951674617643644,0.9999999682614114
phaseadv_m0_ff2,4,,0.9999999647363015,0.9999999647363015,0.9999999661570658,91.23955081064899,0.08824267694892367,91239.55081064881,45619.77812499804,0.4218382821335148,0.4218382821335148,2270.9168285988526,0.024415842126725054,9.092340098567118e-05,1.2839799612930698,0.9999999661909087
phaseadv_m0_ff2,5,,31692255418607.297,31692255418607.297,0.9999999647363015,3.271049099783629e+20,167126582.48833698,3.2710490997835215e+23,1.6355245498917607e+23,1213966804.4039445,1213966804.4039445,8.14662758387074e+21,0.024416036989450357,8.976711765322173e-05,2428024847.708229,0.9999999647715652
phaseadv_m0_ff2,6,,1.3180406877661137e+105,1.3180406877661137e+105,31692255418607.297,1.7203166353632003e+89,4.008398419061627e+45,1.9443485359092584e+86,9.721742679546292e+85,1.5603819893995208e+46,1.5603819893995208e+46,2.8405906116494737e+92,5.963791899160791e+25,2.546533707704728e+37,3.1207639787966193e+46,31660563163188.69
phaseadv_m0_ff1,0,,0.9999999810930902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phaseadv_m0_ff1,1,,0.9999999717996106,0.9999999717996106,0.9999999810930902,2.9033551827076453e-05,2.9033551827076453e-05,0.012917448697613456,0.006458724348806728,0.0,0.0,0.0,0.02440638872501261,9.717740691643747e-05,0.0,0.9999999811119971
phaseadv_m0_ff1,2,,0.999999968229641,0.999999968229641,0.9999999717996106,2.9756352492263247e-05,2.9756352492263247e-05,0.029756352492263247,0.014878176246131624,0.004686426950477376,0.004686426950477376,0.0036098583647649327,0.024413379610556687,9.456849443381898e-05,0.004686426950477376,0.9999999718278111
phaseadv_m0_ff1,3,,0.9999999661570658,0.9999999661570658,0.999999968229641,0.0005217009174754794,0.0005217009174754794,0.41767390415437833,0.21130129207817067,0.009967600427016303,0.009967600427016303,0.007237499791442153,0.024415076725923864,9.205589337186006e-05,0.012132541207689402,0.9999999682614114
phaseadv_m0_ff1,4,,0.9999999647363015,0.9999999647363015,0.9999999661570658,0.0040931333366922475,0.0040931333366922475,4.093133336692246,2.049510787523535,0.1836885579915083,0.1836885579915083,0.14602876065070414,0.02441584212672781,9.092340164506462e-05,0.18109843010081866,0.9999999661909087
phaseadv_m0_ff1,5,,0.9999999627031,0.9999999627031,0.9999999647363015,0.30807304540978275,0.30807304540978275,302.67021520816473,151.1885073331595,0.5747660747165017,0.5747660747165017,2.7884322441675926,0.02441603698945088,8.976709538535124e-05,4.459213306550734,0.9999999647715652
phaseadv_m0_ff1,6,,6086.573938686867,6086.573938686867,0.9999999627031,1820.4350505925636,1820.4350505925636,1817300.0183917556,908645.5552193611,13091.779108517661,13091.779108517661,17282.210635589192,0.024415958239331063,8.893779852202463e-05,26452.720766338796,0.9999999627403969
