mode,step,field,low_rho,near_interface_wall,fluid_all
0,12,ReplayPhaseFromH,0.06459988813086293,0.9894727403747725,1.0000221332114494
0,12,B20HeqActiveMaxAbs,0.014826005940614879,0.2931722567417106,0.29630181230015196
0,12,B20HPostActiveMaxAbs,0.010510340648840318,0.2931649888597153,0.2963012427860289
0,12,B20HPostBoundedMaxAbs,0.0060112088674044275,0.2931649888597153,0.2963012427860289
0,12,B20FphiActiveMaxAbs,0.0019185160323296941,0.021424739396805188,0.02441389102322153
0,12,B18HVelocityRawPostForceNorm,13.702203707822216,25.25347836771066,25.25347836771066
0,12,B18HVelocityPreForceNorm,1.4776336211770658,2.019997374180393,2.019997374180393
0,12,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000007,0.20000000000000007
0,13,ReplayPhaseFromH,554.6179695990377,0.9894666869569658,1060.6073818440377
0,13,B20HeqActiveMaxAbs,378.8806453468124,2.6814315084217064,1076.8018769171215
0,13,B20HPostActiveMaxAbs,270.6079449120733,1.9148838246017725,769.1441361812334
0,13,B20HPostBoundedMaxAbs,0.05908502536829811,0.2931736455678847,0.2963023938555657
0,13,B20FphiActiveMaxAbs,0.012177568326776966,0.021479520410174605,0.024413558727393786
0,13,B18HVelocityRawPostForceNorm,446.56967514112466,26.52334698747147,490.15762501561517
0,13,B18HVelocityPreForceNorm,122.2770263586903,24.299564543085804,215.40850888086428
0,13,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000007,0.20000000000000007
0,14,ReplayPhaseFromH,226933013124.85114,0.9894429887738522,296889722564.6762
0,14,B20HeqActiveMaxAbs,164495063205.28162,0.29317531464555874,386259145114.1415
0,14,B20HPostActiveMaxAbs,117496473717.82227,0.29317483776622333,275899389367.24396
0,14,B20HPostBoundedMaxAbs,46646.31771915187,0.29317483776622333,46646.31771915187
0,14,B20FphiActiveMaxAbs,72445.95912477674,0.021530383566572088,72445.95912477674
0,14,B18HVelocityRawPostForceNorm,115968.37332902965,0.45296499909480553,1954469.5759835409
0,14,B18HVelocityPreForceNorm,115839.80080983535,0.17254991004696724,115839.80080983535
0,14,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000004,0.20000000000000007
1,12,ReplayPhaseFromH,0.01990276328561936,0.9894731259433991,1.0000221338821245
1,12,B20HeqActiveMaxAbs,0.005975479413817564,0.293172367309602,0.2963018124197782
1,12,B20HPostActiveMaxAbs,0.006011434286369104,0.2931650977569104,0.2963012429230518
1,12,B20HPostBoundedMaxAbs,0.006011434287302751,0.2931650977569755,0.2963012429230518
1,12,B20FphiActiveMaxAbs,0.0019185696264035043,0.0214248644180125,0.024413896900741583
1,12,B18HVelocityRawPostForceNorm,20.01716372132625,0.22991787116348206,20.01716372132625
1,12,B18HVelocityPreForceNorm,1.9235508634461922,0.07752232555522126,1.9235508634461922
1,12,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000004,0.20000000000000007
1,13,ReplayPhaseFromH,2.791219556608537,0.9894670811197889,2.791219556608537
1,13,B20HeqActiveMaxAbs,3.127171808902775,0.8638612442893489,3.127171808902775
1,13,B20HPostActiveMaxAbs,2.233706063315237,0.6171272773744702,2.233706063315237
1,13,B20HPostBoundedMaxAbs,0.006104239808233442,0.29317375828319414,0.2963023940366569
1,13,B20FphiActiveMaxAbs,0.0018927390479102505,0.021479699248892717,0.024413564770582298
1,13,B18HVelocityRawPostForceNorm,448.6507863640709,1042.9361376171412,1288.3062443215185
1,13,B18HVelocityPreForceNorm,133.2006986378286,76.05250834273683,133.2006986378286
1,13,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000007,0.20000000000000007
1,14,ReplayPhaseFromH,147918273771.5828,0.9894433890411587,276749289103.349
1,14,B20HeqActiveMaxAbs,25991602652.548466,0.2931754314344629,311587924649.08453
1,14,B20HPostActiveMaxAbs,18565430466.001247,0.2931749533912254,222562803320.13647
1,14,B20HPostBoundedMaxAbs,0.4411147257743747,0.29317495339128175,1.1934919722090145
1,14,B20FphiActiveMaxAbs,0.13424018475919525,0.02153059848877381,0.7413743653742989
1,14,B18HVelocityRawPostForceNorm,553546.5103020291,0.7952226771075293,553546.5103020291
1,14,B18HVelocityPreForceNorm,253312.37527574954,0.28376349541988694,501169.4257986395
1,14,B18HVelocityBoundedShadowNorm,0.2000000000000001,0.20000000000000007,0.2000000000000001
