cap,cap_hit_count,cap_hit_fraction,cap_hit_high_rho_fraction,cap_hit_low_rho_fraction,case,failures,max_delta_g_minus_mf,max_delta_g_minus_mf_rel,max_post_cap_grad_phi,max_post_minus_pre_grad_phi,max_pre_cap_grad_phi,max_replay_force_over_rho,max_replay_grad_phi,max_replay_minus_post_grad_phi,max_replay_minus_pre_grad_phi,missing_fields,mode,nonfinite_total,path,phase_from_h_max,phase_from_h_min,phase_from_h_oob_count,step
100.0,0,0.0,0.0,1.0,wall_60to30_10,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],2,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/S0_smoke_mode2_cap100/wall_60to30_10/output/case_VTK_P00_00000000.vti,0.0,0.0,0,0
100.0,0,0.0,0.0,1.0,wall_60to30_10,[],2.911239301299138e-18,1.903412753117147e-15,0.38994697891101315,0.0,0.38994697891101315,0.0026067563159362004,0.38994697891101315,0.0,0.0,[],2,0,/mnt/usb1t/RUNS/runs/stage14_B37_grad_phi_cap_retry2_20260628/S0_smoke_mode2_cap100/wall_60to30_10/output/case_VTK_P00_00000001.vti,0.9999999717996106,0.0,0,1
