step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_profile_pred_gt_1_count,wall_phase_unified_profile_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_profile_delta_nonzero_count,wall_unified_profile_delta_nonzero_count,wall_clamp_delta_nonzero_count,wall_phase_pred_max,wall_phase_profile_pred_max,wall_phase_unified_profile_pred_max,wall_unified_profile_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
0,135160,1247240,64,0,0,0,0,8296,8296,0,1.7954628943313244,1.0,1.0,1.054862754745995,1.0,0.9999997995397631,0.0,0
50000,135160,1247240,1920,0,0,0,0,10256,10256,0,1.4480228316330213,1.0,1.0,0.688189353200577,1.0,0.9999998672708955,0.0004918523894985014,0
