case,target_theta_deg,init_contact_angle_deg,theta_bbox_raw_mean_deg,theta_calibrated_bbox_deg,target_error_calibrated_deg,calibration_outside_range,radius_used_for_calibration,width_used_for_calibration,z_indices
init120_target150_100,150.0,120.0,112.11282596049638,121.0,-29.0,False,18.0,4.0,47 48 49
init60_target30_100,30.0,60.0,41.45111773112108,42.30773624508904,12.307736245089039,False,18.0,4.0,47 48 49
