case,status,theta_deg,init_contact_angle_deg,phase_advection_mode,wetting_ghost_distance,wetting_ghost_sign,measured_mean_deg,target_error_deg,mass_drift,mass_correction_delta,phase_wall_delta_mass,u_max,force_over_rho_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_abs_max,wall_ghost_min,wall_ghost_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
init120_target150_100,pass,150.0,120.0,1,1.0,-1.0,,,-1.2732925824820995e-10,0.0,-10.544959722618163,0.0011377442433182592,0.0011989073474032042,669,0.0011989073474032042,0.0026809887280397474,1.740924752232179e-17,0.9903999101105332,3986,0,0
init60_target30_100,pass,30.0,60.0,1,1.0,-1.0,,,-1.9554136088117957e-11,0.0,17.29010429705895,0.0010069100352746794,0.001214520452432063,1107,0.001214520452432063,0.0030157875924309904,2.3453527528201663e-15,0.9999640920513437,723,0,0
