case_id,geometry,theta_deg,step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_bounded_pred_gt_1_count,wall_clamp_delta_nonzero_count,wall_pf_f_min,wall_pf_f_max,wall_grad_tangent_max,wall_tan_coeff_mean,wall_phase_pred_min,wall_phase_pred_max,wall_phase_bounded_pred_max,wall_clamp_delta_min,wall_clamp_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
curved_theta011,curved,11,0,121164,954036,64,0,0,0,64,-999.0,0.5808448975965824,0.148776638417561,5.144553966670899,0.0,1.7954628943313244,1.0,0.0,0.7954628943313244,1.0,0.9999997995397631,0.0,0
curved_theta011,curved,11,50,121164,954036,100,0,2108,0,100,9.700262817255135e-27,1.0,0.12897663724752298,5.144553966670899,4.3875381570009584e-24,1.4116707424207542,1.0,0.0,0.4116707424207542,1.0,1.0000213579055186,0.000221465101583116,0
curved_theta030,curved,30,0,121164,954036,0,0,0,0,0,-999.0,0.5808448975965824,0.148776638417561,1.7320508003892916,0.0,1.0,1.0,0.0,0.0,1.0,0.9999997995397631,0.0,0
curved_theta030,curved,30,50,121164,954036,0,0,2228,0,0,4.649669866189703e-26,1.0,0.13778927170063848,1.7320508003892916,1.546649612643853e-24,1.0,1.0,0.0,0.0,1.0,1.0000195044742994,0.00017328373676308686,0
curved_theta090,curved,90,0,121164,954036,0,0,0,0,0,-999.0,0.5808448975965824,0.0,-1.794896453688466e-09,0.0,1.0,1.0,0.0,0.0,1.0,0.9999997995397631,0.0,0
curved_theta090,curved,90,50,121164,954036,0,0,2324,0,0,6.513370337462167e-26,1.0,0.0,-1.794896453688466e-09,6.513370337462167e-26,1.0,1.0,0.0,0.0,1.0,1.0000201547410346,6.776664791856978e-05,0
flat_theta011,flat,11,0,42504,571896,2000,0,0,0,2000,0.0,0.9999996600470948,0.16354169919183095,5.144553966670899,0.0,1.4129921878921676,1.0,0.0,0.41299218789216763,1.0,0.9999996600470951,0.0,0
flat_theta011,flat,11,50,42504,571896,2024,0,732,0,2024,-1.1989807230341753e-25,1.0000121496270213,0.12981271738346753,5.144553966670899,-4.842481773847326e-27,1.260467557142047,1.0,-4.842481773847326e-27,0.26046755714204695,1.0,1.0000121496270213,0.00026091239516182955,0
flat_theta030,flat,30,0,42504,571896,1360,0,0,0,1364,0.0,0.9999996600470948,0.16354169919183095,1.7320508003892916,0.0,1.0061294510167405,1.0,0.0,0.00612945101674045,1.0,0.9999996600470951,0.0,0
flat_theta030,flat,30,50,42504,571896,1020,0,772,0,1020,-1.198910136526909e-25,1.0000209918038445,0.14703846197373985,1.7320508003892916,-7.6305035865869e-27,1.0003886662349042,1.0,-7.6305035865869e-27,0.00038866623490418917,1.0,1.0000209918038445,0.00015821809241668938,0
flat_theta090,flat,90,0,42504,571896,0,0,0,0,0,0.0,0.9999996600470948,0.0,-1.794896453688466e-09,0.0,0.9999996600470948,0.9999996600470948,0.0,0.0,0.9999996600470951,0.9999996600470951,0.0,0
flat_theta090,flat,90,50,42504,571896,192,0,908,0,192,-1.1989215915957477e-25,1.0000349429174233,0.0,-1.794896453688466e-09,-1.1989215915957477e-25,1.0000349429174233,1.0,-1.1989215915957477e-25,3.494291742334177e-05,1.0,1.0000349429174233,1.6758125511760017e-05,0
