PhaseField_max,PhaseField_max_abs,PhaseField_min,PhaseField_nonfinite,ReplayFmuDelta_max,ReplayFmuDelta_max_abs,ReplayFmuDelta_min,ReplayFmuDelta_nonfinite,ReplayFmuRaw_max,ReplayFmuRaw_max_abs,ReplayFmuRaw_min,ReplayFmuRaw_nonfinite,ReplayForceOverRho_max,ReplayForceOverRho_max_abs,ReplayForceOverRho_min,ReplayForceOverRho_nonfinite,ReplayFphiMaxAbs_max,ReplayFphiMaxAbs_max_abs,ReplayFphiMaxAbs_min,ReplayFphiMaxAbs_nonfinite,ReplayFphiSum_max,ReplayFphiSum_max_abs,ReplayFphiSum_min,ReplayFphiSum_nonfinite,ReplayFpressure_max,ReplayFpressure_max_abs,ReplayFpressure_min,ReplayFpressure_nonfinite,ReplayFtotal_max,ReplayFtotal_max_abs,ReplayFtotal_min,ReplayFtotal_nonfinite,ReplayGradPhi_max,ReplayGradPhi_max_abs,ReplayGradPhi_min,ReplayGradPhi_nonfinite,ReplayHPostSum_max,ReplayHPostSum_max_abs,ReplayHPostSum_min,ReplayHPostSum_nonfinite,ReplayHPreSum_max,ReplayHPreSum_max_abs,ReplayHPreSum_min,ReplayHPreSum_nonfinite,ReplayHeqSum_max,ReplayHeqSum_max_abs,ReplayHeqSum_min,ReplayHeqSum_nonfinite,ReplayMu_max,ReplayMu_max_abs,ReplayMu_min,ReplayMu_nonfinite,ReplayPhaseConsumed_max,ReplayPhaseConsumed_max_abs,ReplayPhaseConsumed_min,ReplayPhaseConsumed_nonfinite,ReplayPhaseFromH_max,ReplayPhaseFromH_max_abs,ReplayPhaseFromH_min,ReplayPhaseFromH_nonfinite,ReplayPhaseOutOfBoundsFlag_max,ReplayPhaseOutOfBoundsFlag_max_abs,ReplayPhaseOutOfBoundsFlag_min,ReplayPhaseOutOfBoundsFlag_nonfinite,ReplayPressureInput_max,ReplayPressureInput_max_abs,ReplayPressureInput_min,ReplayPressureInput_nonfinite,ReplayStressInputXX_max,ReplayStressInputXX_max_abs,ReplayStressInputXX_min,ReplayStressInputXX_nonfinite,ReplayStressInputYY_max,ReplayStressInputYY_max_abs,ReplayStressInputYY_min,ReplayStressInputYY_nonfinite,ReplayStressInputZZ_max,ReplayStressInputZZ_max_abs,ReplayStressInputZZ_min,ReplayStressInputZZ_nonfinite,ReplayStressPostForceShadowXX_max,ReplayStressPostForceShadowXX_max_abs,ReplayStressPostForceShadowXX_min,ReplayStressPostForceShadowXX_nonfinite,ReplayStressPostForceShadowYY_max,ReplayStressPostForceShadowYY_max_abs,ReplayStressPostForceShadowYY_min,ReplayStressPostForceShadowYY_nonfinite,ReplayStressPostForceShadowZZ_max,ReplayStressPostForceShadowZZ_max_abs,ReplayStressPostForceShadowZZ_min,ReplayStressPostForceShadowZZ_nonfinite,ReplayStressPreForceShadowXX_max,ReplayStressPreForceShadowXX_max_abs,ReplayStressPreForceShadowXX_min,ReplayStressPreForceShadowXX_nonfinite,ReplayStressPreForceShadowYY_max,ReplayStressPreForceShadowYY_max_abs,ReplayStressPreForceShadowYY_min,ReplayStressPreForceShadowYY_nonfinite,ReplayStressPreForceShadowZZ_max,ReplayStressPreForceShadowZZ_max_abs,ReplayStressPreForceShadowZZ_min,ReplayStressPreForceShadowZZ_nonfinite,ReplayTmp1BoundedShadow_max,ReplayTmp1BoundedShadow_max_abs,ReplayTmp1BoundedShadow_min,ReplayTmp1BoundedShadow_nonfinite,ReplayTmp1_max,ReplayTmp1_max_abs,ReplayTmp1_min,ReplayTmp1_nonfinite,case,step
0.9999999810930902,0.9999999810930902,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,wall_60to30_10,0
0.9999999717996106,0.9999999717996106,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0025834897395226914,0.0025834897395226914,-0.000266821585149771,0,0.02440638872501261,0.02440638872501261,0.0,0,3.469446951953614e-18,3.469446951953614e-18,-3.469446951953614e-18,0,0.0,0.0,0.0,0,2.9033551827076453e-05,2.9033551827076453e-05,-1.5199368613878571e-05,0,0.23185528073950343,0.33102749827388434,-0.33102749827388434,0,0.9999999783627602,0.9999999783627602,0.0,0,0.9999999715369352,0.9999999715369352,0.0,0,0.99999998109309,0.99999998109309,0.0,0,1.0276979088735786e-05,9.717740691643747e-05,-9.717740691643747e-05,0,0.9999999810930902,0.9999999810930902,0.0,0,0.9999999717996106,0.9999999717996106,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.226975847347169e-07,1.226975847347169e-07,-1.690516391421838e-09,0,1.3399274678462832e-68,1.944189792137752e-06,-1.944189792137752e-06,0,1.226975847347169e-07,1.226975847347169e-07,-1.69051639142184e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3333333331224981,0.3333333331224981,0.0,0,0.3333333331224981,0.3333333331224981,0.0,0,wall_60to30_10,1
0.999999968229641,0.999999968229641,0.0,0,0.0,0.0,0.0,0,1.3502800372918206e-06,3.0730131373456824e-06,-3.0730131373456824e-06,0,0.0016117440552379644,0.0016117440552379644,-0.00023043739348700603,0,0.024413379610556687,0.024413379610556687,0.0,0,2.6020852139652106e-18,3.469446951953614e-18,-3.469446951953614e-18,0,1.8103959273084238e-07,2.8660993756323655e-07,-2.8660993756323655e-07,0,2.963113300543664e-05,2.963113300543664e-05,-1.3182483963237661e-05,0,0.22744274089960367,0.3316901121163855,-0.3316901121163855,0,0.9999999717996106,0.9999999717996106,0.0,0,0.9999999717996106,0.9999999717996106,0.0,0,0.9999999717996106,0.9999999717996106,0.0,0,1.5133848871055722e-05,9.456849443381898e-05,-9.456849443381898e-05,0,0.9999999717996106,0.9999999717996106,0.0,0,0.999999968229641,0.999999968229641,0.0,0,0.0,0.0,0.0,0,3.814599577029496e-06,3.814599577029496e-06,-2.662861039798603e-06,0,7.15631636717202e-05,0.00022907755825602737,-0.00022907755825602737,0,0.0007202637076059341,0.0007202637076059341,-7.825835371671313e-05,0,7.156316367171998e-05,0.00022907755825602797,-0.00022907755825602797,0,7.153485643635381e-05,0.00022903343516842483,-0.00022903343516842483,0,0.0007192449556984274,0.0007192449556984274,-7.778930276391508e-05,0,7.15348564363536e-05,0.00022903343516842553,-0.00022903343516842553,0,7.15631636717202e-05,0.00022907755825602737,-0.00022907755825602737,0,0.0007202637076059341,0.0007202637076059341,-7.825835371671313e-05,0,7.156316367171998e-05,0.00022907755825602797,-0.00022907755825602797,0,0.33333332305844887,0.33333332305844887,0.0,0,0.33333332305844887,0.33333332305844887,0.0,0,wall_60to30_10,2
0.9999999661570658,0.9999999661570658,-5.406120590484662e-06,0,0.0,0.0,0.0,0,1.2255023778852812e-05,3.618582258731698e-05,-3.618582258731698e-05,0,0.002563089890297967,0.005423522923214173,-0.005423522923214173,0,0.024415076729429438,0.024415076729429438,0.0,0,2.6020852139652106e-18,2.6020852139652106e-18,-2.6020852139652106e-18,0,6.978580684868099e-07,1.279491751785396e-06,-1.279491751785396e-06,0,1.9645177284457055e-05,2.7938827244952284e-05,-2.7938827244952284e-05,0,0.22730289447019222,0.3398332864911784,-0.3398332864911784,0,0.999999968229641,0.999999968229641,0.0,0,0.999999968229641,0.999999968229641,0.0,0,0.9999999682296408,0.9999999682296408,0.0,0,1.5884695071248824e-05,9.205586003202269e-05,-9.205586003202269e-05,0,0.999999968229641,0.999999968229641,0.0,0,0.9999999661570658,0.9999999661570658,-5.406120590484662e-06,0,0.0,0.0,0.0,0,4.597352377265739e-06,1.1353352404525545e-05,-1.1353352404525545e-05,0,0.00016468406164361478,0.00016468406164361478,-0.00015248538849750923,0,0.0004303946445562591,0.000906348679640312,-0.000906348679640312,0,0.00016468406164361403,0.00016468406164361403,-0.00015248538849750985,0,0.00016480595434513316,0.00016480595434513316,-0.0001525583081739236,0,0.00043002184516994666,0.0009171520603451968,-0.0009171520603451968,0,0.00016480595434513248,0.00016480595434513248,-0.00015255830817392422,0,0.00016468406164361478,0.00016468406164361478,-0.00015248538849750923,0,0.0004303946445562591,0.000906348679640312,-0.000906348679640312,0,0.00016468406164361403,0.00016468406164361403,-0.00015248538849750985,0,0.33333332925765974,0.33333332925765974,0.0,0,0.33333332925765974,0.33333332925765974,0.0,0,wall_60to30_10,3
0.9999999647363015,0.9999999647363015,0.0,0,0.0,0.0,0.0,0,2.4358558685139692e-05,2.4358558685139692e-05,-1.829521654289368e-05,0,0.005842361871494931,0.005842361871494931,-0.0019647247211546067,0,0.02441584248673451,0.02441584248673451,0.0,0,2.7308342219478643e-18,3.469446951953614e-18,-3.469446951953614e-18,0,1.0750219873171807e-06,2.0140976264618307e-06,-2.0140976264618307e-06,0,3.23863684143768e-05,3.23863684143768e-05,-1.0230788172761952e-05,0,0.22628177881163897,0.34174162173788,-0.34174162173788,0,0.9999999661570657,0.9999999661570657,-5.406120590484662e-06,0,0.9999999661570658,0.9999999661570658,-5.406120590484662e-06,0,0.9999999661570655,0.9999999661570655,-5.406120590484661e-06,0,1.5425163134094e-05,9.092316869778791e-05,-9.092316869778791e-05,0,0.9999999661570658,0.9999999661570658,-5.406120590484662e-06,0,0.9999999647363015,0.9999999647363015,0.0,0,1.0,1.0,0.0,0,4.0901751914508355e-06,1.777686704534178e-05,-1.777686704534178e-05,0,0.000683941714932606,0.0007048507255515993,-0.0007048507255515993,0,0.0006020645240891635,0.0029291787695801177,-0.0029291787695801177,0,0.0006839417149326069,0.0007048507255515947,-0.0007048507255515947,0,0.0006839445919597227,0.0007065034673471368,-0.0007065034673471368,0,0.0006037209875957508,0.002938007300738217,-0.002938007300738217,0,0.0006839445919597236,0.0007065034673471322,-0.0007065034673471322,0,0.000683941714932606,0.0007048507255515993,-0.0007048507255515993,0,0.0006020645240891635,0.0029291787695801177,-0.0029291787695801177,0,0.0006839417149326069,0.0007048507255515947,-0.0007048507255515947,0,0.33333332556374334,0.33333332556374334,0.0,0,0.33333332556374334,0.33333332556374334,-7.208199755550645e-06,0,wall_60to30_10,4
0.9999999627031,0.9999999627031,-2.732751936847587e-07,0,0.0,0.0,0.0,0,0.00015716358091932728,0.00015716358091932728,-3.8486647554323596e-05,0,0.03128043422251943,0.03128043422251943,-0.0072474691770277235,0,0.024416037868272317,0.024416037868272317,0.0,0,2.6020852139652106e-18,3.469446951953614e-18,-3.469446951953614e-18,0,1.1554339738173157e-06,2.132133011610791e-06,-2.132133011610791e-06,0,0.00016566176611318127,0.00016566176611318127,-3.725112709089035e-05,0,0.22570770302201174,0.3447204535429227,-0.3447204535429227,0,0.9999999647363014,0.9999999647363014,0.0,0,0.9999999647363015,0.9999999647363015,0.0,0,0.9999999647363012,0.9999999647363012,0.0,0,1.5611925489623547e-05,8.976693389328659e-05,-8.976693389328659e-05,0,0.9999999647363015,0.9999999647363015,0.0,0,0.9999999627031,0.9999999627031,-2.732751936847587e-07,0,0.0,0.0,0.0,0,5.671471404676019e-06,1.8704046266683256e-05,-1.8704046266683256e-05,0,0.000499845339240634,0.0006085968536585646,-0.0006085968536585646,0,0.003871871652942413,0.003871871652942413,-0.001604690886781758,0,0.0004998453392406329,0.0006085968536585611,-0.0006085968536585611,0,0.0004995596785216113,0.0005841859113018415,-0.0005841859113018415,0,0.0035424293451100145,0.0035424293451100145,-0.001606789923949179,0,0.0004995596785216101,0.0005841859113018384,-0.0005841859113018384,0,0.000499845339240634,0.0006085968536585646,-0.0006085968536585646,0,0.003871871652942413,0.003871871652942413,-0.001604690886781758,0,0.0004998453392406329,0.0006085968536585611,-0.0006085968536585611,0,0.3333333300418702,0.3333333300418702,0.0,0,0.3333333300418702,0.3333333300418702,0.0,0,wall_60to30_10,5
0.999999957698655,0.999999957698655,-3.08042481634013e-08,0,0.0,0.0,0.0,0,9.116036272091395e-06,0.00024789662871264146,-0.00024789662871264146,0,0.0018780468904740077,0.04081069763079673,-0.04081069763079673,0,0.024415959977481503,0.024415959977481503,0.0,0,2.6020852139652106e-18,2.6020852139652106e-18,-2.6020852139652106e-18,0,1.1839556630344876e-06,2.2092193002453326e-06,-2.2092193002453326e-06,0,2.4627679714203274e-05,0.00023926702814497538,-0.00023926702814497538,0,0.22528407101971432,0.3467584935766068,-0.3467584935766068,0,0.9999999627030999,0.9999999627030999,-2.732751936847587e-07,0,0.9999999627031,0.9999999627031,-2.732751936847587e-07,0,0.9999999627031,0.9999999627031,-2.732751936847587e-07,0,1.560099164336094e-05,8.893932589303102e-05,-8.893932589303102e-05,0,0.9999999627031,0.9999999627031,-2.732751936847587e-07,0,0.999999957698655,0.999999957698655,-3.08042481634013e-08,0,1.0,1.0,0.0,0,3.1145742607370935e-05,3.1145742607370935e-05,-1.9300406569346913e-05,0,0.0026434839224767,0.0026434839224767,-0.0014647231764509912,0,0.014547126542012232,0.014547126542012232,-0.006047429428609066,0,0.0026434839224766878,0.0026434839224766878,-0.0014647231764509962,0,0.0026236039324858506,0.0026236039324858506,-0.0014701085646675232,0,0.014247064128435918,0.014247064128435918,-0.006411490467090209,0,0.002623603932485839,0.002623603932485839,-0.0014701085646675275,0,0.0026434839224767,0.0026434839224767,-0.0014647231764509912,0,0.014547126542012232,0.014547126542012232,-0.006047429428609066,0,0.0026434839224766878,0.0026434839224766878,-0.0014647231764509962,0,0.3333333246975581,0.3333333246975581,0.0,0,0.3333333246975581,0.3333333246975581,-3.6436702450076596e-07,0,wall_60to30_10,6
0.9999999455981661,0.9999999455981661,-8.31196596310657e-08,0,0.0,0.0,0.0,0,0.00012094425227224607,0.0007513854014007114,-0.0007513854014007114,0,0.02368539973110561,0.14526683462905335,-0.14526683462905335,0,0.024415715075692557,0.024415715075692557,0.0,0,2.6020852139652106e-18,2.6020852139652106e-18,-2.6020852139652106e-18,0,1.2204952321143449e-06,2.373478559470671e-06,-2.373478559470671e-06,0,0.00012192986648895703,0.0007445503700911285,-0.0007445503700911285,0,0.22494476187969395,0.34868918622491163,-0.34868918622491163,0,0.9999999576986549,0.9999999576986549,-3.080424816340128e-08,0,0.999999957698655,0.999999957698655,-3.08042481634013e-08,0,0.9999999576986548,0.9999999576986548,-3.0804248163401293e-08,0,1.584662591590544e-05,8.826047089328969e-05,-8.826047089328969e-05,0,0.999999957698655,0.999999957698655,-3.08042481634013e-08,0,0.9999999455981661,0.9999999455981661,-8.31196596310657e-08,0,1.0,1.0,0.0,0,2.2279474085264892e-05,3.9135466129793256e-05,-3.9135466129793256e-05,0,0.0028653353805398515,0.0028653353805398515,-0.0014956351419004152,0,0.00839759163622238,0.018556065306530044,-0.018556065306530044,0,0.0028653353805398398,0.0028653353805398398,-0.001495635141900404,0,0.002946695339354731,0.002946695339354731,-0.0016163142413988107,0,0.008298197198724861,0.026218391215679027,-0.026218391215679027,0,0.002946695339354722,0.002946695339354722,-0.0016163142413987994,0,0.0028653353805398515,0.0028653353805398515,-0.0014956351419004152,0,0.00839759163622238,0.018556065306530044,-0.018556065306530044,0,0.0028653353805398398,0.0028653353805398398,-0.001495635141900404,0,0.33333325721417223,0.33333325721417223,0.0,0,0.33333325721417223,0.33333325721417223,-4.107233213489813e-08,0,wall_60to30_10,7
1.0000053087775531,1.0000053087775531,-1.8460777977994744e-06,0,0.0,0.0,0.0,0,0.0012614337443404536,0.0012614337443404536,-0.00010997584000571112,0,0.2111750309672707,0.2111750309672707,-0.019317675149610598,0,0.024415385219370426,0.024415385219370426,0.0,0,2.6020852139652106e-18,3.469446951953614e-18,-3.469446951953614e-18,0,1.1881779316824106e-06,2.3047649513256502e-06,-2.3047649513256502e-06,0,0.001269916440726883,0.001269916440726883,-0.00010879908558602378,0,0.22461513613973041,0.35026011449030353,-0.35026011449030353,0,0.9999999455981659,0.9999999455981659,-8.311965963106586e-08,0,0.9999999455981661,0.9999999455981661,-8.31196596310657e-08,0,0.9999999455981661,0.9999999455981661,-8.311965963106568e-08,0,1.602567118103536e-05,8.768741487497178e-05,-8.768741487497178e-05,0,0.9999999455981661,0.9999999455981661,-8.31196596310657e-08,0,1.0000053087775531,1.0000053087775531,-1.8460777977994744e-06,0,1.0,1.0,0.0,0,1.6235123127795645e-05,0.00014355756559016693,-0.00014355756559016693,0,0.008969849443842964,0.008969849443842964,-0.007693250848058394,0,0.030558872600453518,0.06461784203568416,-0.06461784203568416,0,0.008969849443842997,0.008969849443842997,-0.007693250848058359,0,0.009255039972191086,0.009255039972191086,-0.007632307227137195,0,0.018096262586583478,0.07062907136769005,-0.07062907136769005,0,0.009255039972191119,0.009255039972191119,-0.007632307227137164,0,0.008969849443842964,0.008969849443842964,-0.007693250848058394,0,0.030558872600453518,0.06461784203568416,-0.06461784203568416,0,0.008969849443842997,0.008969849443842997,-0.007693250848058359,0,0.33333324839614425,0.33333324839614425,0.0,0,0.33333324839614425,0.33333324839614425,-1.1082622201132712e-07,0,wall_60to30_10,8
1.0000114666477344,1.0000114666477344,-3.8099154340666878e-06,0,0.0,0.0,0.0,0,0.003642517765879248,0.003642517765879248,-0.0003759830565024945,0,0.7302150787635973,0.7302150787635973,-0.07244426929719822,0,0.024415013528484648,0.024415013528484648,0.0,0,3.469446951953614e-18,3.469446951953614e-18,-2.5478751053409354e-18,0,7.71048223766316e-06,7.71048223766316e-06,-2.1703787890972424e-06,0,0.003657905563897131,0.003657905563897131,-0.00037435630755578163,0,0.22519021708597375,0.35165959453915374,-0.35165959453915374,0,1.0000053087775531,1.0000053087775531,-1.8460777977994744e-06,0,1.0000053087775531,1.0000053087775531,-1.8460777977994744e-06,0,1.000005308777553,1.000005308777553,-1.8460777977994744e-06,0,1.6128540557730327e-05,8.716278540031003e-05,-8.716278540031003e-05,0,1.0000053087775531,1.0000053087775531,-1.8460777977994744e-06,0,1.0000114666477344,1.0000114666477344,-3.8099154340666878e-06,0,1.0,1.0,0.0,0,0.00017032984587061312,0.00017032984587061312,-9.2881872500968e-05,0,0.005530560748667492,0.014671500559596531,-0.014671500559596531,0,0.09098584214503891,0.09098584214503891,-0.03529404763350858,0,0.005530560748667448,0.014671500559596476,-0.014671500559596476,0,0.007803362928139883,0.014972542269505786,-0.014972542269505786,0,0.0712604484172165,0.10771895670830885,-0.10771895670830885,0,0.007803362928139851,0.014972542269505743,-0.014972542269505743,0,0.005530560748667492,0.014671500559596531,-0.014671500559596531,0,0.09098584214503891,0.09098584214503891,-0.03529404763350858,0,0.005530560748667448,0.014671500559596476,-0.014671500559596476,0,0.3333332998392596,0.3333332998392596,0.0,0,0.3333332998392596,0.3333332998392596,-7.078407648311681e-06,0,wall_60to30_10,9
