NearWallForceMag_max,NearWallForceMag_max_abs,NearWallForceMag_min,NearWallForceMag_nonfinite,NearWallForceMag_present,NearWallForceOverRhoShadow_max,NearWallForceOverRhoShadow_max_abs,NearWallForceOverRhoShadow_min,NearWallForceOverRhoShadow_nonfinite,NearWallForceOverRhoShadow_present,NearWallGradPhiMag_max,NearWallGradPhiMag_max_abs,NearWallGradPhiMag_min,NearWallGradPhiMag_nonfinite,NearWallGradPhiMag_present,PhaseField_max,PhaseField_max_abs,PhaseField_min,PhaseField_nonfinite,PhaseField_present,PsiGradMag_max,PsiGradMag_max_abs,PsiGradMag_min,PsiGradMag_nonfinite,PsiGradMag_present,PsiNormalAmbiguityFlag_max,PsiNormalAmbiguityFlag_max_abs,PsiNormalAmbiguityFlag_min,PsiNormalAmbiguityFlag_nonfinite,PsiNormalAmbiguityFlag_present,PsiNormal_max,PsiNormal_max_abs,PsiNormal_min,PsiNormal_nonfinite,PsiNormal_present,PsiSolid_max,PsiSolid_max_abs,PsiSolid_min,PsiSolid_nonfinite,PsiSolid_present,PsiWallGhost_max,PsiWallGhost_max_abs,PsiWallGhost_min,PsiWallGhost_nonfinite,PsiWallGhost_present,PsiWriteAllowedFlag_max,PsiWriteAllowedFlag_max_abs,PsiWriteAllowedFlag_min,PsiWriteAllowedFlag_nonfinite,PsiWriteAllowedFlag_present,ambiguity_fraction_near_band,case,near_band_cells,near_wall_force_over_rho_max_abs,psi_wall_ghost_above_1_cells,psi_wall_ghost_below_0_cells,step,write_allowed_cells,write_allowed_fraction_near_band
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8174606146562565,0.8174606146562565,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta060_shadow,5312,0.0,0,0,0,5312,1.0
3.4380022801475436e-06,3.4380022801475436e-06,0.0,0,True,1.4979775426255595e-05,1.4979775426255595e-05,0.0,0,True,0.29538163216935764,0.29538163216935764,0.0,0,True,1.0001418385945409,1.0001418385945409,-7.00946165972362e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta060_shadow,7208,1.4979775426255595e-05,0,0,500,7208,1.0
4.196589032219918e-06,4.196589032219918e-06,0.0,0,True,1.3296201498041942e-05,1.3296201498041942e-05,0.0,0,True,0.2916275907446763,0.2916275907446763,0.0,0,True,1.0001511881096863,1.0001511881096863,-6.891030109177997e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta060_shadow,7208,1.3296201498041942e-05,0,0,1000,7208,1.0
4.581926093873046e-06,4.581926093873046e-06,0.0,0,True,1.2176297603447286e-05,1.2176297603447286e-05,0.0,0,True,0.2894952197856362,0.2894952197856362,0.0,0,True,1.000148692200844,1.000148692200844,-7.050612679031622e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta060_shadow,7208,1.2176297603447286e-05,0,0,1500,7208,1.0
4.767696997310549e-06,4.767696997310549e-06,0.0,0,True,1.3596234747052067e-05,1.3596234747052067e-05,0.0,0,True,0.2929231167431082,0.2929231167431082,0.0,0,True,1.000151148570227,1.000151148570227,-6.987142293154643e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta060_shadow,7208,1.3596234747052067e-05,0,0,2000,7208,1.0
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8174606146562565,0.8174606146562565,0.0,0,True,0.9999996561665934,0.9999996561665934,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta090_shadow,5312,0.0,0,0,0,5312,1.0
5.542088647654427e-06,5.542088647654427e-06,0.0,0,True,1.1889055287761505e-05,1.1889055287761505e-05,0.0,0,True,0.31039443376806086,0.31039443376806086,0.0,0,True,1.00017575835809,1.00017575835809,-6.515176177853146e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta090_shadow,7208,1.1889055287761505e-05,0,0,500,7208,1.0
5.303914420971531e-06,5.303914420971531e-06,0.0,0,True,1.270425517422368e-05,1.270425517422368e-05,0.0,0,True,0.30833505483377077,0.30833505483377077,0.0,0,True,1.0001795241397804,1.0001795241397804,-6.882268678482531e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta090_shadow,7208,1.270425517422368e-05,0,0,1000,7208,1.0
5.196953584931844e-06,5.196953584931844e-06,0.0,0,True,1.3047568105102765e-05,1.3047568105102765e-05,0.0,0,True,0.30742699962099523,0.30742699962099523,0.0,0,True,1.0001798742651702,1.0001798742651702,-7.252656207375919e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta090_shadow,7208,1.3047568105102765e-05,0,0,1500,7208,1.0
5.142097005761467e-06,5.142097005761467e-06,0.0,0,True,1.322219801342429e-05,1.322219801342429e-05,0.0,0,True,0.30697736937764314,0.30697736937764314,0.0,0,True,1.0001782570898161,1.0001782570898161,-7.041166383087346e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,sphere_theta090_shadow,7208,1.322219801342429e-05,0,0,2000,7208,1.0
