step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,droplet_volume_radius,pressure_inside_mean,pressure_outside_mean,laplace_delta_p,sigma_theory,laplace_delta_p_target,laplace_delta_p_relative_error,mu_min,mu_max,u_max,spurious_u_rms_interface,interface_cells,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_min,near_wall_mu_max,near_wall_mu_abs_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
0,2301.1039221296824,0.0,0.0,0.9998920759183945,0,0,0.1,0.9999028683265551,0.0,0.33333333333333326,8.189974340818132,0.3333333333333332,0.3333333333333331,1.1102230246251565e-16,0.0016666666666666668,0.0004070016821322974,0.9999999999997272,-0.049991996031495047,0.0037837717683191843,0.0024994603998276703,7.707676545630043e-05,2828,0.0,0.02499330073963317,0.0,0.0,0.004998920799655341,0.04998920747405808,0,0.004629629629629629,0.2962962962962963,2304,2304,0,0.0,0.0,0.0,0.0,648.9885154440876,44828,0.0,0.0,8.090222936019133e-11,0.9998920759183945,276,0.0022102168810386744,-0.0029284961928693273,0.0037837717683191843,0.0037837717683191843,0,0,0
100,2301.103922129669,-1.318767317570746e-11,0.0,0.9997776027551915,0,0,0.1,0.9997998424796724,0.0,0.33373995369812914,8.189974340818116,0.33367126720088996,0.3333228232558591,0.00034844394503086296,0.0016666666666666668,0.0004070016821322982,0.14387590929513835,-0.0499717953699783,0.001643632648907057,0.0012129125717210822,0.0004523323098017995,2924,0.0,0.024975228333232187,0.0,0.0,0.004996372262571004,0.049963722284860096,0,0.0,0.2966585091945502,2304,2304,41472,2301.103922129669,53.70939817270214,0.0,0.0,665.6147483414395,41538,1.1862633644034424e-17,0.08333327163168122,6.694179836805721e-10,0.9996371615847699,322,0.0009173534098728734,-0.000995762463232494,0.001643632648907057,0.001643632648907057,0,0,0
200,2301.1039221296564,-2.5920599000528455e-11,0.0,0.9996449421047423,0,0,0.1,0.9996804478942681,0.0,0.3337045106320048,8.189974340818102,0.33361619656466523,0.33332506832617737,0.00029112823848786995,0.0016666666666666668,0.00040700168213229893,0.2847001590690317,-0.0499485760305739,0.0014744651473350878,0.0012550306641942025,0.0005350506071555446,2924,0.0,0.02495112738056146,0.0,0.0,0.004993268409802283,0.049932683908374374,0,0.0,0.2966272306047943,2304,2304,41472,2301.1039221296564,53.575127014838245,0.0,0.0,670.8572796698832,41500,9.291211131771017e-18,0.08333332195147236,2.642247657483403e-09,0.9993266148988796,324,0.0008339128888545075,-0.0008037611488844157,0.0014744651473350878,0.0014744651473350878,0,0,0
300,2301.103922129644,-3.8198777474462986e-11,0.0,0.9996605646352998,0,0,0.1,0.9996945081717699,0.0,0.33374670696611275,8.189974340818086,0.3336646463907366,0.33332284633150555,0.0003418000592310677,0.0016666666666666668,0.0004070016821322997,0.16019988556223605,-0.04994779307491037,0.0013977320885788212,0.0013237101529387238,0.0005881388420183021,2940,0.0,0.02494939228582543,0.0,0.0,0.004993140505568273,0.04993140487444008,0,0.0,0.2966635253702646,2304,2304,41472,2301.103922129644,53.450596505865285,0.0,0.0,673.7495725670351,41784,1.0218646317656477e-17,0.08333281803530154,5.251233094780962e-09,0.9993138157464332,330,0.0007756795007191994,-0.0006976077075878856,0.0013977320885788212,0.0013977320885788212,0,0,0
