theta_true_deg,theta_bbox_raw_deg
15.0,nan
16.0,nan
17.0,nan
18.0,nan
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,16.70507694553535
34.0,25.057615418303026
35.0,25.057615418303026
36.0,25.057615418303026
37.0,25.057615418303026
38.0,25.057615418303026
39.0,22.09233376445572
40.0,20.609692937532067
41.0,20.609692937532067
42.0,33.514039675043996
43.0,39.96621304379996
44.0,39.96621304379996
45.0,36.12570964000315
46.0,34.20545793810475
47.0,34.20545793810475
48.0,34.20545793810475
49.0,34.20545793810475
50.0,44.43534007114415
51.0,49.55028113766385
52.0,49.55028113766385
53.0,45.5853063610237
54.0,43.60281897270362
55.0,43.60281897270362
56.0,43.60281897270362
57.0,51.96425557203849
58.0,56.14497387170591
59.0,56.14497387170591
60.0,56.14497387170591
61.0,56.14497387170591
62.0,52.316489484535396
63.0,50.40224729095015
64.0,57.421475656263226
65.0,60.93108983891975
66.0,60.93108983891975
67.0,60.93108983891975
68.0,60.93108983891975
69.0,60.93108983891975
70.0,67.26715390389688
71.0,70.43518593638544
72.0,70.43518593638544
73.0,70.43518593638544
74.0,70.43518593638544
75.0,70.43518593638544
76.0,71.99086439990965
77.0,74.82744232001039
78.0,72.76870363167177
79.0,72.76870363167177
80.0,72.76870363167177
81.0,72.76870363167177
82.0,77.72411127217357
83.0,80.20181509242448
84.0,80.20181509242448
85.0,80.20181509242448
86.0,80.20181509242448
87.0,80.20181509242448
88.0,86.90368460204407
89.0,86.90368460204407
90.0,86.90368460204407
91.0,86.90368460204407
92.0,86.90368460204407
93.0,86.90368460204407
94.0,92.93760142877164
95.0,92.93760142877164
96.0,92.93760142877164
97.0,92.93760142877164
98.0,92.93760142877164
99.0,96.55908864308178
100.0,98.36983225023683
101.0,98.36983225023683
102.0,98.36983225023683
103.0,98.36983225023683
104.0,98.36983225023683
105.0,101.6332969035969
106.0,103.26502923027694
107.0,103.26502923027694
108.0,103.26502923027694
109.0,103.26502923027694
110.0,103.26502923027694
111.0,106.21076249034788
112.0,107.68362912038334
113.0,107.68362912038334
114.0,107.68362912038334
115.0,107.68362912038334
116.0,107.68362912038334
117.0,110.34828364590187
118.0,111.68061090866114
119.0,111.68061090866114
120.0,111.68061090866114
121.0,111.68061090866114
122.0,111.68061090866114
123.0,111.68061090866114
124.0,114.09694563696434
125.0,115.30511300111591
126.0,115.30511300111591
127.0,115.30511300111591
128.0,115.30511300111591
129.0,115.30511300111591
130.0,115.30511300111591
131.0,117.50207426595277
132.0,118.60055489837119
133.0,118.60055489837119
134.0,118.60055489837119
135.0,118.60055489837119
136.0,118.60055489837119
137.0,118.60055489837119
138.0,118.60055489837119
139.0,120.60353690470443
140.0,121.60502790787105
141.0,121.60502790787105
142.0,121.60502790787105
143.0,121.60502790787105
144.0,121.60502790787105
145.0,121.60502790787105
146.0,121.60502790787105
147.0,121.60502790787105
148.0,121.60502790787105
149.0,123.43621412361934
150.0,124.35180723149348
151.0,124.35180723149348
152.0,124.35180723149348
153.0,124.35180723149348
154.0,124.35180723149348
155.0,124.35180723149348
156.0,124.35180723149348
157.0,124.35180723149348
158.0,124.35180723149348
159.0,124.35180723149348
160.0,124.35180723149348
161.0,124.35180723149348
162.0,124.35180723149348
163.0,126.03053417439384
164.0,126.03053417439384
165.0,126.869897645844
