case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,wall_stage7_active_weight_sum,wall_stage7_active_weight_mean,wall_stage7_delta_q_raw_p50,wall_stage7_delta_q_raw_p99,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_p50,wall_stage7_delta_q_limited_p99,wall_stage7_delta_q_limited_max,wall_stage7_denom_min,wall_stage7_denom_p50,wall_stage7_limiter_reason_sum,wall_stage7_limiter_reason_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_actual_cos_p50,wall_stage7_target_cos_p50,wall_stage7_write_candidate_min,wall_stage7_write_candidate_max,wall_stage7_write_minus_profile_min,wall_stage7_write_minus_profile_max,wall_stage8_active_weight_sum,wall_stage8_active_weight_mean,wall_stage8_normal_grad_raw_p50,wall_stage8_normal_grad_target_p50,wall_stage8_contact_residual_mean,wall_stage8_contact_residual_p50,wall_stage8_contact_residual_p99,wall_stage8_tangent_grad_mag_p50,wall_stage8_target_cos_p50,wall_stage8_grad_write_delta_mag_p50,wall_stage8_grad_write_delta_mag_max,wall_stage8_limiter_reason_sum,wall_stage8_limiter_reason_max,wall_stage8_limiter_nonzero_count,wall_stage8_active_count,wall_stage8_delta_limiter_count,wall_stage8_normal_limiter_count,wall_stage8_normal_limiter_fraction,wall_stage8_vector_limiter_count,wall_stage8_vector_limiter_fraction,wall_stage8_missing_wall_data_count,wall_stage8_normal_low_agreement_count,wall_stage8_local_wall_angle_wall_p50,wall_stage8_local_wall_angle_wall_min,wall_stage8_local_wall_angle_wall_max,wall_stage8_local_wall_normal_mag_wall_p50,wall_stage8_fluid_wall_angle_p50,wall_stage8_fluid_wall_angle_min,wall_stage8_fluid_wall_angle_max,wall_stage8_fluid_wall_normal_mag_p50,wall_stage8_fluid_wall_data_count_p50,wall_stage8_fluid_wall_data_count_p05,wall_stage8_grad_candidate_use_sum,wall_stage8_grad_candidate_mag_p50,wall_stage8_grad_candidate_mag_max,wall_stage8_normal_agreement_p05,wall_stage8_normal_agreement_p50,wall_stage8_used_geom_normal_sum,wall_stage8_data_fluid_count,wall_stage8_active_fluid_count,wall_stage8_fluid_wall_angle_data_p50,wall_stage8_fluid_wall_angle_active_p50,wall_stage8_fluid_wall_data_count_data_p50,wall_stage8_fluid_wall_data_count_active_p50,wall_stage8_normal_agreement_data_p05,wall_stage8_normal_agreement_data_p50,wall_stage8_normal_agreement_active_p05,wall_stage8_normal_agreement_active_p50,wall_stage8_used_geom_normal_data_sum,wall_stage8_used_geom_normal_active_sum,wall_stage8_grad_write_delta_mag_active_p50,wall_stage8_grad_write_delta_mag_active_max,wall_stage8_contact_residual_active_p99,wall_stage8_normal_delta_raw_active_p99,wall_stage8_normal_delta_limited_active_p99,wall_stage8_vector_delta_raw_active_p99,wall_stage8_vector_delta_limited_active_p99,wall_stage8_limiter_ratio_active_p50,max_mach,nonfinite_total,path_counts
cap_theta030_wall020_mode1,0,30.0,,29.419795783828565,-0.5802042161714347,nan,128,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5956.469053172502,0.003991351225436294,0.0,0.0,0.003621945857050013,0.0,0.09387333471603265,0.0,0.0,0.0,0.05,4868544.0,128.0,1488232,7536,3424,3424,0.4543524416135881,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7536.0,1.501414356831476e-13,0.21839334447457326,0.0,0.0,77752.0,77752,7536,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7536.0,0.024080199217952444,0.05,0.12673441186505496,-0.0030434749384003323,-1.6037863261976968e-06,0.0679450417342098,0.05,1.0,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,100,30.0,,29.455571536479766,-0.5444284635202337,nan,128,52522.24270005681,-0.0013538270432434847,53962.064457356755,-0.0013164356648607018,-1.832136557339192e-31,0.9997681754785579,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5947.116360919698,0.003985084109910114,0.0,0.0,0.0021855973037999,0.0,0.06377616315397282,0.0,0.0,0.0,0.05,4884272.0,128.0,1488344,7492,3492,3492,0.4660971703150027,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7492.0,8.552182061028781e-12,0.21574603303835418,0.0,0.0,77752.0,77752,7492,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7492.0,0.025305364275698232,0.05,0.11215737909243928,-0.0034829563740206423,-1.562893853915757e-06,0.06573736509281074,0.05,1.0,1.1602360469125029e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,200,30.0,,29.460218068354486,-0.5397819316455141,nan,128,52521.43749236588,-0.0013691370821459464,53961.26005487352,-0.0013313228554675642,1.9113331759674047e-29,0.9997657399541837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5974.323214116882,0.004003315062825248,0.0,0.0,0.002033406486854898,0.0,0.057858813409184036,0.0,0.0,0.0,0.05,4885008.0,128.0,1488324,7500,3480,3480,0.464,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7500.0,5.896211578477254e-11,0.21581388874462104,0.0,0.0,77752.0,77752,7500,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7500.0,0.025685819015012046,0.05,0.10822666144846615,-0.003470669170502878,-4.728395937872178e-06,0.06382784538300365,0.05,1.0,8.253151125356682e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,300,30.0,,29.464948588788136,-0.5350514112118638,nan,128,52520.70411082204,-0.0013830814347559894,53960.52740671124,-0.001344882078700915,7.643995748156129e-25,0.9997634939004498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,5997.021933130808,0.004018525174578253,0.0,0.0,0.0019280706096334818,0.0,0.05378349708377328,0.0,0.0,0.0,0.05,4888592.0,128.0,1488332,7516,3504,3504,0.466205428419372,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7516.0,1.2836571443032478e-10,0.2158620736490178,0.0,0.0,77752.0,77752,7516,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7516.0,0.025930492979765803,0.05,0.10523806704249193,-0.003464730214525318,-9.551686786060343e-06,0.06227089539238078,0.05,1.0,8.160141484306943e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,400,30.0,,29.46939207016948,-0.53060792983052,nan,128,52520.002897045284,-0.0013964141566387431,53959.826894148275,-0.001357846563849496,2.4122491427497746e-22,0.9997673085882209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6018.964653968886,0.004033228701940629,0.0,0.0,0.001856291379408479,0.0,0.05132793865204816,0.0,0.0,0.0,0.05,4886304.0,128.0,1488272,7560,3488,3488,0.4613756613756614,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7560.0,1.9150396248598253e-10,0.21590386142073614,0.0,0.0,77752.0,77752,7560,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7560.0,0.025934038787874755,0.05,0.10291356250330352,-0.003464052581140031,-1.296901528974074e-06,0.06084730853650543,0.05,1.0,8.052769557532163e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,500,30.0,,29.47369288638814,-0.5263071136118604,nan,128,52519.32297255069,-0.0014093420888731615,53959.14764957811,-0.0013704174392451848,2.0561026546602016e-20,0.9997653907746691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6040.500597027649,0.004047659652886767,0.0,0.0,0.001804448879486847,0.0,0.04998578566472134,0.0,0.0,0.0,0.05,4885728.0,128.0,1488240,7592,3488,3488,0.4594309799789252,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7592.0,2.4234140463817534e-10,0.21594280435971341,0.0,0.0,77752.0,77752,7592,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7592.0,0.026048148393732352,0.05,0.1010167847130049,-0.0034650753083194877,-2.097702962143488e-06,0.05957148328145968,0.05,1.0,7.955434237382152e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,600,30.0,,29.47780479774857,-0.5221952022514316,nan,128,52518.658137814244,-0.0014219831078218822,53958.48347967639,-0.0013827093256183985,8.772061178616147e-19,0.9997653666645162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6061.59917047133,0.0040617975282316475,0.0,0.0,0.0017608562438720806,0.0,0.0486140599072294,0.0,0.0,0.0,0.05,4871328.0,128.0,1488104,7624,3384,3384,0.4438614900314795,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7624.0,2.819997809912465e-10,0.2159798677247713,0.0,0.0,77752.0,77752,7624,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7624.0,0.02626760779268953,0.05,0.09903283300772803,-0.0034482518530662737,-2.017928302866764e-06,0.05841891480994215,0.05,1.0,7.856882403189204e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,700,30.0,,29.481721528145332,-0.5182784718546678,nan,128,52518.006780798874,-0.0014343678643971448,53957.832774018054,-0.0013947520273336657,1.7902920316548838e-17,0.9997664922623405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6082.235922536779,0.004075625943171801,0.0,0.0,0.001722180817227332,0.0,0.047651931391543445,0.0,0.0,0.0,0.05,4844896.0,128.0,1487848,7680,3184,3184,0.41458333333333336,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7680.0,3.130190365246033e-10,0.21601539048067844,0.0,0.0,77752.0,77752,7680,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7680.0,0.02615452675371641,0.05,0.09730841673886947,-0.0032313853676707786,-8.356801662481791e-07,0.057332515238658927,0.05,1.0,7.775022142393998e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,800,30.0,,29.485510198078728,-0.5144898019212718,nan,128,52517.36820151691,-0.0014465096680079394,53957.1948333154,-0.0014065584862074684,1.9446326685099581e-16,0.9997654071410708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6102.42937187578,0.004089157306811151,0.0,0.0,0.001683960335930083,0.0,0.046550525157704414,0.0,0.0,0.0,0.05,4821312.0,128.0,1487644,7704,3004,3004,0.3899273104880582,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7704.0,3.372864863955657e-10,0.2160495570537323,0.0,0.0,77752.0,77752,7704,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7704.0,0.026306887543044187,0.05,0.09578949905367318,-0.0031923230420870573,-1.8177960287279788e-06,0.05632002221081089,0.05,1.0,7.701361411627159e-06,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020_mode1,900,30.0,,29.489141913380923,-0.5108580866190771,nan,128,52516.74081079646,-0.0014584387348131453,53956.56806998565,-0.0014181580838588989,1.3112703659683432e-15,0.999765661477924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,6122.216727284677,0.004102416552272584,0.0,0.0,0.001651956199164185,0.0,0.045776505523585274,0.0,0.0,0.0,0.05,4799488.0,128.0,1487460,7720,2836,2836,0.3673575129533679,0,0.0,1414592,0,1.5707963267948966,0.3490658503988659,1.5707963267948966,1.0,0.0,0.0,1.570796326794897,0.0,0.0,0.0,7720.0,3.5635464130165524e-10,0.2160825027086446,0.0,0.0,77752.0,77752,7720,1.5707963267948968,0.34906585039886595,9.0,9.0,1.0,1.0,1.0,1.0,77752.0,7720.0,0.02648526974601729,0.05,0.09368498807972844,-0.003187182926169702,-2.7540326193655367e-06,0.05537300885724398,0.05,1.0,7.632541909515196e-06,0,"{""2"": 64136, ""5"": 16384}"
