"step","field","max_abs","min","max","nonfinite_count"
"0","PhaseField","0.9999999810930902","0.0","0.9999999810930902","0"
"0","ReplayPhaseFromH","0.0","0.0","0.0","0"
"0","ReplayFmuRaw","0.0","0.0","0.0","0"
"0","ReplayFtotal","0.0","0.0","0.0","0"
"0","ReplayForceOverRho","0.0","0.0","0.0","0"
"0","ReplayPressureInput","0.0","0.0","0.0","0"
"0","ReplayFphiMaxAbs","0.0","0.0","0.0","0"
"0","ForceIterResidual","0.0","0.0","0.0","0"
"10","PhaseField","1.0000151742270116","-6.03527803432711E-06","1.0000151742270116","0"
"10","ReplayPhaseFromH","1.0000151742270116","-6.03527803432711E-06","1.0000151742270116","0"
"10","ReplayFmuRaw","0.007946991336675716","-0.007946991336675716","0.0006344304997366922","0"
"10","ReplayFtotal","0.007948521055014103","-0.007948521055014103","0.0006350037897997114","0"
"10","ReplayForceOverRho","1.4818008012318722","-1.4818008012318722","0.11083229260226557","0"
"10","ReplayPressureInput","0.0008267028123789402","-0.0002614376460345863","0.0008267028123789402","0"
"10","ReplayFphiMaxAbs","0.024414630592411064","0.0","0.024414630592411064","0"
"10","ForceIterResidual","0.0","0.0","0.0","0"
"20","PhaseField","3.90810995294622E+297","-1.25877634862091E+178","3.90810995294622E+297","73000"
"20","ReplayPhaseFromH","3.90810995294622E+297","-1.25877634862091E+178","3.90810995294622E+297","73000"
"20","ReplayFmuRaw","6.00061676464927E+299","-6.00061676464927E+299","4.58695135021653E+299","190920"
"20","ReplayFtotal","8.62698863417733E+289","-8.62698863417733E+289","8.62698863414816E+289","191916"
"20","ReplayForceOverRho","1.09047227209126E+192","-1.09047227209126E+192","1.09047227208868E+192","191916"
"20","ReplayPressureInput","3.17184712533179E+296","-6.34089034146635E+269","3.17184712533179E+296","63844"
"20","ReplayFphiMaxAbs","3.89886925366568E+305","0.0","3.89886925366568E+305","414"
"20","ForceIterResidual","0.0","0.0","0.0","0"
"30","PhaseField","1.0000752056206288","-1.96279460745356E-06","1.0000752056206288","181572"
"30","ReplayPhaseFromH","1.0000752056206288","-1.96279460745356E-06","1.0000752056206288","181572"
"30","ReplayFmuRaw","0.0007139465198228605","-0.00023422457519887039","0.0007139465198228605","514020"
"30","ReplayFtotal","0.0007183625180525914","-0.0002322173032762613","0.0007183625180525914","514020"
"30","ReplayForceOverRho","0.1436725034838992","-0.04644346061432148","0.1436725034838992","514020"
"30","ReplayPressureInput","7.06565770094128E-05","-4.87562772520013E-07","7.06565770094128E-05","171340"
"30","ReplayFphiMaxAbs","0.0244113822483937","0.0","0.0244113822483937","0"
"30","ForceIterResidual","0.0","0.0","0.0","0"
"40","PhaseField","0.5","-2.56395714407539E-07","0.5","273916"
"40","ReplayPhaseFromH","2.56395714407539E-07","-2.56395714407539E-07","3.7970374554695E-12","273916"
"40","ReplayFmuRaw","0.16984422757952147","-0.03836238446727135","0.16984422757952147","795240"
"40","ReplayFtotal","0.17022366800387712","-0.038189911547109684","0.17022366800387712","795240"
"40","ReplayForceOverRho","34.04473360071027","-7.63798230940732","34.04473360071027","795240"
"40","ReplayPressureInput","0.014872899800972594","-1.29502909653986E-08","0.014872899800972594","265080"
"40","ReplayFphiMaxAbs","3.19699066755027E-08","0.0","3.19699066755027E-08","0"
"40","ForceIterResidual","0.0","0.0","0.0","0"
"50","PhaseField","2.37927102379846E+90","-2.37927102379846E+90","0.5","362928"
"50","ReplayPhaseFromH","2.37927102379846E+90","-2.37927102379846E+90","5.89846578592289E-14","362928"
"50","ReplayFmuRaw","5.84477759849896E+26","-5.8447775984814E+26","5.84477759849896E+26","1061976"
"50","ReplayFtotal","2.40219389417038E+99","-2.40219389417038E+99","2.40219389412908E+99","1061976"
"50","ReplayForceOverRho","9.45836144014393E+64","-9.45836144003552E+64","9.45836144014393E+64","1061976"
"50","ReplayPressureInput","1.83472455323224E+62","-1.83472455323224E+62","0.0007751594337392495","353992"
"50","ReplayFphiMaxAbs","6.20084349730593E+67","0.0","6.20084349730593E+67","0"
"50","ForceIterResidual","0.0","0.0","0.0","0"
