status,step,file,dims,phase_nonfinite_count,phase_min,phase_max,phase_sum,phase_clipped_sum,fluid_cell_count,fluid_phase_sum,fluid_phase_clipped_sum,boundary_cell_count,wall_phase_sum,top_interface_z_lu,measured_Hmax_lu,measured_H1_minus_H2_lu,fit_contact_angle_deg,fit_contact_angle_x_slice_deg,fit_contact_angle_y_slice_deg,fit_x_point_count,fit_y_point_count,u_nonfinite_count,u_max_fluid,u_max_interface_band,u_max_contact_interface_band,mach_max_fluid,mach_max_interface_band,rho_nonfinite_count,rho_sum,fluid_rho_sum,target_expected_Hmax_lu,target_expected_H1_minus_H2_lu,target_liquid_spherical_cap_radius_lu,target_liquid_solid_center_distance_lu,Hmax_relative_error_percent,H1_minus_H2_relative_error_percent,phase_sum_rel_change,phase_clipped_sum_rel_change,fluid_phase_sum_rel_change,fluid_phase_clipped_sum_rel_change,rho_sum_rel_change,fluid_rho_sum_rel_change
exploratory_not_validation,0,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00000000.vti,96x80x140,0,0.0,1.7954628943313247,108189.14332097556,108155.24468566931,954036,59987.78315628944,59987.78315628944,121164,48201.36016468611,95.48976686071707,71.48976686071707,47.48976686071707,163.59725731395724,163.59725731395724,163.59725731395724,184,184,0,0.0,0.0,0.0,0.0,0.0,0,60881.83137313317,60881.83137313318,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,63.91572916575209,142.1250928011663,0.0,0.0,0.0,0.0,0.0,0.0
exploratory_not_validation,20000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00020000.vti,96x80x140,0,1.5273652907816405e-08,1.3889462119646154,110698.16843029919,110607.62857837016,954036,59734.12711769138,59734.12711769138,121164,50964.04131260782,93.36740342060324,69.36740342060324,45.36740342060324,138.49551417804616,138.50022715773824,138.4908011983541,178,178,0,0.0003429420008591604,0.000270507209865021,0.0002683116646263596,0.0005939929695373954,0.00046853223129991343,0,60628.42899057368,60628.42899057364,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,59.04945576582925,131.30428910249756,0.023191098776703067,0.022674664551203136,-0.004228461617546342,-0.004228461617546342,-0.0041622003945058295,-0.004162200394506665
exploratory_not_validation,40000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00040000.vti,96x80x140,0,1.5694278670239133e-08,1.9217856178251338,112846.24147204467,112693.58880074113,954036,59530.148844837044,59530.148844837044,121164,53316.092627207654,89.89943522835276,65.89943522835276,41.89943522835276,114.18354968109908,114.19130972988553,114.17578963231263,174,174,0,0.00034412412811647697,0.00024287536013776266,0.00023973998748075454,0.0005960404740080798,0.0004206724636651938,0,60424.654695992154,60424.65469599217,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,51.09790465692876,113.62296161055919,0.043045891742135585,0.04196138733966684,-0.007628791853502891,-0.007628791853502891,-0.007509246466964331,-0.007509246466964211
exploratory_not_validation,60000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00060000.vti,96x80x140,0,1.5575473713098014e-08,4.282805872216372,114731.16764143814,114355.07939625563,954036,59324.16811666189,59324.16811666189,121164,55406.999524776256,86.7540441548765,62.754044154876496,38.754044154876496,95.75312147895352,95.78219834237609,95.72404461553093,174,172,0,0.0003101141123449665,0.0002128265104845478,0.00020765614999397651,0.0005371333987256048,0.0003686263293568272,0,60218.879948545204,60218.87994854522,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,43.885976377391806,97.58628348166806,0.06046839932038,0.05732347727199776,-0.011062503141658074,-0.011062503141658074,-0.010889150500826195,-0.010889150500826075
exploratory_not_validation,80000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00080000.vti,96x80x140,0,1.5910262633912568e-08,4.319147919067232,116141.11272993054,115611.33497416244,954036,59132.24973956948,59132.24973956948,121164,57008.862990361085,84.00657018025503,60.006570180255025,36.006570180255025,75.82224047839381,75.98009424994937,75.66438670683826,182,182,0,0.00027600397935488693,0.0001849775376998303,0.00018445423458186868,0.00047805291533385566,0.00032039049355509354,0,60027.153489829914,60027.1534898299,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,37.5864146402354,83.57837325071081,0.07350062275068646,0.06893877694200314,-0.014261794180508285,-0.014261794180508285,-0.014038307718851298,-0.014038307718851655
exploratory_not_validation,100000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00100000.vti,96x80x140,0,1.561192532053354e-08,3.1062544345594905,117195.48153681091,116619.1033185014,954036,58959.10917419521,58959.10917419521,121164,58236.37236261566,81.60325055151853,57.60325055151853,33.60325055151853,67.33846266800938,66.88518149672002,67.79174383929876,174,177,0,0.0002455305553909403,0.0001623846372165593,0.00016198021358099573,0.00042527139674771315,0.00028125844202772074,0,59854.186065021015,59854.186065021015,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,32.07594920354959,71.32512320117156,0.08324622914441002,0.0782565714444133,-0.017148057953969908,-0.017148057953969908,-0.016879342899754696,-0.016879342899754814
exploratory_not_validation,120000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00120000.vti,96x80x140,0,1.6052256802396765e-08,2.3916104830748957,118080.3596898865,117496.3865620591,954036,58804.7748606847,58804.7748606847,121164,59275.58482920174,79.49764101716396,55.49764101716396,31.497641017163957,60.7737831779108,60.944279229384364,60.603287126437245,174,172,0,0.0002176783749636489,0.0001430579416324208,0.00014260339384102318,0.000377030005146069,0.0002477836233335758,0,59700.00608582403,59700.00608582404,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,27.248090094223816,60.58973876763925,0.09142522128644352,0.08636790479775497,-0.01972082036308268,-0.01972082036308268,-0.019411789373843864,-0.01941178937384386
exploratory_not_validation,140000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00140000.vti,96x80x140,0,1.6202269424040216e-08,1.8862199588647988,118869.49150122426,118276.63421902398,954036,58665.51161197909,58665.51161197909,121164,60203.97988924514,77.63478542974156,53.634785429741555,29.634785429741555,56.16250698905846,55.88495509137007,56.440058886746854,168,167,0,0.00019243143294108117,0.0001263688195691911,0.0001260141795354036,0.0003333010188272359,0.0002188772159863432,0,59560.88210036716,59560.88210036716,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,22.97683078885005,51.09202774912258,0.09871922313463778,0.09358205016104747,-0.02204234720368588,-0.02204234720368588,-0.021696937213832545,-0.02169693721383266
exploratory_not_validation,160000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00160000.vti,96x80x140,0,1.5631933600310242e-08,1.5942296927764008,119608.7746377101,119013.36286020573,954036,58537.74921435693,58537.74921435693,121164,61071.0254233532,75.98179429492083,51.98179429492083,27.98179429492083,52.522132402710994,52.98074457298907,52.06352023243292,159,162,0,0.0001720202329727515,0.00011241218532987823,0.00011212039182356805,0.00029794778343864063,0.0001947036163811979,0,59433.24746514254,59433.24746514255,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,19.186760418407314,42.664304086216184,0.10555247011111617,0.10039382006941294,-0.02417215415603303,-0.02417215415603303,-0.023793369471961857,-0.023793369471961732
exploratory_not_validation,180000,/media/yuan/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_tableII_q27_geometric_theta030_radAngle011_param_sensitivity_200k_20260610/M0p1_W6/theta030/output/case_VTK_P00_00180000.vti,96x80x140,0,1.5945238646773892e-08,1.4352234251144322,120260.90109005335,119673.97490280269,954036,58422.70721195856,58422.70721195856,121164,61838.193878094826,74.50096216071775,50.50096216071775,26.500962160717748,48.679423684781824,48.72304686047693,48.63580050908672,162,160,0,0.0001549203049390313,0.0001011167103413929,0.00010092664250653261,0.0002683298392784659,0.00017513927980551783,0,59318.32050474656,59318.320504746574,43.61373202227981,19.613732022279812,29.045304538144578,14.568427484135233,15.791425817262406,35.11432770986434,0.11158012161408185,0.10650181829471296,-0.02608991134500349,-0.02608991134500349,-0.02568107484816204,-0.025681074848161917
