step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.033333603951228113,0.33157576349087386,-2.155422422680661e-05,0.0008062190325630363,0.08530678016913608,0.07213017053301055,0.0001888309981740288,0.0,0.0,0.07194544267933292,0.17061356033827213,0,0.0004629667215448349,0.2947340119918878,0,0,0.5,0.5,0
1,1151.6332540613578,0.0,7.965761517303102e-07,0.9945160181843508,0,0,0.10000071691853657,0.9950644163659157,0.03333357230617885,0.33168813878863856,-2.1346553076874177e-05,0.0007945018072154198,0.4101003896467313,0.07139773152316808,0.00018522298833249904,0.0,0.0,0.0712180685021231,0.17075233436457607,0,0.00037730049276978126,0.29473300029156535,0,0,0.5,0.5,0
2,1151.6332540613575,-2.2737367544323206e-13,7.236956218712945e-07,0.9948116422325328,0,0,0.10000065132605969,0.9953304780092795,0.033333550442019896,0.33177682600309316,-2.1186233009283323e-05,0.0008035312517274408,0.777107387518781,0.07087898915735107,0.0001829977635831496,0.0,0.0,0.07070274719423755,0.1707877868071958,0,0.00012188558550028579,0.2948362506813749,0,0,0.5,0.5,0
3,1151.6332540613578,0.0,6.700181078897242e-07,0.9950486928449573,0,0,0.10000060301629711,0.9955438235604617,0.0333335343387657,0.33184794118682054,-2.1075300103474112e-05,0.0008092833062264674,1.292052561181745,0.07049072660461203,0.00018143608108080533,0.0,0.0,0.07031694896012028,0.17078923881411925,0,-0.01123673998379938,0.2948400625657617,0,0,0.5,0.5,0
4,1151.6332540613575,-2.2737367544323206e-13,6.285266852717463e-07,0.9952398797909361,0,0,0.10000056567401674,0.9957158918118425,0.03333352189133891,0.33190529727061413,-2.10116265546911e-05,0.0008131960053265209,2.1255538585259037,0.07018935687116315,0.0001802930841950331,0.0,0.0,0.07001743631071652,0.17078464800328833,0,-0.1007431317546885,0.294794414064921,0,0,0.5,0.5,0
5,1151.6332540613575,-2.2737367544323206e-13,5.952588606306863e-07,0.99539388227012,0,0,0.10000053573297457,0.9958544940431081,0.03333351191099152,0.33195149801436935,-2.0989485915491494e-05,0.000815994190391491,3.8847267376526857,0.06994927004411167,0.0001794325465821473,0.0,0.0,0.06977879366464444,0.170784821482501,0,-0.2640505787933764,0.29473233572942914,0,0,0.5,0.5,0
6,1151.6332540613573,-4.547473508864641e-13,5.678221022732316e-07,0.9955172575759134,0,0,0.10000051103989205,0.995965531818322,0.033333503679964016,0.33198851060610735,-2.1001241919785217e-05,0.0008180723911719737,8.83802167920094,0.06975419478768458,0.0001787716030383369,0.0,0.0,0.06958486703842214,0.17079330310786348,0,-0.8632174763943296,0.5331113733376261,0,0,0.5,0.5,0
7,1151.6332540613573,-4.547473508864641e-13,5.446872678206132e-07,0.9956153371421028,0,0,0.10000049021854104,0.9960538034278925,0.03333349673951368,0.33201793447596417,-2.103885285715443e-05,0.0008196610084914098,18.736036880473055,0.06961088933460968,0.0001782564985549606,0.0,0.0,0.0694428647384493,0.17081055347924606,0,-4.433948774768072,2.343091888746189,0,0,0.5,0.5,0
8,1151.6332540613575,-2.2737367544323206e-13,5.248295544635839e-07,0.9956926158610715,0,0,0.10000047234659902,0.9961233542749643,0.03333349078219967,0.33204111809165476,-2.109485061824084e-05,0.0008209028392118611,247.50760220039206,0.06950550976369771,0.00017785061754374597,0.0,0.0,0.06933830504954927,0.17083577267272074,0,-32.170290323544656,16.018915558413692,0,0,0.5,0.5,0
9,1151.633254061357,-6.821210263296962e-13,5.075345616352165e-07,0.9957529196880744,0,0,0.10000045678110547,0.996177627719267,0.03333348559370182,0.3320592092397556,-2.1162836607516897e-05,0.0008218906842181097,30077.473356761642,0.06941711297080912,0.00017752805256722562,0.0,0.0,0.06925058174397311,0.17086771331004103,0,-4237.3347799697385,2122.091344602052,0,0,0.5,0.5,0
10,1151.633254061357,-6.821210263296962e-13,4.922876573584795e-07,0.9957994906962438,0,0,0.10000044305889162,0.9962195416266195,0.03333348101963054,0.33207318054220647,-2.1237639186922118e-05,0.0008226871136107083,463274504.86883485,0.06934228061151926,0.00017726991692512667,0.0,0.0,0.06917630831998466,0.17090504541521775,0,-54692086.200809054,26166707.18781042,0,0,0.5,0.5,0
11,1151.633254061357,-6.821210263296962e-13,4.787077738604021e-07,0.995835048527066,0,0,0.10000043083699647,0.9962515436743594,0.03333347694566549,0.3320838478914531,-2.1315270626852967e-05,0.0008233355406860288,9.563238041550397e+16,0.06927842583977264,0.0001772605839795407,0.0,0.0,0.06911292131308838,0.17094651584078643,0,-1.2302047060933516e+16,5662423069744949.0,0,0,0.5,0.5,0
12,1151.633254061357,-6.821210263296962e-13,4.665061093195417e-07,0.9958618485082211,0,0,0.10000041985549839,0.9962756636573991,0.03333347328516613,0.3320918878857997,-2.1392784482211858e-05,0.0008238667886578145,4.249992096470777e+33,0.06922355802903857,0.00017736392717718406,0.0,0.0,0.06905844766186965,0.17099101129320093,0,-5.5230625180437416e+32,1.9251556080821826e+32,0,0,0.5,0.5,0
13,1151.633254061357,-6.821210263296962e-13,4.5545941968505265e-07,0.995881740466061,0,0,0.10000040991347772,0.996293566419455,0.03333346997115924,0.3320978554731516,-2.1468097434814095e-05,0.0008243031738823788,6.998996985231446e+66,0.06917612301051414,0.0001774541756136516,0.0,0.0,0.06901134664873743,0.1710375757090731,0,-1.0347363542667534e+66,3.955400502831674e+65,0,0,0.5,0.5,0
14,1151.633254061357,-6.821210263296962e-13,4.4539219428302723e-07,0.9958962267568069,0,0,0.10000040085297486,0.9963066040811263,0.03333346695099162,0.3321022013603754,-2.1539811798367296e-05,0.0008246611430832003,2.69491551091427e+133,0.0691348917730146,0.00017753297418983554,0.0,0.0,0.06897039973317846,0.17108540635215652,0,-2.9554926673622074e+132,1.3127240864341955e+132,0,0,0.5,0.5,0
15,1151.6332540613569,-9.094947017729282e-13,4.361644276129611e-07,0.9959065170669926,0,0,0.10000039254798486,0.9963158653602934,0.033333464182661615,0.3321052884534311,-2.1607056484517277e-05,0.0008249530275218466,inf,0.06909888123482279,0.00017760151127748947,0.0,0.0,0.06893463209992215,0.17113384060668826,0,-4.158417275685275e+265,1.5691536005820066e+265,0,0,0.5,0.5,0
16,1151.6332540613569,-9.094947017729282e-13,4.2766302325993087e-07,0.9959135781251871,0,0,0.10000038489672095,0.9963222203126684,0.03333346163224031,0.33210740677088946,-2.1669353161005325e-05,0.0008251882361344857,nan,0.06906729680180812,0.00017766067610341395,0.0,0.0,0.06890325576203327,0.1711823394182456,0,nan,nan,0,0,0.5,0.5,411672
17,1151.633254061357,-6.821210263296962e-13,4.197956183739268e-07,0.995918177362219,0,0,0.10000037781605654,0.9963263596259971,0.03333345927201885,0.33210878654199905,-2.1726508245201108e-05,0.0008253740807202381,nan,0.06903949005823884,0.00017771116147477457,0.0,0.0,0.06887562764254788,0.17123047031862812,0,nan,nan,0,0,0.5,0.5,414720
18,1151.6332540613566,-1.1368683772161603e-12,4.1248605963577367e-07,0.9959209203058145,0,0,0.10000037123745367,0.9963288282752331,0.033333457079151224,0.33210960942507767,-2.1778528397258444e-05,0.0008255163537436325,nan,0.06901492717224406,0.0001777535312208637,0.0,0.0,0.06885121826549757,0.17127789142907907,0,nan,nan,0,0,0.5,0.5,414720
19,1151.6332540613569,-9.094947017729282e-13,4.056710297541375e-07,0.9959222819962468,0,0,0.10000036510392678,0.9963300537966221,0.03333345503464226,0.33211001793220735,-2.1825556008499067e-05,0.0008256197366143623,nan,0.06899316501494711,0.00017778826447281356,0.0,0.0,0.06882958808715828,0.17132433703728217,0,nan,nan,0,0,0.5,0.5,414720
20,1151.6332540613566,-1.1368683772161603e-12,3.9929749086410694e-07,0.9959226329896159,0,0,0.10000035936774178,0.9963303696906544,0.03333345312258059,0.3321101232302181,-2.1867820991298158e-05,0.0008256880901281896,nan,0.0689738329139912,0.0001778157845746463,0.0,0.0,0.06881036940944953,0.17136960493013959,0,nan,nan,0,0,0.5,0.5,414720
