B5FphiNormalProxy_max_abs,B5FphiNormalProxy_mean,B5FphiNormalProxy_negative_fraction,B5FphiNormalProxy_positive_fraction,B5GradPhiNormal_max_abs,B5GradPhiNormal_mean,B5GradPhiNormal_negative_fraction,B5GradPhiNormal_positive_fraction,B5PhaseFromHDelta_max_abs,B5PhaseFromHDelta_mean,B5PhaseFromHDelta_negative_fraction,B5PhaseFromHDelta_positive_fraction,B5WallGhostMinusCenter_max_abs,B5WallGhostMinusCenter_mean,B5WallGhostMinusCenter_negative_fraction,B5WallGhostMinusCenter_positive_fraction,ReplayLapPhi_max_abs,ReplayLapPhi_mean,ReplayLapPhi_negative_fraction,ReplayLapPhi_positive_fraction,ReplayMu_max_abs,ReplayMu_mean,ReplayMu_negative_fraction,ReplayMu_positive_fraction,case,consumed_contact_cells,consumed_fraction_contact,contact_line_cells,expected_response_sign_max_abs,expected_response_sign_mean,near_wall_cells,phase_max,phase_min,phase_nonfinite,signal_ok_fraction,status,step
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,,,0,1.0,0.0,0,,fail,0
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,,,0,1.0001453221856813,-9.620593033205608e-05,0,,fail,200
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,,,0,1.0001151814747025,-0.00010312210094436157,0,,fail,400
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,,,0,1.0001144833520255,-0.00010687085998086274,0,,fail,600
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_B_shadow_only,0,0.0,0,,,0,1.0,0.0,0,,pass,0
0.11289872332247225,0.01385066415487898,0.30413223140495865,0.6958677685950413,0.10106241586016908,0.013505297891741916,0.30413223140495865,0.6958677685950413,2.220446049250313e-16,-2.8377782217756135e-17,0.0,0.0,0.9496130470554731,-0.302768207800784,0.6479338842975206,0.009917355371900827,0.18955961342047997,-0.006200478945753268,0.4975206611570248,0.5024793388429752,2.2375251172343356e-05,2.9118707879997907e-06,0.34545454545454546,0.6545454545454545,cylinder_init090_neutral_B_shadow_only,1088,0.44958677685950416,2420,0.0,0.0,36096,1.0001453221856813,-9.620593033205608e-05,0,0.0,pass,200
0.11586128159781678,0.014521406929263623,0.29623567921440264,0.7037643207855974,0.10298758156003031,0.014250466097583897,0.29623567921440264,0.7037643207855974,2.220446049250313e-16,-2.88798808471949e-17,0.0,0.0,0.9499508181435148,-0.308208375510791,0.646481178396072,0.009819967266775777,0.18138722530858015,-0.007395271470756863,0.4959083469721768,0.5040916530278232,2.155541044889201e-05,2.8728405336047453e-06,0.34206219312602293,0.6579378068739771,cylinder_init090_neutral_B_shadow_only,1108,0.4533551554828151,2444,0.0,0.0,36096,1.0001151814747036,-0.00010312210094436048,0,0.0,pass,400
0.1178118351015022,0.014721504343082538,0.3088235294117647,0.6911764705882353,0.10455305446223866,0.014412897313417206,0.3088235294117647,0.6911764705882353,3.3306690738754696e-16,-2.9379752987744455e-17,0.0,0.0,0.9494710206579153,-0.3057017831730032,0.6421568627450981,0.00980392156862745,0.17634240789348443,-0.007533603103496229,0.5,0.5,2.1089105760746116e-05,2.8145264981333125e-06,0.35784313725490197,0.6421568627450981,cylinder_init090_neutral_B_shadow_only,1112,0.4542483660130719,2448,0.0,0.0,36096,1.0001144833520557,-0.00010687085998085084,0,0.0,pass,600
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_C_controlled_psi,0,0.0,0,,,0,1.0,0.0,0,,pass,0
0.11289934843124864,0.013850342549269362,0.30413223140495865,0.6958677685950413,0.10106283624336898,0.013504987708963065,0.30413223140495865,0.6958677685950413,2.220446049250313e-16,-2.853835166346638e-17,0.0,0.0,0.949612396458593,-0.30276922533023143,0.6479338842975206,0.009917355371900827,0.18955459858769863,-0.00620114121962534,0.4975206611570248,0.5024793388429752,2.237553190807096e-05,2.911937433283952e-06,0.34545454545454546,0.6545454545454545,cylinder_init090_neutral_C_controlled_psi,1088,0.44958677685950416,2420,0.0,0.0,36096,1.0001300720495574,-9.628932874456895e-05,0,0.0,pass,200
0.11586174586862999,0.01452129397662992,0.29623567921440264,0.7037643207855974,0.10298787165630793,0.014250366871500771,0.29623567921440264,0.7037643207855974,3.3306690738754696e-16,-2.945055092685339e-17,0.0,0.0,0.9499528271283386,-0.3082106668764824,0.646481178396072,0.009819967266775777,0.18138465065007495,-0.00739645196241736,0.4959083469721768,0.5040916530278232,2.1555837293179827e-05,2.872958668372829e-06,0.34206219312602293,0.6579378068739771,cylinder_init090_neutral_C_controlled_psi,1108,0.4533551554828151,2444,0.0,0.0,36096,1.000133958614041,-0.00010271974526951071,0,0.0,pass,400
0.11781107970235355,0.014721260543295728,0.3088235294117647,0.6911764705882353,0.10455306106687895,0.014412707939913493,0.3088235294117647,0.6911764705882353,3.3306690738754696e-16,-2.860593026071558e-17,0.0,0.0,0.9494771270344152,-0.3057065937412316,0.6421568627450981,0.00980392156862745,0.17634124978347615,-0.007535829411282371,0.5,0.5,2.1089967181390912e-05,2.814745786566533e-06,0.35784313725490197,0.6421568627450981,cylinder_init090_neutral_C_controlled_psi,1112,0.4542483660130719,2448,0.0,0.0,36096,1.0001262483583762,-0.00010724334668333894,0,0.0,pass,600
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_neutral_D_controlled_legacy,0,0.0,0,,,0,1.0,0.0,0,,pass,0
0.11289872332247225,0.01385066415487898,0.30413223140495865,0.6958677685950413,0.10106241586016908,0.013505297891741916,0.30413223140495865,0.6958677685950413,2.220446049250313e-16,-2.8377782217756135e-17,0.0,0.0,0.9496130470554731,-0.302768207800784,0.6479338842975206,0.009917355371900827,0.18955961342047997,-0.006200478945753268,0.4975206611570248,0.5024793388429752,2.2375251172343356e-05,2.9118707879997907e-06,0.34545454545454546,0.6545454545454545,cylinder_init090_neutral_D_controlled_legacy,1088,0.44958677685950416,2420,0.0,0.0,36096,1.0001453221856813,-9.620593033205608e-05,0,0.0,pass,200
0.11586128159781678,0.014521406929263623,0.29623567921440264,0.7037643207855974,0.10298758156003031,0.014250466097583897,0.29623567921440264,0.7037643207855974,2.220446049250313e-16,-2.88798808471949e-17,0.0,0.0,0.9499508181435148,-0.308208375510791,0.646481178396072,0.009819967266775777,0.18138722530858015,-0.007395271470756863,0.4959083469721768,0.5040916530278232,2.155541044889201e-05,2.8728405336047453e-06,0.34206219312602293,0.6579378068739771,cylinder_init090_neutral_D_controlled_legacy,1108,0.4533551554828151,2444,0.0,0.0,36096,1.0001151814747036,-0.00010312210094436048,0,0.0,pass,400
0.1178118351015022,0.014721504343082538,0.3088235294117647,0.6911764705882353,0.10455305446223866,0.014412897313417206,0.3088235294117647,0.6911764705882353,3.3306690738754696e-16,-2.9379752987744455e-17,0.0,0.0,0.9494710206579153,-0.3057017831730032,0.6421568627450981,0.00980392156862745,0.17634240789348443,-0.007533603103496229,0.5,0.5,2.1089105760746116e-05,2.8145264981333125e-06,0.35784313725490197,0.6421568627450981,cylinder_init090_neutral_D_controlled_legacy,1112,0.4542483660130719,2448,0.0,0.0,36096,1.0001144833520557,-0.00010687085998085084,0,0.0,pass,600
