NearWallForceMag_max,NearWallForceMag_max_abs,NearWallForceMag_min,NearWallForceMag_nonfinite,NearWallForceMag_present,NearWallForceOverRhoShadow_max,NearWallForceOverRhoShadow_max_abs,NearWallForceOverRhoShadow_min,NearWallForceOverRhoShadow_nonfinite,NearWallForceOverRhoShadow_present,NearWallGradPhiMag_max,NearWallGradPhiMag_max_abs,NearWallGradPhiMag_min,NearWallGradPhiMag_nonfinite,NearWallGradPhiMag_present,PhaseField_max,PhaseField_max_abs,PhaseField_min,PhaseField_nonfinite,PhaseField_present,PsiGradMag_max,PsiGradMag_max_abs,PsiGradMag_min,PsiGradMag_nonfinite,PsiGradMag_present,PsiNormalAmbiguityFlag_max,PsiNormalAmbiguityFlag_max_abs,PsiNormalAmbiguityFlag_min,PsiNormalAmbiguityFlag_nonfinite,PsiNormalAmbiguityFlag_present,PsiNormal_max,PsiNormal_max_abs,PsiNormal_min,PsiNormal_nonfinite,PsiNormal_present,PsiSolid_max,PsiSolid_max_abs,PsiSolid_min,PsiSolid_nonfinite,PsiSolid_present,PsiWallGhostClampHit_max,PsiWallGhostClampHit_max_abs,PsiWallGhostClampHit_min,PsiWallGhostClampHit_nonfinite,PsiWallGhostClampHit_present,PsiWallGhostRaw_max,PsiWallGhostRaw_max_abs,PsiWallGhostRaw_min,PsiWallGhostRaw_nonfinite,PsiWallGhostRaw_present,PsiWallGhost_max,PsiWallGhost_max_abs,PsiWallGhost_min,PsiWallGhost_nonfinite,PsiWallGhost_present,PsiWriteAllowedFlag_max,PsiWriteAllowedFlag_max_abs,PsiWriteAllowedFlag_min,PsiWriteAllowedFlag_nonfinite,PsiWriteAllowedFlag_present,PsiWriteAppliedFlag_max,PsiWriteAppliedFlag_max_abs,PsiWriteAppliedFlag_min,PsiWriteAppliedFlag_nonfinite,PsiWriteAppliedFlag_present,PsiWriteRejectedReason_max,PsiWriteRejectedReason_max_abs,PsiWriteRejectedReason_min,PsiWriteRejectedReason_nonfinite,PsiWriteRejectedReason_present,WallGhostClampHit_max,WallGhostClampHit_max_abs,WallGhostClampHit_min,WallGhostClampHit_nonfinite,WallGhostClampHit_present,WallGhostClamped_max,WallGhostClamped_max_abs,WallGhostClamped_min,WallGhostClamped_nonfinite,WallGhostClamped_present,WallGhostRaw_max,WallGhostRaw_max_abs,WallGhostRaw_min,WallGhostRaw_nonfinite,WallGhostRaw_present,WallGhost_max,WallGhost_max_abs,WallGhost_min,WallGhost_nonfinite,WallGhost_present,WettingPathId_max,WettingPathId_max_abs,WettingPathId_min,WettingPathId_nonfinite,WettingPathId_present,ambiguity_fraction_near_band,applied_without_path170_cells,case,near_band_cells,near_wall_force_over_rho_max_abs,path170_without_applied_cells,psi_wall_ghost_above_1_cells,psi_wall_ghost_below_0_cells,step,wallghost_psi_max_abs_diff_applied,wallghost_psi_mismatch_cells_applied,wallghostclamped_psi_max_abs_diff_applied,wallghostclamped_psi_mismatch_cells_applied,wallghostclamphit_psiclamphit_max_abs_diff_applied,wallghostclamphit_psiclamphit_mismatch_cells_applied,wallghostraw_psiraw_max_abs_diff_applied,wallghostraw_psiraw_mismatch_cells_applied,wetting_path_170_cells,write_allowed_cells,write_allowed_fraction_near_band,write_applied_cells
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,11.0,20.0,-20.0,0,True,0.0,0,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,0,0,0,,0,,0,,0,,0,0,0,0.0,0
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0001453221856813,1.0001453221856813,-9.620593033205608e-05,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000088454055584,1.000088454055584,-4.773346268028451e-05,0,True,1.0000976016140806,1.0000976016140806,-9.620593033205608e-05,0,True,1.000088454055584,1.000088454055584,-4.773346268028451e-05,0,True,11.0,11.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,0,0,200,,0,,0,,0,,0,0,0,0.0,0
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0001151814747025,1.0001151814747025,-0.00010312210094436157,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000102127662046,1.000102127662046,-5.773364505299983e-05,0,True,1.0001074735383282,1.0001074735383282,-0.00010312210094436157,0,True,1.000102127662046,1.000102127662046,-5.773364505299983e-05,0,True,11.0,11.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,0,0,400,,0,,0,,0,,0,0,0,0.0,0
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0001144833520255,1.0001144833520255,-0.00010687085998086274,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000095110498736,1.000095110498736,-6.517260635021737e-05,0,True,1.000095110498736,1.000095110498736,-0.00010687085998086274,0,True,1.000095110498736,1.000095110498736,-6.517260635021737e-05,0,True,11.0,11.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_A_legacy_baseline,0,0.0,0,0,0,600,,0,,0,,0,,0,0,0,0.0,0
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827152323622989,0.2827152323622989,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8094273176888296,0.8094273176888296,0.0,0,True,0.0,0.0,0.0,0,True,0.9999999999986269,0.9999999999986269,0.0,0,True,0.9999999999986269,0.9999999999986269,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,8.0,8.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,11.0,20.0,-20.0,0,True,0.0,0,cylinder_init090_neutral_B_shadow_only,12428,0.0,0,0,0,0,,0,,0,,0,,0,0,12428,1.0,0
5.721318709336918e-06,5.721318709336918e-06,0.0,0,True,2.2664012494228852e-05,2.2664012494228852e-05,0.0,0,True,0.34011840321029174,0.34011840321029174,0.0,0,True,1.0001453221856813,1.0001453221856813,-9.620593033205608e-05,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.000088454055584,1.000088454055584,-4.773346268028451e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,8.0,8.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000088454055584,1.000088454055584,-4.773346268028451e-05,0,True,1.0000976016140806,1.0000976016140806,-9.620593033205608e-05,0,True,1.000088454055584,1.000088454055584,-4.773346268028451e-05,0,True,11.0,11.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_B_shadow_only,19928,2.2664012494228852e-05,0,0,0,200,,0,,0,,0,,0,0,19928,1.0,0
5.322180470977066e-06,5.322180470977066e-06,0.0,0,True,2.191255587251477e-05,2.191255587251477e-05,0.0,0,True,0.34198517848670923,0.34198517848670923,0.0,0,True,1.0001151814747036,1.0001151814747036,-0.00010312210094436048,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.0001021276620472,1.0001021276620472,-5.773364505300169e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,8.0,8.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0001021276620472,1.0001021276620472,-5.7733645053001706e-05,0,True,1.0001074735383297,1.0001074735383297,-0.00010312210094436048,0,True,1.0001021276620472,1.0001021276620472,-5.7733645053001706e-05,0,True,11.0,11.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_B_shadow_only,19928,2.191255587251477e-05,0,0,0,400,,0,,0,,0,,0,0,19928,1.0,0
5.0833220290432e-06,5.0833220290432e-06,0.0,0,True,2.3009845257002875e-05,2.3009845257002875e-05,0.0,0,True,0.34287326781073324,0.34287326781073324,0.0,0,True,1.0001144833520557,1.0001144833520557,-0.00010687085998085084,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.0000951104979006,1.0000951104979006,-6.517260635090714e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,8.0,8.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0000951104979006,1.0000951104979006,-6.517260635090715e-05,0,True,1.0000951104979006,1.0000951104979006,-0.00010687085998085084,0,True,1.0000951104979006,1.0000951104979006,-6.517260635090715e-05,0,True,11.0,11.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_B_shadow_only,19928,2.3009845257002875e-05,0,0,0,600,,0,,0,,0,,0,0,19928,1.0,0
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827152323622989,0.2827152323622989,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8094273176888296,0.8094273176888296,0.0,0,True,0.0,0.0,0.0,0,True,0.9999999999986269,0.9999999999986269,0.0,0,True,0.9999999999986269,0.9999999999986269,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-20.0,0,True,0.0,0,cylinder_init090_neutral_C_controlled_psi,12428,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,12428,12428,1.0,12428
5.721447882278367e-06,5.721447882278367e-06,0.0,0,True,2.2664679345227708e-05,2.2664679345227708e-05,0.0,0,True,0.3401189240463409,0.3401189240463409,0.0,0,True,1.0001300720495574,1.0001300720495574,-9.628932874456895e-05,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.0001300720495574,1.0001300720495574,-6.032329232253171e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0001300720495574,1.0001300720495574,-9.628932874456895e-05,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-10.0,0,True,0.0,0,cylinder_init090_neutral_C_controlled_psi,19928,2.2664679345227708e-05,0,0,0,200,0.0,0,0.0,0,0.0,0,0.0,0,19928,19928,1.0,19928
