b5_B5FphiNormalProxy_mean,b5_B5GradPhiNormal_mean,b5_B5PhaseFromHDelta_mean,b5_B5WallGhostMinusCenter_mean,b5_B5WallGhostMinusFluidProbe_mean,b5_ReplayLapPhi_max_abs,b5_ReplayMu_max_abs,b5_consumed_fraction_contact,case,contact_half_width_delta_deg,direction_by_contact_half_width,final_phase_max,final_phase_mean_abs_near_wall_delta,final_phase_min,final_phase_nonfinite,group,label,slice_angle_obtuse_delta_deg,slice_footprint_delta,status,write_path_applied_without_path170_cells,write_path_wallghost_psi_max_abs_diff_applied,write_path_wallghost_psi_mismatch_cells_applied,write_path_wetting_path_170_cells,write_path_wetting_path_max,write_path_wetting_path_min,write_path_write_allowed_cells,write_path_write_applied_cells
,,,,,,,0.0,cylinder_init090_neutral_A_legacy_baseline,-1.8030492588901694,control_drift,1.0001144833520255,0.006879948373866989,-0.00010687085998086274,0,A,legacy_baseline_write_off,0.14546745121282356,0.0,pass,0,,0,0,11.0,-10.0,0,0
0.014721504343082538,0.014412897313417206,-2.9379752987744455e-17,-0.3057017831730032,-0.29929547629979153,0.17634240789348443,2.1089105760746116e-05,0.4542483660130719,cylinder_init090_neutral_B_shadow_only,-1.8030492588901694,control_drift,1.0001144833520557,0.006879948373867148,-0.00010687085998085084,0,B,diffuse_shadow_write_off,0.1454674512132641,0.0,pass,0,,0,0,11.0,-10.0,19928,0
0.014721260543295728,0.014412707939913493,-2.860593026071558e-17,-0.3057065937412316,-0.29929879239607465,0.17634124978347615,2.1089967181390912e-05,0.4542483660130719,cylinder_init090_neutral_C_controlled_psi,-1.8030492588901694,control_drift,1.0001262483583762,0.006882276164633441,-0.00010724334668333894,0,C,controlled_psiwallghost_write,0.14531338967094598,0.0,pass,0,0.0,0,19928,170.0,-10.0,19928,19928
0.014721504343082538,0.014412897313417206,-2.9379752987744455e-17,-0.3057017831730032,-0.29929547629979153,0.17634240789348443,2.1089105760746116e-05,0.4542483660130719,cylinder_init090_neutral_D_controlled_legacy,-1.8030492588901694,control_drift,1.0001144833520557,0.006879948373867148,-0.00010687085998085084,0,D,controlled_legacywallghost_write,0.1454674512132641,0.0,pass,19928,9.511049790056347e-05,13969,0,171.0,-10.0,19928,19928
