case,radius,eps_solid,indicator,near_count,grad_mean,grad_std,grad_max,grad_p99,normal_alignment_min,normal_alignment_mean,normal_jump_mean,normal_jump_max,normal_jump_p99
sphere,16.0,1.0,sharp,12928,0.27240479753278407,0.3379701822689467,0.8660254037844386,0.8660254037844386,0.6912800532450315,0.9144553020996923,0.41225857491190127,1.1547005383792517,0.9194016867619662
plane,16.0,1.2,diffuse,36864,0.2010667608326949,0.047620283794436155,0.24868704462713107,0.24868704462713107,1.0,1.0,2.0163458125945665e-18,5.116091581210771e-16,0.0
plane,16.0,1.2,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,16.0,1.2,diffuse,38784,0.20085008900369666,0.05446090816467252,0.2758444036738771,0.2758444036738771,0.9996371339251398,0.999919437588671,0.026756945779197516,0.07468043095082119,0.07422714966473648
cylinder_z,16.0,1.2,sharp,38784,0.2617329588370733,0.2998527969563554,0.7071067811865476,0.7071067811865476,0.8454889030309709,0.9551776237296533,0.1492943594719033,0.7653668647301795,0.7653668647301795
sphere,16.0,1.2,diffuse,12928,0.20180829372819534,0.056806065781078476,0.2829674113759986,0.2804419161478097,0.9993807700572221,0.9998958490965375,0.050591341523952206,0.07466616413096894,0.07352119383193136
sphere,16.0,1.2,sharp,12928,0.27240479753278407,0.3379701822689467,0.8660254037844386,0.8660254037844386,0.6912800532450315,0.9144553020996923,0.41225857491190127,1.1547005383792517,0.9194016867619662
plane,16.0,1.25,diffuse,36864,0.1973356642755818,0.04412278118546393,0.24145844546104572,0.24145844546104572,1.0,1.0,5.388617075862786e-18,1.3499051986992533e-15,2.2989939790784164e-16
plane,16.0,1.25,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,16.0,1.25,diffuse,38784,0.19715070660032616,0.05047605229879849,0.26609434918070146,0.26609434918070146,0.9996897109723553,0.99993329173427,0.026600921628652116,0.07386135739722405,0.07275989638384439
cylinder_z,16.0,1.25,sharp,38784,0.2617329588370733,0.2998527969563554,0.7071067811865476,0.7071067811865476,0.8454889030309709,0.9551776237296533,0.1492943594719033,0.7653668647301795,0.7653668647301795
sphere,16.0,1.25,diffuse,12928,0.19807422562346305,0.05259836710426496,0.27245962146325414,0.27020186998111345,0.9995240321087411,0.999914319097626,0.05043769534120909,0.07383839042425497,0.07245360805932995
sphere,16.0,1.25,sharp,12928,0.27240479753278407,0.3379701822689467,0.8660254037844386,0.8660254037844386,0.6912800532450315,0.9144553020996923,0.41225857491190127,1.1547005383792517,0.9194016867619662
plane,16.0,1.5,diffuse,36864,0.17948012193078394,0.030592786176053932,0.21007290810683787,0.21007290810683787,1.0,1.0,3.4349586064414095e-18,7.474035908929603e-16,1.0859290593693269e-16
plane,16.0,1.5,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,16.0,1.5,diffuse,38784,0.1793942729330827,0.03505287791891365,0.22571088176394483,0.22571088176394483,0.9998475364472525,0.9999687587667496,0.0263555411648645,0.07065702067101408,0.07009660340103499
cylinder_z,16.0,1.5,sharp,38784,0.2617329588370733,0.2998527969563554,0.7071067811865476,0.7071067811865476,0.8454889030309709,0.9551776237296533,0.1492943594719033,0.7653668647301795,0.7653668647301795
sphere,16.0,1.5,diffuse,12928,0.18013592730366196,0.03638261339118671,0.2295201975022087,0.22816616697658174,0.9998046766549827,0.9999611039882983,0.050155750116827894,0.07137555636448731,0.07028413517131145
sphere,16.0,1.5,sharp,12928,0.27240479753278407,0.3379701822689467,0.8660254037844386,0.8660254037844386,0.6912800532450315,0.9144553020996923,0.41225857491190127,1.1547005383792517,0.9194016867619662
plane,20.0,0.8,diffuse,36864,0.23055366545218525,0.09031581803561478,0.32086948348780003,0.32086948348780003,1.0,1.0,2.1688327059907206e-18,4.893243326280583e-16,0.0
plane,20.0,0.8,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,20.0,0.8,diffuse,48768,0.22896172049332822,0.10340433638557864,0.38921257221328703,0.38921257221328703,0.9965736300882444,0.999361164147835,0.02801852997736815,0.10984297193969089,0.0996069850570882
cylinder_z,20.0,0.8,sharp,48768,0.2619169761203984,0.29812717517961457,0.7071067811865476,0.7071067811865476,0.7970921481540103,0.9466635590754824,0.16433470184477372,0.7653668647301795,0.7653668647301795
