step,case,fit_contact_angle_deg,H1_minus_H2_relative_error_percent,measured_H1_minus_H2_lu,fluid_phase_drift_percent,fluid_rho_drift_percent,mach_max_interface_band,lower90_phi_fraction,bottom120_phi_fraction,bottom135_phi_fraction,bottom150_phi_fraction,zmin_outside_sphere_phi_fraction_of_shell,zmin_outside_sphere_phi_sum,zmin_outside_sphere_phi_max,bottom150_phi_max
0,z24_touching_bottom,163.59725731395724,142.1250928011663,47.48976686071707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
50000,z24_touching_bottom,110.51393148529378,107.32389196120356,40.66395258743138,-0.497737766450371,-0.489938070924908,0.0002945472596626686,0.01326360112640922,0.0022295930513592617,0.0011810097808274205,0.0007866980152207676,0.001620671620147418,15.503233647127129,0.06721711818610884,0.06721711818610884
100000,z24_touching_bottom,82.97958184020953,76.5566535592272,34.62934889661177,-0.9064005317553171,-0.8921969718719999,0.00020089050253598451,0.041890322157071995,0.013439425543987618,0.009815978248345203,0.00640498077085958,0.011435152431487895,175.48026887518233,0.5593513203183105,0.5593513203183105
150000,z24_touching_bottom,62.47267540927617,55.006526827410994,30.40256478897166,-1.2543373434670153,-1.2346815125758897,0.0001447246897765852,0.0734774909606437,0.032565533429821145,0.026524099454086177,0.01356224539445923,0.029614632160368925,590.2683965798198,0.8854074057728104,0.8854074057728104
200000,z24_touching_bottom,54.87418900050058,39.44908176511726,27.351169204939964,-1.5318834550326015,-1.5078783958722097,0.00010940212181166909,0.10478716877856604,0.056557810298998354,0.04763999742269399,0.016990838046241134,0.053639881230732996,1263.911640966335,0.970892710974535,0.970892710974535
250000,z24_touching_bottom,46.51089854486737,27.900887832193483,25.086137393523117,-1.7563638978,-1.7288411648301507,8.631875491413752e-05,0.13466128904066155,0.08123398468786441,0.0677511983466522,0.017246361675110518,0.07955334187379695,2104.955931070385,0.9907428635414235,0.9907428635414235
300000,z24_touching_bottom,41.8356003628963,19.075121431115452,23.355075222703263,-1.9467732745130768,-1.916266771245436,7.070657202259986e-05,0.1618837450176989,0.10375148863011127,0.0838871764981697,0.01655315778336979,0.10476408539868995,3016.938724855537,0.996345330648661,0.996345330648661
350000,z24_touching_bottom,38.51169642388861,12.089349888742571,21.984904712693563,-2.115004148349694,-2.081861418373285,5.989670467237455e-05,0.1859197107984521,0.12323203014157819,0.09558696817597992,0.01577907671907768,0.1285090043687603,3946.1048545549834,0.9983077326670502,0.9983077326670502
400000,z24_touching_bottom,36.112328210879845,6.3931560358765225,20.86766851492284,-2.2693888123058583,-2.233826829755389,5.2085659349648786e-05,0.2067215293575981,0.13967437578235856,0.10346612255934957,0.015117816694230544,0.1508000517984056,4866.804346101637,0.9991177064214489,0.9991177064214489
0,liftZ32_gap8,163.59725731395355,142.1250928011663,47.48976686071707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
50000,liftZ32_gap8,110.50743136729783,107.30817171233944,40.66086925994594,-0.49505330366510086,-0.4872962827535223,0.0002926515577505939,0.013378331225737991,0.0021078734650998025,0.0007617485664827782,0.00025399124523825544,0.00018358987877224297,1.7566011251721863,0.002795040520050499,0.0035830869856532267
100000,liftZ32_gap8,82.96678473191972,76.52894936319906,34.62391506984389,-0.8727758418322067,-0.8591002630488724,0.0001999790890818654,0.04205569985308487,0.010984499963587633,0.0051587948456081004,0.00218737192148062,0.0016344065761655468,25.107673690146772,0.043891782991774306,0.043891782991774306
150000,liftZ32_gap8,62.25324894757028,54.94884556489884,30.391251340715456,-1.1635449200214962,-1.145313262522442,0.00014438938584546062,0.07138721758552771,0.022648056833029454,0.011706026515067008,0.005372775203388764,0.0041052728850715925,81.97763360033268,0.14798792163255514,0.14798792163255514
200000,liftZ32_gap8,52.47606220163193,39.28710595102684,27.31939970282336,-1.3800388809266695,-1.3584149661302525,0.00010941213836589967,0.09695826755006774,0.03385617362727655,0.018402759165342612,0.008860622532532449,0.006936574603124524,163.8688596736572,0.3022309717317099,0.3022309717317099
250000,liftZ32_gap8,45.370147815235086,27.511149647855603,25.009695190458586,-1.5423974990242977,-1.5182295769735243,8.620595574025264e-05,0.11877166869111874,0.0438474731984596,0.024692763835473232,0.012454782991256344,0.010030440683063633,266.4160930462554,0.49540366814506404,0.49540366814506404
300000,liftZ32_gap8,40.260411566737766,18.39629354602276,23.221931740428673,-1.6661375100734608,-1.640030698116884,6.991619054736807e-05,0.13766678802165813,0.05284290187034278,0.03086172585586811,0.016835894696711613,0.014230327831631081,412.1299717967826,0.7394954334855286,0.7394954334855286
350000,liftZ32_gap8,36.80802803225321,11.072581088215879,21.78547840487211,-1.7579386102410042,-1.730393361153679,5.7986146217917436e-05,0.1537574623219053,0.061770135634201175,0.03965685591058335,0.02704848273132916,0.025793674978417513,797.9658834037358,0.9243116337791373,0.9243116337791373
400000,liftZ32_gap8,34.29935716429507,5.132031301070899,20.62031488897138,-1.8369353615231172,-1.808152307441688,4.8597829266390165e-05,0.16807913491999882,0.07305426207170698,0.051734589046202435,0.03968438246520705,0.04055393505507309,1320.121594246413,0.9780203552478708,0.9780203552478708
