step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.3142624653556,0.0,0.0,0.9941414338584684,0,0,0.1,0.9947272904726217,0.03333333333333333,0.33157576349087386,-0.00014714539658055635,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,576,576,0,0.0,0.0,0.0,1.5794051612825086e-06,0.5,0
1,1151.3142624653556,0.0,0.0,0.9945160181843508,0,0,0.1,0.9950644163659157,0.03333333333333333,0.33168813878863856,-0.00014383075298990682,0.0007945018072154198,0.00021963154005145153,0.0,0.00018522298833249904,0.0,0.0,0.00018522298833249904,0.00039965206667489457,0,0.004625187071489378,0.2962962962962963,576,576,10368,1151.3142624653556,0.09789256410799466,0.0,1.5794051612825086e-06,0.5,0
2,1151.3142624653556,0.0,0.0,0.9948116422325328,0,0,0.1,0.9953304780092795,0.03333333333333333,0.33177682600309316,-0.00014096252921122355,0.0008035313183784809,0.000344020882259024,0.0,0.0001829977635831496,0.0,0.0,0.0001829977635831496,0.00040250842587716355,0,0.0046219381649429125,0.2962962962962963,576,576,10368,1151.3142624653556,0.09569825285306813,0.0,1.4942015447098014e-06,0.5,0
3,1151.3142624653553,-2.2737367544323206e-13,0.0,0.9950486928449573,0,0,0.1,0.9955438235604617,0.03333333333333333,0.33184794118682054,-0.0001384390055742589,0.0008092869541180954,0.00045016123746877574,0.0,0.0001814360811279747,0.0,0.0,0.0001814360811279747,0.00040418783469731124,0,0.004619070687890948,0.2962962962962963,576,576,10368,1151.3142624653553,0.09383947825885824,0.0,1.4280086080265318e-06,0.5,0
4,1151.3142624653553,-2.2737367544323206e-13,0.0,0.9952398797909361,0,0,0.1,0.9957158918118425,0.03333333333333333,0.33190529727061413,-0.00013619842140348977,0.0008132207955764721,0.0005507069165074525,0.0,0.00018029308423254194,0.0,0.0,0.00018029308423254194,0.00040527676533510756,0,0.004616590056369081,0.2962962962962963,576,576,10368,1151.3142624653553,0.09221568595501356,0.0,1.3740920197499088e-06,0.5,0
5,1151.3142624653553,-2.2737367544323206e-13,0.0,0.99539388227012,0,0,0.1,0.9958544940431081,0.03333333333333333,0.33195149801436935,-0.00013419908827705756,0.0008160609096891848,0.0006425442092594333,0.0,0.0001794327569505468,0.0,0.0,0.0001794327569505468,0.0004060491847215184,0,0.004614348466708203,0.2962962962962963,576,576,10368,1151.3142624653553,0.09077035172532291,0.0,1.3287359235271648e-06,0.5,0
6,1151.3142624653553,-2.2737367544323206e-13,0.0,0.9955172575759134,0,0,0.1,0.995965531818322,0.03333333333333333,0.33198851060610735,-0.0001324098102720671,0.0008181967233833766,0.0007281555337919309,0.0,0.0001787735158225898,0.0,0.0,0.0001787735158225898,0.0004066393962982163,0,0.004612314350392909,0.2962962962962963,576,576,10368,1151.3142624653553,0.08946951002942616,0.0,1.289693259298427e-06,0.5,0
7,1151.3142624653551,-4.547473508864641e-13,0.0,0.9956153371421029,0,0,0.1,0.9960538034278926,0.03333333333333333,0.33201793447596417,-0.00013080532992615913,0.0008198502994703999,0.0008077658013486127,0.0,0.000178262023000149,0.0,0.0,0.000178262023000149,0.00040711634710930154,0,0.004610436925743912,0.2962962962962963,576,576,10368,1151.3142624653551,0.08829107684752506,0.0,1.2555003782251555e-06,0.5,0
8,1151.3142624653551,-4.547473508864641e-13,0.0,0.9956926158610718,0,0,0.1,0.9961233542749647,0.03333333333333333,0.3320411180916549,-0.00012936417333768216,0.0008211561837429886,0.00088246759303558,0.0,0.00017786188253044396,0.0,0.0,0.00017786188253044396,0.00040751703399408135,0,0.0046086984745118175,0.2962962962962963,576,576,10368,1151.3142624653551,0.0872194336597089,0.0,1.2251475451240653e-06,0.5,0
9,1151.314262465355,-6.821210263296962e-13,0.0,0.9957529196881123,0,0,0.1,0.9961776277193011,0.03333333333333333,0.332059209239767,-0.00012806761329493764,0.0008222005280943997,0.0009525605253898118,0.0,0.00017754710235842457,0.0,0.0,0.00017754710235842457,0.00040786218909680076,0,0.004607073490860212,0.2962962962962963,576,576,10368,1151.314262465355,0.08624263573474916,0.0,1.1979069204608513e-06,0.5,0
