case,target_theta_deg,init_contact_angle_deg,theta_bbox_raw_mean_deg,theta_calibrated_bbox_deg,target_error_calibrated_deg,calibration_outside_range,radius_used_for_calibration,width_used_for_calibration,z_indices
theta120_init120_100,120.0,120.0,112.11282596049638,121.0,1.0,False,18.0,4.0,47 48 49
theta60_init60_100,60.0,60.0,58.34536322050909,61.930307150360406,1.930307150360406,False,18.0,4.0,47 48 49
theta90_init90_100,90.0,90.0,87.26435362033904,88.68992111777925,-1.3100788822207505,False,18.0,4.0,47 48 49
