case_id,init_theta,wall_rad,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,lower_wall_count,max_mach,nonfinite_total,wall_count
cap_theta030_wall011,30.0,11.0,28.96071934786895,-1.0392806521310511,17.96071934786895,136,16384,1.6264855470443726e-05,0,80520
cap_theta030_wall030,30.0,30.0,29.57207998147039,-0.42792001852960837,-0.42792001852960837,128,16384,2.4613873532937904e-06,0,80520
cap_theta090_wall090,90.0,90.0,89.67621493791745,-0.32378506208254976,-0.32378506208254976,120,16384,4.993239866517319e-06,0,80520
cap_theta150_wall150,150.0,150.0,151.04766158224518,1.0476615822451834,1.0476615822451834,164,16384,2.7742162140332153e-05,0,80520
