case_id,step,init_theta_deg,wall_rad_angle_deg,angle_apparent_deg,angle_error_vs_init_deg,angle_error_vs_wall_rad_deg,fit_point_count,phase_fluid_sum,phase_fluid_rel_change,rho_fluid_sum,rho_fluid_rel_change,phase_fluid_min,phase_fluid_max,wall_phase_pred_min,wall_phase_pred_max,wall_phase_raw_min,wall_phase_raw_max,wall_phase_profile_max,wall_phase_signed_profile_max,wall_phase_signed_min,wall_phase_signed_max,wall_signed_logit_shift_max,wall_contact_residual_mean,wall_contact_residual_min,wall_contact_residual_max,wall_signed_normal_grad_mean,wall_tangent_grad_mag_mean,wall_signed_delta_q_min,wall_signed_delta_q_max,wall_signed_q_clipped_sum,wall_stage7_active_weight_sum,wall_stage7_active_weight_mean,wall_stage7_delta_q_raw_p50,wall_stage7_delta_q_raw_p99,wall_stage7_delta_q_raw_max,wall_stage7_delta_q_limited_p50,wall_stage7_delta_q_limited_p99,wall_stage7_delta_q_limited_max,wall_stage7_denom_min,wall_stage7_denom_p50,wall_stage7_limiter_reason_sum,wall_stage7_limiter_reason_max,wall_stage7_normal_path_count,wall_stage7_normal_limiter_count,wall_stage7_active_path_count,wall_stage7_active_limiter_count,wall_stage7_actual_cos_p50,wall_stage7_target_cos_p50,wall_stage7_write_candidate_min,wall_stage7_write_candidate_max,wall_stage7_write_minus_profile_min,wall_stage7_write_minus_profile_max,max_mach,nonfinite_total,path_counts
cap_theta030_wall005,0,30.0,5.0,27.567106597729435,-2.4328934022705653,22.567106597729435,144,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,1.4465517655285418,0.0,1.4465517655285418,0.9998548678249917,0.999749045520771,0.0,0.999749045520771,10.781580678164794,0.03162799355227762,-0.0037501329479049383,1.1615311404535285,-0.007026393153352902,0.003835051232112483,0.0,10.781580678164794,0.0,7536.0,0.09359165424739195,0.0,4.7303581173763325,4.9567183589155475,0.0,4.7303581173763325,4.9567183589155475,0.0,0.0,10812.0,1.0,16384,10812,7536,1964,0.0,0.0,0.0,0.9998548678249917,-0.00029086799943378594,0.7886824765694744,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall008,0,30.0,8.0,27.913098468483533,-2.0869015315164674,19.913098468483533,142,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,1.122701706284461,0.0,1.122701706284461,0.9998542225115381,0.9997264508925894,0.0,0.9997264508925894,6.711686987217878,0.030422058439594175,-0.009676762298080122,1.1556045111033533,-0.007026393153352902,0.003835051232112483,0.0,6.711686987217878,0.0,7536.0,0.09359165424739195,0.0,2.9447150625671847,3.0856275254900933,0.0,2.9447150625671847,3.0856275254900933,0.0,0.0,10812.0,1.0,16384,10812,7536,1964,0.0,0.0,0.0,0.9998542225115381,-0.0031758278124349726,0.5072301935068071,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,0,30.0,11.0,28.48448648030314,-1.51551351969686,17.48448648030314,138,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,1.0028510456102697,0.0,1.0028510456102697,0.9998532782184653,0.9997192263130221,0.0,0.9997192263130221,4.852683375567842,0.028663833592905624,-0.018317647591986508,1.1469636258094469,-0.007026393153352902,0.003835051232112483,0.0,4.852683375567842,0.0,7536.0,0.09359165424739195,0.0,2.1290876432584316,2.2309701606551147,0.0,2.1290876432584316,2.2309701606551147,0.0,0.0,10812.0,1.0,16384,10812,7536,1964,0.0,0.0,0.0,0.9998532782184653,-0.004711183140846176,0.3292788974749876,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,10000,30.0,11.0,28.193208585553844,-1.806791414446156,17.193208585553844,141,52262.860917984275,-0.006285654221315669,53702.94205706624,-0.006112050601455807,4.420358937114628e-09,0.9997668656464604,4.420358937114628e-09,1.001514014433368,4.420358937114628e-09,1.001514014433368,0.9998818039514012,0.9997735241149882,0.0,0.9997735241149882,5.229583551152572,0.006661838123396293,-0.018333390048622555,0.357481129684868,-0.014912216553156223,0.0038714097668139146,0.0,5.229583551152573,0.0,12212.0,0.1516641828117238,0.0,1.0862256861273334,3.0517105414631778,0.0,1.0862256861273334,3.0517105414631778,0.0,0.0,5600.0,1.0,16384,5600,12212,1428,0.0,0.0,0.0,0.9998818039514012,-0.11931602727635282,0.47657022326755216,3.231033058985586e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,20000,30.0,11.0,27.88590332124045,-2.1140966787595517,16.88590332124045,143,52195.25091711644,-0.00757117565279467,53635.39966619931,-0.007362067188719815,1.0194797571787895e-08,0.9997680752158671,1.0194797571787895e-08,1.0001847511046449,1.0194797571787895e-08,1.0001847511046449,0.999882417265741,0.9997744758256298,0.0,0.9997744758256298,5.2058612734050245,0.005384350407006983,-0.01837191920217962,0.3200959389523982,-0.01642491957081596,0.00393241730938655,0.0,5.2058612734050245,0.0,13020.0,0.161698956780924,0.0,1.0040964703398898,3.180374137865427,0.0,1.0040964703398898,3.180374137865427,0.0,0.0,4804.0,1.0,16384,4804,13020,1440,0.0,0.0,0.0,0.999882417265741,-0.09418907673770593,0.47998123249032776,3.03901062553953e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,30000,30.0,11.0,27.576456703346736,-2.423543296653264,16.576456703346736,145,52154.59665288858,-0.008344166738064658,53594.78605623573,-0.008113709016489295,1.3557486164605811e-08,0.9997741512065514,1.3557486164605811e-08,0.9997800882507591,1.3557486164605811e-08,0.9997800882507591,0.999885498095334,0.9997798206903545,0.0,0.9997798206903545,5.090441372834535,0.004906095522285967,-0.01832587869161406,0.26357145701426776,-0.01718452666176141,0.003983253911444806,0.0,5.090441372834535,0.0,13224.0,0.16423248882265276,0.0,0.9980383307282752,5.090441372834535,0.0,0.9980383307282752,5.090441372834535,0.0,0.0,4188.0,1.0,16384,4188,13224,1028,0.0,0.0,0.0,0.999885498095334,-0.09763733507422373,0.6975903928416793,0.1685896935853697,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,40000,30.0,11.0,27.453094892299845,-2.546905107700155,16.453094892299845,145,52125.79333855422,-0.008891826513233482,53566.01154521565,-0.008646242964486055,1.5501784975309912e-08,0.9997850059712325,1.5501784975309912e-08,1.0255678422794698,1.5501784975309912e-08,1.0255678422794698,0.9998910019496585,0.9997906095156321,0.0,0.9997906095156321,4.986143793560076,0.0046377240869766734,-0.018322854528501353,0.23784863825771152,-0.01765690010156326,0.0040202786300693434,0.0,4.986143793560076,0.0,13288.0,0.1650273224043716,0.0,0.954252698699017,4.986143793560076,0.0,0.954252698699017,4.986143793560076,0.0,0.0,3936.0,1.0,16384,3936,13288,840,0.0,0.0,0.0,0.9998910019496585,-0.10281043207878299,0.6431372532735231,2.757924020045455e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall011,50000,30.0,11.0,27.32270871484422,-2.6772912851557784,16.32270871484422,145,52103.58501608781,-0.009314090588389686,53543.82543107174,-0.00905684451901888,1.5969363886795713e-08,0.9997945656273224,1.5969363886795713e-08,1.0462986594613328,1.5969363886795713e-08,1.0462986594613328,0.9998958490709862,0.9998005304186814,0.0,0.9998005304186814,5.0458358633802955,0.004438799611327573,-0.01831119790657665,0.2464198290321331,-0.017983965162909045,0.004049250409128746,0.0,5.0458358633802955,0.0,13336.0,0.1656234475906607,0.0,0.9404951747883326,5.0458358633802955,0.0,0.9404951747883326,5.0458358633802955,0.0,0.0,3852.0,1.0,16384,3852,13336,804,0.0,0.0,0.0,0.9998958490709862,-0.10806374583955097,0.6083492548770606,2.6414063918193277e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,0,30.0,15.0,28.964356731538775,-1.0356432684612251,13.964356731538775,134,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,0.9997155676220589,0.0,0.9997155676220589,0.9998515518141624,0.9997154230446327,0.0,0.9997154230446327,3.52031699890164,0.02546896231016306,-0.03401900475058217,1.1312622686508513,-0.007026393153352902,0.003835051232112483,0.0,3.52031699890164,0.0,7536.0,0.09359165424739195,0.0,1.5445193602471632,1.6184287275238747,0.0,1.5445193602471632,1.6184287275238747,0.0,0.0,10812.0,1.0,16384,10812,7536,1964,0.0,0.0,0.0,0.9998515518141624,-0.006081897457334007,0.194023831763927,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,10000,30.0,15.0,28.702575910045827,-1.2974240899541734,13.702575910045827,136,52353.19154030396,-0.004568127976377577,53793.182348763636,-0.004441960751016239,4.402963103953045e-09,0.9997664864583315,4.402963103953045e-09,0.999770288119061,4.402963103953045e-09,0.999770288119061,0.9998802186065421,0.999770173050639,0.0,0.9997701730506388,3.7943117753619293,0.0051940784777908715,-0.03401453549102895,0.34178062041537494,-0.012586997303028716,0.003856341636180687,0.0,3.7943117753619293,0.0,11176.0,0.13879781420765028,0.0,0.7654714453438154,2.0295824210113214,0.0,0.7654714453438154,2.0295824210113214,0.0,0.0,6820.0,1.0,16384,6820,11176,1612,0.0,0.0,0.0,0.9998802186065421,-0.04805751466463093,0.23339150124558083,2.4433898008233297e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,20000,30.0,15.0,28.479480889494724,-1.5205191105052762,13.479480889494724,138,52316.62573767267,-0.005263381967479311,53756.65311193495,-0.005118012507103895,1.0126564658194805e-08,0.9997669745776646,1.0126564658194805e-08,0.9997707358199578,1.0126564658194805e-08,0.9997707358199578,0.9998804690203772,0.9997706225007532,0.0,0.9997706225007532,3.790681030567298,0.003975126625072534,-0.03401498083620624,0.3191048161707286,-0.013402956624186302,0.0038916251178154663,0.0,3.790681030567298,0.0,11672.0,0.1449577744659712,0.0,0.7317484550014844,2.1683549973401535,0.0,0.7317484550014844,2.1683549973401535,0.0,0.0,6320.0,1.0,16384,6320,11672,1608,0.0,0.0,0.0,0.9998804690203772,-0.05978905178801169,0.2511325270907603,2.273091336684262e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,30000,30.0,15.0,28.38484557093766,-1.6151544290623399,13.38484557093766,138,52296.4834008607,-0.005646363853583353,53736.530917459815,-0.005490416808213539,1.3476774935065137e-08,0.9997697761576385,1.3476774935065137e-08,0.9997732396350895,1.3476774935065137e-08,0.9997732396350895,0.9998819062777918,0.9997731420189849,0.0,0.9997731420189849,3.785295006149937,0.003511164192457162,-0.03405291240492192,0.31131232146230725,-0.013761041249753329,0.003917200292193795,0.0,3.785295006149937,0.0,11892.0,0.14769001490312966,0.0,0.7936582524774907,2.1769879656310476,0.0,0.7936582524774907,2.1769879656310476,0.0,0.0,6080.0,1.0,16384,6080,11892,1588,0.0,0.0,0.0,0.9998819062777918,-0.06599018551942257,0.2674603405962349,2.1128517478778962e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,40000,30.0,15.0,28.304233806080205,-1.6957661939197948,13.304233806080205,138,52282.78326431812,-0.005906855184948758,53722.84448105379,-0.005743713623864755,1.540326279084736e-08,0.9997759788125603,1.540326279084736e-08,0.9997793699301006,1.540326279084736e-08,0.9997793699301006,0.9998850883280057,0.9997792739680161,0.0,0.9997792739680161,3.784289537225204,0.0032333818367147535,-0.03402218908819177,0.3093826187837896,-0.013971920835930681,0.003937080839843152,0.0,3.784289537225204,0.0,12020.0,0.1492796820665673,0.0,0.8010433305311478,2.1648264530122465,0.0,0.8010433305311478,2.1648264530122465,0.0,0.0,5948.0,1.0,16384,5948,12020,1584,0.0,0.0,0.0,0.9998850883280057,-0.0687683058377439,0.2751812259672073,2.002853933765125e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall015,50000,30.0,15.0,28.22226770880815,-1.7777322911918496,13.22226770880815,138,52272.37949578028,-0.00610467011250184,53712.45111628452,-0.005936065096655621,1.6056619615864296e-08,0.999782012623373,1.619183935822821e-08,0.9997855035931033,1.619183935822821e-08,0.9997855035931033,0.9998881837382048,0.9997853995773474,0.0,0.9997853995773474,3.784907947321397,0.003037602975412059,-0.03401643730542425,0.30812702413937687,-0.014116377703015574,0.003954786754610164,0.0,3.784907947321397,0.0,12172.0,0.15116741182314952,0.0,0.8309742004441103,2.168005915124388,0.0,0.8309742004441103,2.168005915124388,0.0,0.0,5844.0,1.0,16384,5844,12172,1632,0.0,0.0,0.0,0.9998881837382048,-0.07021983330055559,0.2796372749292112,1.9108857878678794e-05,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020,0,30.0,20.0,29.203930273855224,-0.7960697261447756,9.203930273855224,132,52593.44512836894,0.0,54033.19568324057,0.0,0.0,0.9997106094060031,0.0,0.9997135101954365,0.0,0.9997135101954365,0.9998486367128723,0.9997134667819612,0.0,0.9997134667819612,2.591602306060373,0.020131097941512143,-0.060252210253742056,1.1050290631476913,-0.007026393153352902,0.003835051232112483,0.0,2.591602306060373,0.0,7536.0,0.09359165424739195,0.0,1.1370509920045075,1.191461912024935,0.0,1.1370509920045075,1.191461912024935,0.0,0.0,10812.0,1.0,16384,10812,7536,1964,0.0,0.0,0.0,0.9998486367128723,-0.007586645347701482,0.1024411244424745,0.0,0,"{""2"": 64136, ""5"": 16384}"
cap_theta030_wall020,10000,30.0,20.0,29.667959770623973,-0.33204022937602673,9.667959770623973,130,52437.02181941714,-0.002974197802977299,53876.928797597735,-0.0028920533695419495,4.379186885772609e-09,0.9997661977477559,4.379186885772609e-09,0.9997684257207399,4.379186885772609e-09,0.9997684257207399,0.9998777153188523,0.9997683914923162,0.0,0.9997683914923162,2.791616003945562,0.0028723818872385897,-0.060248242945356245,0.32012670394033615,-0.010187090525999526,0.0038289075679788947,0.0,2.7916160039455624,0.0,9892.0,0.12285146547441629,0.0,0.6678449062796875,1.5866471579114725,0.0,0.6678449062796875,1.5866471579114725,0.0,0.0,8364.0,1.0,16384,8364,9892,1872,0.0,0.0,0.0,0.9998777153188523,-0.03177754791267888,0.10665194518007254,1.6530598511264955e-05,0,"{""2"": 64136, ""5"": 16384}"
