NearWallForceMag_max,NearWallForceMag_max_abs,NearWallForceMag_min,NearWallForceMag_nonfinite,NearWallForceMag_present,NearWallForceOverRhoShadow_max,NearWallForceOverRhoShadow_max_abs,NearWallForceOverRhoShadow_min,NearWallForceOverRhoShadow_nonfinite,NearWallForceOverRhoShadow_present,NearWallGradPhiMag_max,NearWallGradPhiMag_max_abs,NearWallGradPhiMag_min,NearWallGradPhiMag_nonfinite,NearWallGradPhiMag_present,PhaseField_max,PhaseField_max_abs,PhaseField_min,PhaseField_nonfinite,PhaseField_present,PsiGradMag_max,PsiGradMag_max_abs,PsiGradMag_min,PsiGradMag_nonfinite,PsiGradMag_present,PsiNormalAmbiguityFlag_max,PsiNormalAmbiguityFlag_max_abs,PsiNormalAmbiguityFlag_min,PsiNormalAmbiguityFlag_nonfinite,PsiNormalAmbiguityFlag_present,PsiNormal_max,PsiNormal_max_abs,PsiNormal_min,PsiNormal_nonfinite,PsiNormal_present,PsiSolid_max,PsiSolid_max_abs,PsiSolid_min,PsiSolid_nonfinite,PsiSolid_present,PsiWallGhostClampHit_max,PsiWallGhostClampHit_max_abs,PsiWallGhostClampHit_min,PsiWallGhostClampHit_nonfinite,PsiWallGhostClampHit_present,PsiWallGhostRaw_max,PsiWallGhostRaw_max_abs,PsiWallGhostRaw_min,PsiWallGhostRaw_nonfinite,PsiWallGhostRaw_present,PsiWallGhost_max,PsiWallGhost_max_abs,PsiWallGhost_min,PsiWallGhost_nonfinite,PsiWallGhost_present,PsiWriteAllowedFlag_max,PsiWriteAllowedFlag_max_abs,PsiWriteAllowedFlag_min,PsiWriteAllowedFlag_nonfinite,PsiWriteAllowedFlag_present,PsiWriteAppliedFlag_max,PsiWriteAppliedFlag_max_abs,PsiWriteAppliedFlag_min,PsiWriteAppliedFlag_nonfinite,PsiWriteAppliedFlag_present,PsiWriteRejectedReason_max,PsiWriteRejectedReason_max_abs,PsiWriteRejectedReason_min,PsiWriteRejectedReason_nonfinite,PsiWriteRejectedReason_present,WallGhostClampHit_max,WallGhostClampHit_max_abs,WallGhostClampHit_min,WallGhostClampHit_nonfinite,WallGhostClampHit_present,WallGhostClamped_max,WallGhostClamped_max_abs,WallGhostClamped_min,WallGhostClamped_nonfinite,WallGhostClamped_present,WallGhostRaw_max,WallGhostRaw_max_abs,WallGhostRaw_min,WallGhostRaw_nonfinite,WallGhostRaw_present,WallGhost_max,WallGhost_max_abs,WallGhost_min,WallGhost_nonfinite,WallGhost_present,WettingPathId_max,WettingPathId_max_abs,WettingPathId_min,WettingPathId_nonfinite,WettingPathId_present,ambiguity_fraction_near_band,applied_without_path170_cells,case,near_band_cells,near_wall_force_over_rho_max_abs,path170_without_applied_cells,psi_wall_ghost_above_1_cells,psi_wall_ghost_below_0_cells,step,wallghost_psi_max_abs_diff_applied,wallghost_psi_mismatch_cells_applied,wallghostclamped_psi_max_abs_diff_applied,wallghostclamped_psi_mismatch_cells_applied,wallghostclamphit_psiclamphit_max_abs_diff_applied,wallghostclamphit_psiclamphit_mismatch_cells_applied,wallghostraw_psiraw_max_abs_diff_applied,wallghostraw_psiraw_mismatch_cells_applied,wetting_path_170_cells,write_allowed_cells,write_allowed_fraction_near_band,write_applied_cells
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827152323622989,0.2827152323622989,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8094273176888296,0.8094273176888296,0.0,0,True,1.0,1.0,0.0,0,True,1.265055299484804,1.265055299484804,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.265055299484804,1.265055299484804,0.0,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-20.0,0,True,0.0,0,cylinder_theta060_writeaudit,12428,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,12428,12428,1.0,12428
1.0,1.0,0.0,0,True,1.5647600133525636e-05,1.5647600133525636e-05,0.0,0,True,60.0,60.0,0.0,0,True,1.0001491184600104,1.0001491184600104,-0.00013071921407832305,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.3156856976916524,1.3156856976916524,-7.105204607450659e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.3156856976916524,1.3156856976916524,-0.00013071921407832305,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-10.0,0,True,0.0,0,cylinder_theta060_writeaudit,19928,1.5647600133525636e-05,0,0,0,1000,0.0,0,0.0,0,0.0,0,0.0,0,19928,19928,1.0,19928
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827152323622989,0.2827152323622989,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8094273176888296,0.8094273176888296,0.0,0,True,0.0,0.0,0.0,0,True,0.9999999999986269,0.9999999999986269,0.0,0,True,0.9999999999986269,0.9999999999986269,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-20.0,0,True,0.0,0,cylinder_theta090_writeaudit,12428,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,12428,12428,1.0,12428
1.0,1.0,0.0,0,True,2.459679163065559e-05,2.459679163065559e-05,0.0,0,True,89.99999999999999,89.99999999999999,0.0,0,True,1.000134804573532,1.000134804573532,-0.00011338327927497234,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.000134804573532,1.000134804573532,-9.062857970694696e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000134804573532,1.000134804573532,-0.00011338327927497234,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-10.0,0,True,0.0,0,cylinder_theta090_writeaudit,19928,2.459679163065559e-05,0,0,0,1000,0.0,0,0.0,0,0.0,0,0.0,0,19928,19928,1.0,19928
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827152323622989,0.2827152323622989,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8094273176888296,0.8094273176888296,0.0,0,True,1.0,1.0,0.0,0,True,0.9191206393631721,0.9191206393631721,-0.00640664586492557,0,True,0.9191206393631721,0.9191206393631721,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,-0.00640664586492557,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-20.0,0,True,0.0,0,cylinder_theta120_writeaudit,12428,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,12428,12428,1.0,12428
1.0,1.0,0.0,0,True,4.366582012481872e-05,4.366582012481872e-05,0.0,0,True,120.0,120.0,0.0,0,True,1.0001731457977647,1.0001731457977647,-0.00011018054342220579,0,True,0.28282857964173325,0.28282857964173325,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.8441469839421997,0.8441469839421997,0.0,0,True,1.0,1.0,0.0,0,True,1.0000026607332066,1.0000026607332066,-0.09204737019494799,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000145586605516,1.000145586605516,-0.09204737019494799,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-10.0,0,True,0.0,0,cylinder_theta120_writeaudit,19928,4.366582012481872e-05,0,0,0,1000,0.0,0,0.0,0,0.0,0,0.0,0,19928,19928,1.0,19928
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8174606146562565,0.8174606146562565,0.0,0,True,1.0,1.0,0.0,0,True,1.2387829701551512,1.2387829701551512,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.2387829701551512,1.2387829701551512,0.0,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-20.0,0,True,0.0,0,sphere_theta060_writeaudit,5312,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,5312,5312,1.0,5312
1.0862361185255832e-05,1.0862361185255832e-05,0.0,0,True,1.5917674500175412e-05,1.5917674500175412e-05,0.0,0,True,0.3672033823458156,0.3672033823458156,0.0,0,True,1.0001620748569346,1.0001620748569346,-7.451923034973174e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.232561684111865,1.232561684111865,-3.8598930815742984e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.232561684111865,1.232561684111865,-6.201364054400909e-05,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-10.0,0,True,0.0,0,sphere_theta060_writeaudit,7208,1.5917674500175412e-05,0,0,0,1000,0.0,0,0.0,0,0.0,0,0.0,0,7208,7208,1.0,7208
0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8174606146562565,0.8174606146562565,0.0,0,True,0.0,0.0,0.0,0,True,0.9999996561665934,0.9999996561665934,0.0,0,True,0.9999996561665934,0.9999996561665934,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-20.0,0,True,0.0,0,sphere_theta090_writeaudit,5312,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,5312,5312,1.0,5312
5.303873803740771e-06,5.303873803740771e-06,0.0,0,True,1.2704078778100216e-05,1.2704078778100216e-05,0.0,0,True,0.3083308156716442,0.3083308156716442,0.0,0,True,1.0001815037111947,1.0001815037111947,-6.770285021003578e-05,0,True,0.2827542042185119,0.2827542042185119,0.0,0,True,0.0,0.0,0.0,0,True,1.0000000000000002,1.0000000000000002,0.0,0,True,0.8431391706878377,0.8431391706878377,0.0,0,True,1.0,1.0,0.0,0,True,1.000143874493625,1.000143874493625,-6.110677988464392e-05,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,0.0,0.0,0.0,0,True,1.0,1.0,0.0,0,True,1.0,1.0,0.0,0,True,1.000143874493625,1.000143874493625,-6.110677988464392e-05,0,True,1.0,1.0,0.0,0,True,170.0,170.0,-10.0,0,True,0.0,0,sphere_theta090_writeaudit,7208,1.2704078778100216e-05,0,0,0,1000,0.0,0,0.0,0,0.0,0,0.0,0,7208,7208,1.0,7208
