step,stage8g_mode,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,raw_normal_scale_limiter_count,target_scale_limiter_count,tangent_scale_limiter_count,floor_scale_limiter_count,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50,stage8g_effective_scale_p50,stage8g_tan_raw_p50,stage8g_tan_eff_p50,stage8g_regularization_ratio_p50,stage8g_profile_target_mismatch_p50,stage8g_profile_conflict_sign_p50,stage8g_write_allowed_flag_max
0,0,0,0.0,7536,0,0.0,6308,0.8370488322717622,5048,0.6698513800424628,2488,0.33014861995753714,3820,0.605580215599239,2488,0.3944197844007609,3820,0,0,0,7536,0,6308,0,0,0,0,0,0,0.1128578012144447,0.2508157169821435,0.2534212811279458,0.25403260714065506,0.05,-0.1128578012144447,-0.00027630391352833435,0.03066540214075926,0.05,0.03066540214075926,0.07622757050216729,0.05,3.648507821663899,5.01631433964287,5.068425622558916,0.06133080428151852,0.15245514100433458,0.17782798136688463,0.11285780121455757,1.0,1.0,1.0,1.0,0.17782798136688463,0.19934954875080532,0.20435389278537927,0.2740847096064577,1.0,-0.01516580028055683,0.07784625316183974,0.0786325814637617,0.472746472714162,1.0,5.144553966670899,1.0,0.06133080428151852,5.144553966670899,5.144553966670899,1.0,734.7823908539526,1.0,0.0
100,0,0,1.1499597771773222e-05,7500,0,0.0,6300,0.84,4940,0.6586666666666666,2560,0.3413333333333333,3740,0.5936507936507937,2560,0.40634920634920635,3740,0,0,0,7500,0,6300,0,0,0,0,0,0,0.11449058326700033,0.24607429993342736,0.24834743757138328,0.24893808629539074,0.05,-0.11449058326700033,-0.0003546304787150483,0.03220370210894845,0.05,0.03220370210894845,0.07526337488352791,0.05,3.704592382978882,4.921485998668547,4.966948751427665,0.0644074042178969,0.15052674976705582,0.18070387390015802,0.11449058326711484,1.0,1.0,1.0,1.0,0.18070387390015802,0.20319066238744535,0.20899832900255105,0.2699352308217767,1.0,-0.016514982578866678,0.07681428882892102,0.07748277208117457,0.45812148727536806,1.0,5.144553966670899,0.0,0.0644074042178969,5.144553966670899,5.144553966670899,1.0,0.12106534666158274,1.0,0.0
1000,0,0,1.0613458082881765e-05,7896,0,0.0,6568,0.8318135764944276,5176,0.6555217831813577,2720,0.3444782168186423,3848,0.5858708891595615,2720,0.41412911084043846,3848,0,0,0,7896,0,6568,0,0,0,0,0,0,0.10607985739320032,0.2234728743713201,0.22532734272141297,0.22580396640084777,0.05,-0.10607985739320032,-0.0003039828314219452,0.03249741663879925,0.05,0.03249741663879925,0.07620083097523729,0.05,3.314427117475358,4.469457487426402,4.506546854428259,0.0649948332775985,0.15240166195047458,0.1724674152830996,0.10607985739330641,1.0,1.0,1.0,1.0,0.1724674152830996,0.2237408013865725,0.22877032171385914,0.3017112655314392,1.0,-0.014827004123508108,0.07300730374786941,0.07362526286771118,0.4091358602481576,1.0,5.144553966670899,0.0,0.0649948332775985,5.144553966670899,5.144553966670899,1.0,0.11427067790512319,1.0,0.0
