candidate_count,candidate_max,candidate_max_abs,candidate_mean,candidate_min,candidate_nonfinite,candidate_p95_abs,candidate_std,cell_count,diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,reference_count,reference_max,reference_max_abs,reference_mean,reference_min,reference_nonfinite,reference_p95_abs,reference_std,region
2856,5.5454892261692396e-05,5.668966893213265e-05,2.3145044845589056e-06,-5.668966893213265e-05,0,3.600661668063665e-05,1.3744667668896501e-05,2856,2856,6.335806445462167e-19,0.00034687500000000007,-2.2295167394051016e-05,-0.00034687500000000007,0,0.00020624999999999184,6.59611565594637e-05,2856,0.00034687500000000007,0.00034687500000000007,2.460967187860992e-05,-5.6689668932132666e-05,0,0.00020624999999999184,6.66076987603944e-05,b10_near_interface_offline_fluid
2540,5.5454892261692396e-05,5.668966893213265e-05,2.6024507117717462e-06,-5.668966893213265e-05,0,3.6812402393536636e-05,1.4548864049434439e-05,2540,2540,6.335806445462167e-19,6.335806445462167e-19,4.3157725099798185e-21,-4.973671587158845e-19,0,2.829090043829363e-19,1.2576822905958323e-19,2540,5.5454892261692416e-05,5.6689668932132666e-05,2.6024507117717416e-06,-5.6689668932132666e-05,0,3.6812402393536595e-05,1.4548864049434446e-05,b11_near_interface_tclb_fluid
2540,5.5454892261692396e-05,5.668966893213265e-05,2.6024507117717462e-06,-5.668966893213265e-05,0,3.6812402393536636e-05,1.4548864049434439e-05,2540,2540,6.335806445462167e-19,6.335806445462167e-19,4.3157725099798185e-21,-4.973671587158845e-19,0,2.829090043829363e-19,1.2576822905958323e-19,2540,5.5454892261692416e-05,5.6689668932132666e-05,2.6024507117717416e-06,-5.6689668932132666e-05,0,3.6812402393536595e-05,1.4548864049434446e-05,corrected_near_interface_tclb_phase_fluid
872,5.5454892261692396e-05,5.668966893213265e-05,2.241288461541577e-06,-5.668966893213265e-05,0,4.545431613045384e-05,2.1033357278785936e-05,872,872,3.7269449679189215e-19,0.00034687500000000007,-7.30217867860203e-05,-0.00034687500000000007,0,0.00026874999999996677,0.00010269353652164839,872,0.00034687500000000007,0.00034687500000000007,7.526307524756189e-05,-5.6689668932132666e-05,0,0.00026874999999996677,0.00010325230644111964,b10_contact_core_offline_fluid
556,5.5454892261692396e-05,5.668966893213265e-05,3.5151142778134096e-06,-5.668966893213265e-05,0,4.966538862778906e-05,2.6255697482989908e-05,556,556,3.7269449679189215e-19,3.7269449679189215e-19,-5.009262967069328e-21,-3.2526065174565133e-19,0,2.176874674443552e-19,1.033059228379608e-19,556,5.5454892261692416e-05,5.6689668932132666e-05,3.5151142778134142e-06,-5.6689668932132666e-05,0,4.9665388627789034e-05,2.6255697482989915e-05,b11_contact_core_tclb_fluid
556,5.5454892261692396e-05,5.668966893213265e-05,3.5151142778134096e-06,-5.668966893213265e-05,0,4.966538862778906e-05,2.6255697482989908e-05,556,556,3.7269449679189215e-19,3.7269449679189215e-19,-5.009262967069328e-21,-3.2526065174565133e-19,0,2.176874674443552e-19,1.033059228379608e-19,556,5.5454892261692416e-05,5.6689668932132666e-05,3.5151142778134142e-06,-5.6689668932132666e-05,0,4.9665388627789034e-05,2.6255697482989915e-05,corrected_contact_core_tclb_phase_fluid
51624,0.0,0.0,0.0,0.0,0,0.0,0.0,51624,51624,0.00022500000000000002,0.00034687500000000007,-6.894340159860274e-07,-0.00034687500000000007,0,0.0002249999998092153,9.064258444306694e-05,51624,0.00034687500000000007,0.00034687500000000007,6.894340159860274e-07,-0.00022500000000000002,0,0.0002249999998092153,9.064258444306694e-05,offline_fluid_tclb_boundary
800,0.0,0.0,0.0,0.0,0,0.0,0.0,800,800,0.00016875,0.00034687500000000007,-4.271875375681647e-05,-0.00034687500000000007,0,0.00026875,0.00014019973547175335,800,0.00034687500000000007,0.00034687500000000007,4.271875375681647e-05,-0.00016875,0,0.00026875,0.00014019973547175335,cylinder_overlap_boundary
50824,0.0,0.0,0.0,0.0,0,0.0,0.0,50824,50824,0.00022500000000000002,0.00022500000000000013,-2.7867516051658584e-08,-0.00022500000000000013,0,0.00022499999978432372,8.948611409081712e-05,50824,0.00022500000000000013,0.00022500000000000013,2.7867516051658584e-08,-0.00022500000000000002,0,0.00022499999978432372,8.948611409081712e-05,outer_boundary
