case_id,geometry,theta_deg,step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_phase_bounded_pred_gt_1_count,wall_clamp_delta_nonzero_count,wall_phase_profile_pred_gt_1_count,wall_profile_delta_nonzero_count,wall_pf_f_min,wall_pf_f_max,wall_grad_tangent_max,wall_tan_coeff_mean,wall_phase_pred_min,wall_phase_pred_max,wall_phase_bounded_pred_max,wall_clamp_delta_min,wall_clamp_delta_max,wall_phase_profile_pred_max,wall_profile_delta_min,wall_profile_delta_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
curved_theta011,curved,11,0,121164,954036,64,0,0,64,0,0,34780,-999.0,0.5808448975965824,0.148776638417561,5.144553966670899,0.0,1.7954628943313244,1.7954628943313244,0.0,0.0,1.0,-0.1208892596789658,1.054862754745995,1.0,0.9999997995397631,0.0,0
curved_theta011,curved,11,250,121164,954036,188,0,0,188,0,0,59128,6.077736476509445e-17,1.0,0.15743393632100336,5.144553966670899,1.157479842617946e-16,1.4083274895991793,1.4083274895991793,0.0,0.0,1.0,-0.15823000700668632,0.6514460647020616,1.0,0.9999897007238272,0.0002584123298646216,0
curved_theta011,curved,11,500,121164,954036,220,0,0,220,0,0,70034,1.6253030746098074e-13,1.0,0.17185154294813015,5.144553966670899,2.0184882351466238e-13,1.4156015550909258,1.4156015550909258,0.0,0.0,1.0,-0.22511729163595368,0.7249883337769573,1.0,0.9999904868831222,0.0002845846855277507,0
curved_theta011,curved,11,750,121164,954036,228,0,0,228,0,0,72534,5.812130391994187e-12,1.0,0.17273480350299086,5.144553966670899,6.299173608152485e-12,1.4439814726218123,1.4439814726218123,0.0,0.0,1.0,-0.1592019026792843,0.734943706740921,1.0,0.9999931462470982,0.0002994079902046041,0
curved_theta011,curved,11,1000,121164,954036,272,0,0,272,0,0,72900,3.9607608460891526e-11,1.0,0.17185062964679973,5.144553966670899,4.1285721260122355e-11,1.467514037197247,1.467514037197247,0.0,0.0,1.0,-0.12385428463319192,0.7319145871504058,1.0,0.9999952127522351,0.00030843472090931283,0
flat_theta011,flat,11,0,42504,571896,2000,0,0,2000,0,0,20574,0.0,0.9999996600470948,0.16354169919183095,5.144553966670899,0.0,1.4129921878921676,1.4129921878921676,0.0,0.0,0.99999982767661,-8.276350442750536e-05,0.6804257682511398,0.9999998276766102,0.9999996600470951,0.0,0
flat_theta011,flat,11,250,42504,571896,2008,0,0,2008,0,0,29810,1.0598473912016335e-18,0.9999921538115276,0.13618076609292876,5.144553966670899,2.150779344494277e-18,1.2731221824097352,1.2731221824097352,0.0,0.0,0.9999960225864769,-0.0004959813521924392,0.538758822036186,0.9999960225864769,0.9999921538115276,0.00012980603538447662,0
flat_theta011,flat,11,500,42504,571896,2012,0,0,2012,0,0,38014,8.305350387509205e-15,0.9999960976548732,0.12924996423630022,5.144553966670899,1.175698737428187e-14,1.2455782575588672,1.2455782575588672,0.0,0.0,0.99999802181882,-0.0010574116040056561,0.50358410460365,0.99999802181882,0.9999960976548732,0.00013958187374383927,0
flat_theta011,flat,11,750,42504,571896,2056,0,0,2056,0,0,41338,7.112839599841073e-13,0.999998475356001,0.12479741111506197,5.144553966670899,8.079280124453358e-13,1.2292446376497121,1.2292446376497121,0.0,0.0,0.9999992271304887,-0.0020024729458581574,0.4819576690644578,0.9999992271304887,0.999998475356001,0.00014239448268265793,0
flat_theta011,flat,11,1000,42504,571896,2076,0,0,2076,0,0,42368,7.765723721990948e-12,0.9999992722028753,0.12153677043907171,5.144553966670899,8.274037915526074e-12,1.2173695861554958,1.2173695861554958,0.0,0.0,0.9999996310698823,-0.0034083958371588074,0.46561345941825516,0.9999996310698823,0.9999992722028753,0.0001475680278970389,0
