case_id,geometry,theta_deg,step,wall_count,fluid_count,wall_phase_pred_gt_1_count,wall_phase_field_gt_1_count,fluid_phase_field_gt_1_count,wall_pf_f_min,wall_pf_f_max,wall_grad_tangent_max,wall_tan_coeff_mean,wall_phase_pred_min,wall_phase_pred_max,phase_wall_max,phase_fluid_max,max_mach,nonfinite_count
curved_theta030,curved,30,0,121164,954036,0,0,0,-999.0,0.5808448975965824,0.148776638417561,1.7320508003892916,0.0,1.0,1.0,0.9999997995397631,0.0,0
curved_theta030,curved,30,50,121164,954036,0,0,2228,4.649669866189703e-26,1.0,0.13778927170063848,1.7320508003892916,1.546649612643853e-24,1.0,1.0,1.0000195044742994,0.00017328373676308686,0
curved_theta090,curved,90,0,121164,954036,0,0,0,-999.0,0.5808448975965824,0.0,-1.794896453688466e-09,0.0,1.0,1.0,0.9999997995397631,0.0,0
curved_theta090,curved,90,50,121164,954036,0,0,2324,6.513370337462167e-26,1.0,0.0,-1.794896453688466e-09,6.513370337462167e-26,1.0,1.0,1.0000201547410346,6.776664791856978e-05,0
flat_theta030,flat,30,0,42504,571896,1360,1360,0,0.0,0.9999996600470948,0.16354169919183095,1.7320508003892916,0.0,1.0061294510167405,1.0061294510167405,0.9999996600470951,0.0,0
flat_theta030,flat,30,50,42504,571896,1036,1036,804,-1.198910136526909e-25,1.0000131270082089,0.14703863970221367,1.7320508003892916,-7.6305035865869e-27,1.0003900598645228,1.0003900598645228,1.0000153994999144,0.00015822004448662607,0
flat_theta090,flat,90,0,42504,571896,0,0,0,0.0,0.9999996600470948,0.0,-1.794896453688466e-09,0.0,0.9999996600470948,0.9999996600470951,0.9999996600470951,0.0,0
flat_theta090,flat,90,50,42504,571896,208,208,940,-1.1989215915957477e-25,1.0000213066541612,0.0,-1.794896453688466e-09,-1.1989215915957477e-25,1.0000213066541612,1.0000213066541612,1.0000213523499992,1.6758125511760017e-05,0
