case,rc,solver_status,volume_radius,inv_R,delta_p,target,rel_err,u_max,spurious_u_rms_interface,mass_drift,mass_correction_delta,nonfinite_count,fit_slope,fit_sigma
radius5_ratio10_3000,RC=0,pass,5.586892348939798,0.17899038276435844,0.0006469386376249942,0.0005966346092145282,0.08431295743418475,0.00012192942141509885,5.980408059117756e-05,9.447376214666292e-11,0.0,0,0.0035144849495368797,0.0017572424747684398
radius6_ratio10_3000,RC=0,pass,6.504733238984243,0.1537342060404243,0.000535758132379216,0.0005124473534680809,0.04548911952296191,9.146887327233713e-05,4.7410666943491396e-05,1.8781065591610968e-10,0.0,0,0.0035144849495368797,0.0017572424747684398
radius7_ratio10_3000,RC=0,pass,7.441460901689795,0.1343822151605905,0.0004536614846812892,0.00044794071720196847,0.012771260257507105,5.9025481939072056e-05,3.226244891644653e-05,2.801243681460619e-10,0.0,0,0.0035144849495368797,0.0017572424747684398
