step,stage8g_mode,stage8h_mode,nonfinite_total,max_mach,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,stage8h_limiter_equivalent_count,stage8h_limiter_equivalent_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,ratio_cap_limiter_count,ratio_cap_limiter_fraction_of_normal_limiter,abs_cap_limiter_count,abs_cap_limiter_fraction_of_normal_limiter,raw_normal_scale_limiter_count,target_scale_limiter_count,tangent_scale_limiter_count,floor_scale_limiter_count,sphere11_active_count,sphere11_limiter_count,sphere11_normal_limiter_count,sphere11_stage8h_limiter_equivalent_count,outer90_active_count,outer90_limiter_count,outer90_normal_limiter_count,outer90_stage8h_limiter_equivalent_count,fallback_angle_active_count,fallback_angle_limiter_count,fallback_angle_normal_limiter_count,fallback_angle_stage8h_limiter_equivalent_count,raw_delta_p50,raw_delta_p95,raw_delta_p99,raw_delta_max,limited_delta_p99,dn_try_p50,dn_try_p95,effective_cap_p50,effective_cap_p95,ratio_cap_p50,ratio_cap_p95,abs_cap_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95,target_normal_abs_p50,target_minus_raw_abs_p50,smooth_weight_c_p50,smooth_weight_g_p50,smooth_weight_t_p50,smooth_weight_total_p50,tan_coeff_times_tangent_p50,limiter_ratio_p05,limiter_ratio_p10,limiter_ratio_p50,limiter_ratio_p95,normal_delta_raw_p99,tangent_mag_p95,tangent_mag_p99,phase_c_p50,normal_agreement_p05,tan_coeff_p50,wall_profile_conflict_p50,stage8g_effective_scale_p50,stage8g_tan_raw_p50,stage8g_tan_eff_p50,stage8g_regularization_ratio_p50,stage8g_profile_target_mismatch_p50,stage8g_profile_conflict_sign_p50,stage8g_write_allowed_flag_max,stage8h_actual_cos_p50,stage8h_target_cos_p50,stage8h_residual_cos_p50,stage8h_dn_tan_raw_p50,stage8h_dn_cos_raw_p50,stage8h_dn_relaxed_p50,stage8h_dn_relaxed_p95,stage8h_beta_relaxation_p50,stage8h_beta_source_p50,stage8h_profile_normal_p50,stage8h_profile_target_mismatch_p50,stage8h_profile_consistency_weight_p50,stage8h_candidate_demand_ratio_p50,stage8h_candidate_demand_ratio_p95,stage8h_candidate_demand_ratio_p99,stage8h_candidate_normal_delta_p50,stage8h_cos_to_tan_ratio_p50,stage8h_effective_cap_p50,stage8h_write_allowed_flag_max
0,3,1,0,0.0,780,0,0.0,636,0.8153846153846154,0,0.0,452,0.5794871794871795,328,0.4205128205128205,308,0.48427672955974843,328,0.5157232704402516,0,308,0,0,780,0,636,0,0,0,0,0,0,0,0,0,0.17942255658101305,0.5023318871701395,0.5301491652359586,0.5315368814353274,0.05,-0.17942255658101305,-0.0014290614491504314,0.034759711212055046,0.05,0.034759711212055046,0.10027654379263885,0.05,5.142052058760857,10.04663774340279,10.60298330471917,0.040044763133777514,0.16113051123820465,0.1325008714833376,0.1794225565811925,1.0,1.0,1.0,1.0,0.1325008714833376,0.09953578754809374,0.11913605161534144,0.1944748883466151,1.0,-0.04685789667799224,0.12702070946934085,0.14947074184346124,0.10484799877528311,0.9739150450244611,3.15780140770959,1.0,0.06951942242411009,5.144553966670899,3.15780140770959,0.613814419708195,734.5051535757779,1.0,0.0,0.5709133332552115,-0.981627183447664,-1.5525405167028756,-0.1794225565811925,-0.10621602569566164,-1.2269938372743863e-05,-1.1297946789637796e-07,6.720784473919227e-05,4.0,734.4491873858419,734.5051535757779,6.80684081468934e-05,0.00035006775611259427,0.0007506709675830235,0.0009179119994747201,-1.2269938372743863e-05,0.4907665771572746,0.034759711212055046,0.0
100,3,1,0,0.00018277308602216634,832,0,0.0,660,0.7932692307692307,100,0.1201923076923077,500,0.6009615384615384,332,0.39903846153846156,328,0.49696969696969695,332,0.503030303030303,56,272,0,0,832,0,660,100,0,0,0,0,0,0,0,0,0.0944045655920097,0.2356411487493993,0.25631407095853115,0.26192524283061513,0.05,-0.0944045655920097,-0.0007077744864609651,0.037023584469630236,0.05,0.037023584469630236,0.08262883128580077,0.05,2.8869159427363797,4.7128229749879855,5.126281419170623,0.036847815003337614,0.10693458520657538,0.14809433787852094,0.0961069629221103,1.0,1.0,1.0,1.0,0.14809433787852094,0.2121870491014039,0.2205257959280307,0.34639041109496593,1.0,-0.010608519829420357,0.10466627962615667,0.108861115931585,0.13304877280902982,0.9739150450244611,3.15780140770959,0.0,0.07404716893926047,5.144553966670899,3.15780140770959,0.613814419708195,0.063778254232189,1.0,0.0,-0.610655018761423,-0.981627183447664,-0.3709721646862409,-0.0961069629221103,-0.02110861667723341,-0.023601141398026028,-0.00017694362161541823,0.24517199359735897,1.0,-0.07918539944675548,0.063778254232189,0.4395717961837949,0.7217289856848167,1.0928104191373313,1.1213001299101406,-0.023601141398026028,0.1962818153670544,0.037023584469630236,0.0
1000,3,1,0,0.0003084275362609073,924,0,0.0,712,0.7705627705627706,16,0.017316017316017316,544,0.5887445887445888,380,0.41125541125541126,332,0.46629213483146065,380,0.5337078651685393,28,304,0,0,924,0,712,16,0,0,0,0,0,0,0,0,0.10335888520129717,0.3405746315334247,0.36618159734747535,0.38615909877514876,0.05,-0.10335888520129717,-0.0002015919361365693,0.03812832600601551,0.05,0.03812832600601551,0.10701036444097446,0.05,2.686364285225042,6.811492630668494,7.323631946949506,0.05119266378058963,0.11631380800816471,0.15251330402406205,0.10335888520140053,1.0,1.0,1.0,1.0,0.15251330402406205,0.1468106998306857,0.16977529054050264,0.3722503330988963,1.0,-0.014252247517429591,0.13555046771429619,0.1427493268302245,0.14202696542342236,0.9739150450244611,3.15780140770959,0.0,0.07625665201203102,5.144553966670899,3.15780140770959,0.613814419708195,0.07145039448674828,1.0,0.0,-0.7355666300355511,-0.981627183447664,-0.24606055341211286,-0.10335888520140053,-0.01961739913513009,-0.025839721300350133,-5.0397984034192725e-05,0.19622365299321576,1.0,-0.07102760938858435,0.07145039448674828,0.4116907171137738,0.6715910713069321,0.9389516829165651,1.0167854589139373,-0.025839721300350133,0.17529507690078241,0.03812832600601551,0.0
