case,fit_contact_angle_deg,H1H2_error_percent,fluid_phase_drift_percent,fluid_rho_drift_percent,mach_max_fluid,nonfinite,lower90_phi_fraction,bottom120_phi_fraction,zmin_outside_sphere_phi_fraction,wall_phase_pred_sphere_max,wall_phase_unified_pred_sphere_max,wall_unified_delta_sphere_max,wall_phase_pred_gt_1_count,wall_phase_unified_profile_pred_gt_1_count
v3,107.12571932305862,104.71912301552241,-0.6185642768798076,-0.6059529542383486,0.0004918523894985014,0,0.03191822994906435,0.007862900912849788,0.0,1.4480228316330213,,,,
v5,107.12571932305862,104.71912301552241,-0.6185642768798076,-0.6059529542383486,0.0004918523894985014,0,0.03191822994906435,0.007862900912849788,0.0,1.4480228316330213,1.0,0.688189353200577,1920,0
