step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.33333333333333326,0.33333333333333326,-2.155422422680661e-05,0.0008062190325630363,9.441549908702725e-05,0.0,0.0001888309981740288,0.0,0.0,0.0001888309981740288,0.00039429704359000194,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,492.4117934822945,13824,0.0,0.0,0.5,0.5,0
100,1151.6332540613514,-6.366462912410498e-12,2.9587720103204774e-07,0.9961164822307599,0,0,0.10000026628948093,0.996504834007684,0.33324970193116893,0.333959108518646,-2.1744224479820664e-05,0.000804852791251672,7.607633881701021e-05,0.0,0.00017452146788014442,0.0,0.0,0.00017452146788014442,0.0004032062076312918,0,0.004627098136798079,0.2968408617662476,0,0,0,0.0,0.0,0.0,0.0,494.8904059932096,13824,1.145144371624943e-17,0.08326405852079123,0.5,0.5,0
200,1151.6332540613446,-1.318767317570746e-11,3.071921611468232e-07,0.9958371212724718,0,0,0.10000027647294504,0.9962534091452246,0.3332929308815506,0.3338311746224432,-2.1403943291116402e-05,0.0007891349933174255,7.464481521938887e-05,0.0,0.0001739148365252986,0.0,0.0,0.0001739148365252986,0.0003974477118072777,0,0.004627918204752518,0.2967447582844235,0,0,0,0.0,0.0,0.0,0.0,495.14376059894295,13824,8.739947509004745e-18,0.08329027287469055,0.5,0.5,0
300,1151.6332540613382,-1.9554136088117957e-11,3.117203991235717e-07,0.9959364390915907,0,0,0.10000028054835922,0.9963427951824316,0.3332945831082058,0.3338447990842138,-2.126500151066269e-05,0.000782550428683738,7.471304146732952e-05,0.0,0.00017363085829829388,0.0,0.0,0.00017363085829829388,0.00039501677272572183,0,0.004626925052124516,0.29674825023312174,0,0,0,0.0,0.0,0.0,0.0,495.12218283265287,13824,1.019717057819067e-17,0.08329802095917745,0.5,0.5,0
400,1151.6332540613316,-2.6147972675971687e-11,3.1332927681195163e-07,0.995910521094845,0,0,0.10000028199634914,0.9963194689853605,0.333288955535257,0.33385858684400715,-2.1212879398525306e-05,0.0007812893726473146,6.792823303355356e-05,0.0,0.00017381543117625463,0.0,0.0,0.00017381543117625463,0.0003941078826519725,0,0.004627556804398587,0.2967640224019787,0,0,0,0.0,0.0,0.0,0.0,495.1299463397368,13824,1.06452262709754e-17,0.08330080390644277,0.5,0.5,0
500,1151.6332540613253,-3.2514435588382185e-11,3.139727875664992e-07,0.9959094316334229,0,0,0.10000028257550882,0.9963184884700806,0.3332944667130575,0.33384490679256534,-2.119478429988438e-05,0.0007818999116001531,6.492938468520839e-05,0.0,0.00017391339152638067,0.0,0.0,0.00017391339152638067,0.0003937577773864567,0,0.004627292519036928,0.2967509520719293,0,0,0,0.0,0.0,0.0,0.0,495.14891676690223,13824,1.2009091149374715e-17,0.08330181366442141,0.5,0.5,0
600,1151.6332540613187,-3.9108272176235914e-11,3.1418972613245774e-07,0.9959159485950259,0,0,0.10000028277075353,0.9963243537355233,0.3332934903168397,0.333852650937398,-2.1186513705598544e-05,0.0007820831684335012,6.565414408668789e-05,0.0,0.00017394873163196475,0.0,0.0,0.00017394873163196475,0.00039362111927662355,0,0.004627300478615583,0.29675778034221845,0,0,0,0.0,0.0,0.0,0.0,495.1400496918328,13824,1.0500670482305079e-17,0.0833021883303496,0.5,0.5,0
700,1151.633254061312,-4.5702108764089644e-11,3.142836052763311e-07,0.9959108610609357,0,0,0.10000028285524476,0.9963197749548421,0.3332946739603411,0.33384964220300073,-2.1184131559608892e-05,0.0007821783485936524,6.724556581868422e-05,0.0,0.00017396383624049323,0.0,0.0,0.00017396383624049323,0.0003935732787931517,0,0.004627337189415044,0.29675536380464834,0,0,0,0.0,0.0,0.0,0.0,495.14593595272856,13824,9.5749191080759e-18,0.08330233606569556,0.5,0.5,0
800,1151.6332540613057,-5.206857167650014e-11,3.1431652531674127e-07,0.9959134231204559,0,0,0.1000002828848728,0.9963220808084103,0.3332946973550893,0.3338502060423837,-2.1182956914616913e-05,0.0007822052330259376,6.633732534896793e-05,0.0,0.000173968599903252,0.0,0.0,0.000173968599903252,0.0003935527334627423,0,0.004627296673242759,0.2967556673626682,0,0,0,0.0,0.0,0.0,0.0,495.1445348397616,13824,1.2377866032508703e-17,0.08330238785558387,0.5,0.5,0
900,1151.633254061299,-5.866240826435387e-11,3.1432825135352634e-07,0.9959125726918294,0,0,0.10000028289542623,0.9963213154226465,0.3332947095300908,0.33385049453593024,-2.1182548029426518e-05,0.0007822165920150289,6.690762261887206e-05,0.0,0.00017397077741136,0.0,0.0,0.00017397077741136,0.00039354594383394305,0,0.004627317760504688,0.2967560223710574,0,0,0,0.0,0.0,0.0,0.0,495.14469108044426,13824,7.379570520694914e-18,0.08330240932717528,0.5,0.5,0
1000,1151.6332540612925,-6.52562448522076e-11,3.143340128859435e-07,0.9959126286635428,0,0,0.10000028290061161,0.9963213657971886,0.33329469279729423,0.33385011500268225,-2.1182431121672282e-05,0.0007822222527408576,6.674801044122051e-05,0.0,0.00017397153756084082,0.0,0.0,0.00017397153756084082,0.00039354314741216006,0,0.004627309355367509,0.29675565324542674,0,0,0,0.0,0.0,0.0,0.0,495.14509576737754,13824,1.2531682804194844e-17,0.08330241697496708,0.5,0.5,0
