case,target_theta_deg,init_contact_angle_deg,theta_bbox_raw_mean_deg,theta_calibrated_bbox_deg,target_error_calibrated_deg,calibration_outside_range,radius_used_for_calibration,width_used_for_calibration,z_indices
theta150_init150_300,150.0,150.0,124.35180723149348,162.0,12.0,False,10.0,4.0,23 24 25
theta30_init30_300,30.0,30.0,126.869897645844,165.0,135.0,False,10.0,4.0,23 24 25
theta90_init90_300,90.0,90.0,84.95084486177024,87.70861268822516,-2.291387311774841,False,10.0,4.0,23 24 25
