case,target_theta_deg,init_contact_angle_deg,mean_deg,target_error_deg,left_deg,right_deg,fit_center_y,fit_radius,wall_y,interface_points
theta120_init120_300,120.0,120.0,148.3461376690135,28.3461376690135,148.3461376690135,148.3461376690135,17.89824137123875,20.438847540824536,0.5,126
theta60_init60_300,60.0,60.0,93.56495728955026,33.564957289550264,93.56495728955026,93.56495728955026,1.1512626500131995,10.473810879941093,0.5,78
theta90_init90_300,90.0,90.0,130.57734200699605,40.57734200699605,130.57734200699605,130.57734200699605,10.932966972639491,16.039024550394398,0.5,110
