case,status,theta_deg,init_contact_angle_deg,phase_advection_mode,wetting_ghost_distance,wetting_ghost_sign,measured_mean_deg,target_error_deg,mass_drift,mass_correction_delta,phase_wall_delta_mass,u_max,force_over_rho_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_abs_max,wall_ghost_min,wall_ghost_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
theta120_init120_300,pass,120.0,120.0,1,1.0,-1.0,148.3461376690135,28.3461376690135,-3.67435859516263e-10,0.0,-1.6877729074679352e-15,0.0015257267356321798,0.0008386385470406611,579,0.0008386385470406611,0.001407251881181611,2.695915352752328e-14,0.9997400983563359,3475,0,0
theta60_init60_300,pass,60.0,60.0,1,1.0,-1.0,93.56495728955026,33.564957289550264,-6.866684998385608e-11,0.0,-2.663065489634019e-15,0.0016050768112848863,0.0007163388043010577,558,0.0007163388043010577,0.001350603022319698,5.886435167532423e-14,0.9999405763632502,1597,0,0
theta90_init90_300,pass,90.0,90.0,1,1.0,-1.0,130.57734200699605,40.57734200699605,-2.1464074961841106e-10,0.0,1.1732553036518333e-15,0.0011928881401302364,0.0007019356112164513,614,0.0007019356112164513,0.00122662182980258,5.621889942396968e-14,0.9999744601739867,2160,0,0
