step,field,low_rho,near_interface_wall,fluid_all
12,ReplayPhaseFromH,0.01990276328561936,0.9894731259433991,1.0000221338821245
12,ReplayHPostMaxAbs,0.006011434286369104,0.2931650977569104,0.2963012429230518
12,ReplayHeqMaxAbs,0.005975479413817564,0.293172367309602,0.2963018124197782
12,ReplayFphiMaxAbs,0.0019185696264035043,0.0214248644180125,0.024413896900741583
12,ForceOverRhoNorm,41.409622900033895,0.41075237758281813,41.409622900033895
12,B18HVelocityRawPostForceNorm,20.01716372132625,0.22991787116348206,20.01716372132625
12,B18HVelocityPreForceNorm,1.9235508634461922,0.07752232555522126,1.9235508634461922
12,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000004,0.20000000000000007
12,B20HeqActiveMaxAbs,0.005975479413817564,0.293172367309602,0.2963018124197782
12,B20HeqRawPostForceMaxAbs,0.08429663821277093,0.29317236730969315,0.2963018124197782
12,B20HeqPreForceMaxAbs,0.005975479413817564,0.293172367309602,0.2963018124197782
12,B20HeqBoundedMaxAbs,0.00597547941512467,0.29317236730969315,0.2963018124197782
12,B20HPostActiveMaxAbs,0.006011434286369104,0.2931650977569104,0.2963012429230518
12,B20HPostRawPostForceMaxAbs,0.060181537051905695,0.2931650977569755,0.2963012429230518
12,B20HPostPreForceMaxAbs,0.006011434286369104,0.2931650977569104,0.2963012429230518
12,B20HPostBoundedMaxAbs,0.006011434287302751,0.2931650977569755,0.2963012429230518
12,B20PhaseFromHActiveShadow,0.020167243105783845,0.9894567396973878,1.0000186169231813
12,B20PhaseFromHRawPostForceShadow,0.02016724310578384,0.9894567396973875,1.0000186169231813
12,B20PhaseFromHPreForceShadow,0.020167243105783845,0.9894567396973878,1.0000186169231813
12,B20PhaseFromHBoundedShadow,0.02016724310578384,0.9894567396973875,1.0000186169231813
12,B20FphiActiveMaxAbs,0.0019185696264035043,0.0214248644180125,0.024413896900741583
12,B20FphiRawPostForceMaxAbs,0.0019185696264035043,0.0214248644180125,0.024413896900741583
12,B20FphiPreForceMaxAbs,0.0019185696264035043,0.0214248644180125,0.024413896900741583
12,B20FphiBoundedMaxAbs,0.0019185696264035043,0.0214248644180125,0.024413896900741583
13,ReplayPhaseFromH,2.791219556608537,0.9894670811197889,2.791219556608537
13,ReplayHPostMaxAbs,2.233706063315237,0.6171272773744702,2.233706063315237
13,ReplayHeqMaxAbs,3.127171808902775,0.8638612442893489,3.127171808902775
13,ReplayFphiMaxAbs,0.0018927390479102505,0.021479699248892717,0.024413564770582298
13,ForceOverRhoNorm,908.9418727925754,2092.3768331758492,2582.07356082709
13,B18HVelocityRawPostForceNorm,448.6507863640709,1042.9361376171412,1288.3062443215185
13,B18HVelocityPreForceNorm,133.2006986378286,76.05250834273683,133.2006986378286
13,B18HVelocityBoundedShadowNorm,0.20000000000000007,0.20000000000000007,0.20000000000000007
13,B20HeqActiveMaxAbs,3.127171808902775,0.8638612442893489,3.127171808902775
13,B20HeqRawPostForceMaxAbs,12.750050253121444,189.78075392650612,470.2346151627346
13,B20HeqPreForceMaxAbs,3.127171808902775,0.8638612442893489,3.127171808902775
13,B20HeqBoundedMaxAbs,0.006053086741076161,0.29317722249370765,0.296302854482099
13,B20HPostActiveMaxAbs,2.233706063315237,0.6171272773744702,2.233706063315237
13,B20HPostRawPostForceMaxAbs,9.107179827663582,135.5577649075293,335.88192156099626
13,B20HPostPreForceMaxAbs,2.233706063315237,0.6171272773744702,2.233706063315237
13,B20HPostBoundedMaxAbs,0.006104239808233442,0.29317375828319414,0.2963023940366569
13,B20PhaseFromHActiveShadow,0.020429167924516354,0.989473125943399,1.0000221338821247
13,B20PhaseFromHRawPostForceShadow,0.020429167924516354,0.9894731259433991,1.0000221338821247
13,B20PhaseFromHPreForceShadow,0.020429167924516354,0.989473125943399,1.0000221338821247
