B5FphiNormalProxy_max_abs,B5FphiNormalProxy_mean,B5FphiNormalProxy_negative_fraction,B5FphiNormalProxy_positive_fraction,B5GradPhiNormal_max_abs,B5GradPhiNormal_mean,B5GradPhiNormal_negative_fraction,B5GradPhiNormal_positive_fraction,B5PhaseFromHDelta_max_abs,B5PhaseFromHDelta_mean,B5PhaseFromHDelta_negative_fraction,B5PhaseFromHDelta_positive_fraction,B5WallGhostMinusCenter_max_abs,B5WallGhostMinusCenter_mean,B5WallGhostMinusCenter_negative_fraction,B5WallGhostMinusCenter_positive_fraction,ReplayLapPhi_max_abs,ReplayLapPhi_mean,ReplayLapPhi_negative_fraction,ReplayLapPhi_positive_fraction,ReplayMu_max_abs,ReplayMu_mean,ReplayMu_negative_fraction,ReplayMu_positive_fraction,case,consumed_contact_cells,consumed_fraction_contact,contact_line_cells,expected_response_sign_max_abs,expected_response_sign_mean,near_wall_cells,phase_max,phase_min,phase_nonfinite,signal_ok_fraction,status,step
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_to060_b5consume,0,0.0,0,,,0,1.0,0.0,0,,pass,0
0.24792808118375206,-0.09356582010588012,1.0,0.0,0.2581087759948947,-0.09239971050343143,1.0,0.0,3.3306690738754696e-16,-2.730733319920863e-17,0.0,0.0,0.9496033024481471,-0.21718513446017743,0.6277372262773723,0.3722627737226277,0.17533766274162332,0.026176904453998655,0.42043795620437957,0.5795620437956205,4.217686465006957e-05,-4.343340162146078e-06,0.6160583941605839,0.38394160583941606,cylinder_init090_to060_b5consume,1284,0.4686131386861314,2740,1.0,1.0,36096,1.0002968123248919,-0.00010295997196470866,0,0.794392523364486,pass,500
0.24497330675798024,-0.09969791418580783,1.0,0.0,0.25433390146208423,-0.09806234927237184,1.0,0.0,2.220446049250313e-16,-2.818372013310404e-17,0.0,0.0,0.9499091740699022,-0.2168078120013429,0.625531914893617,0.37446808510638296,0.1645726317811068,0.021000044190986118,0.4397163120567376,0.5602836879432624,4.085556549437328e-05,-3.150909267013761e-06,0.573049645390071,0.4269503546099291,cylinder_init090_to060_b5consume,1312,0.4652482269503546,2820,1.0,1.0,36096,1.000283456303678,-0.00011631407670092741,0,0.8048780487804879,pass,1000
0.25498788352093144,-0.10224249833594447,1.0,0.0,0.25569123209797834,-0.1004249130789426,1.0,0.0,3.3306690738754696e-16,-2.898333696773992e-17,0.0,0.0,0.9489451305487712,-0.22237327826515746,0.6260387811634349,0.3739612188365651,0.1608032502416058,0.016781432402946966,0.45013850415512463,0.5498614958448753,3.962375635462796e-05,-2.5027930791777816e-06,0.5484764542936288,0.4515235457063712,cylinder_init090_to060_b5consume,1352,0.46814404432132967,2888,1.0,1.0,36096,1.0002740333673514,-0.00011223337438563787,0,0.7988165680473372,pass,1500
0.2509643861214048,-0.10392766592270401,1.0,0.0,0.25649065375600694,-0.10197142845499134,1.0,0.0,3.3306690738754696e-16,-2.6710960116471217e-17,0.0,0.0,0.9487253480494637,-0.2250471452273086,0.6280653950953679,0.37193460490463215,0.15592454830741775,0.014461426665125031,0.4526566757493188,0.5473433242506812,3.851721723345022e-05,-2.1025601912980257e-06,0.5435967302452316,0.4564032697547684,cylinder_init090_to060_b5consume,1364,0.4645776566757493,2936,1.0,1.0,36096,1.000274925357549,-0.00011522484380205761,0,0.8005865102639296,pass,2000
,,,,,,,,,,,,,,,,,,,,,,,,cylinder_init090_to090_b5consume,0,0.0,0,,,0,1.0,0.0,0,,pass,0
0.11645989502992411,0.014630070687744868,0.30655737704918035,0.6934426229508197,0.10395839937603338,0.014321893928532784,0.30655737704918035,0.6934426229508197,3.3306690738754696e-16,-2.88220039820081e-17,0.0,0.0,0.9487418334241922,-0.3082792737653732,0.6442622950819672,0.009836065573770493,0.1788053979224337,-0.007687997355948629,0.5016393442622951,0.49836065573770494,2.1300156991990194e-05,2.848993414918784e-06,0.34098360655737703,0.659016393442623,cylinder_init090_to090_b5consume,1108,0.4540983606557377,2440,0.0,0.0,36096,1.0001280051439358,-0.00010347764524766578,0,0.0,pass,500
0.11953606350550956,0.015149878143207262,0.2752902155887231,0.724709784411277,0.10575921081764875,0.014758394446321503,0.2752902155887231,0.724709784411277,3.3306690738754696e-16,-2.871355723669073e-17,0.0,0.0,0.9490795596528234,-0.3030934620874238,0.6434494195688225,0.009950248756218905,0.17206456140515347,-0.007384956783214606,0.5024875621890548,0.4975124378109453,2.0985552808572562e-05,2.799858946494124e-06,0.3598673300165838,0.6401326699834162,cylinder_init090_to090_b5consume,1092,0.4527363184079602,2412,0.0,0.0,36096,1.0001348624664836,-0.00011338328929242936,0,0.0,pass,1000
0.12168586814561604,0.015450385091113192,0.2809364548494983,0.7190635451505016,0.10699781306102513,0.015023278901562957,0.2809364548494983,0.7190635451505016,2.220446049250313e-16,-2.787161063074442e-17,0.0,0.0,0.9499519347347805,-0.3019432034436614,0.6471571906354515,0.010033444816053512,0.1691288470331741,-0.00644144171260806,0.4983277591973244,0.5016722408026756,2.110780770754247e-05,2.7451067077189955e-06,0.3528428093645485,0.6471571906354515,cylinder_init090_to090_b5consume,1080,0.451505016722408,2392,0.0,0.0,36096,1.0001327559178634,-0.00011153025800276291,0,0.0,pass,1500
0.12212588337044702,0.015464797256322172,0.31552587646076796,0.6844741235392321,0.10787309727697927,0.015014619994786416,0.31552587646076796,0.6844741235392321,2.220446049250313e-16,-2.839849483377057e-17,0.0,0.0,0.9492541647755807,-0.30248772522400125,0.6494156928213689,0.01001669449081803,0.16708979983440375,-0.005760982194778923,0.4974958263772955,0.5025041736227045,2.1091553326284485e-05,2.704924113781911e-06,0.3672787979966611,0.6327212020033389,cylinder_init090_to090_b5consume,1088,0.4540901502504174,2396,0.0,0.0,36096,1.00013003366776,-0.00011634474311774,0,0.0,pass,2000
