name,group,stencil3d,line
ReplayStressYY,runtime_diagnostics,1,249
ReplayStressYZ,runtime_diagnostics,1,250
ReplayStressZZ,runtime_diagnostics,1,251
ReplayFphiSum,runtime_diagnostics,1,252
ReplayFphiMaxAbs,runtime_diagnostics,1,253
ReplayTmp1,runtime_diagnostics,1,254
U,,,268
U,,,269
gradPhiVal_x,gradPhi,2,281
gradPhiVal_y,gradPhi,2,282
gradPhiVal_z,gradPhi,2,283
gradPhi_PhaseF,gradPhi,1,288
PhaseF,PF,2,290
PhaseF,PF,1,292
