case,status,target_theta_deg,expected_response,response_direction,step,phase_min,phase_max,phase_nonfinite,analytic_contact_cells,contact_half_width_w95_deg,contact_half_width_delta_deg,contact_y_min,contact_y_min_delta,phase_mean_abs_near_wall_delta,slice_footprint_delta,slice_height_delta,slice_angle_obtuse_delta_deg,b5_contact_cells,b5_consumed_fraction,b5_fphi_normal_proxy_mean,b5_grad_phi_normal_mean,b5_wallghost_minus_center_mean,b5_signal_ok_mean
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,200,-9.620593033205608e-05,1.0001453221856813,0,2488,74.24882633654697,-0.7328130323023601,52.5,1.0,0.004102855029441695,0.0,-1.0,0.07570298652680663,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,400,-0.00010312210094436157,1.0001151814747025,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.005670188945370957,0.0,-1.0,0.05138089919798006,0,0.0,,,,
cylinder_init090_neutral_A_legacy_baseline,PASS_B6_ANALYSIS,90,control,control_drift,600,-0.00010687085998086274,1.0001144833520255,0,2520,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006879948373866989,0.0,-2.0,0.14546745121282356,0,0.0,,,,
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,200,-9.620593033205608e-05,1.0001453221856813,0,2488,74.24882633654697,-0.7328130323023601,52.5,1.0,0.004102855029441695,0.0,-1.0,0.07570298652680663,2420,0.44958677685950416,0.01385066415487898,0.013505297891741916,-0.302768207800784,0.0
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,400,-0.00010312210094436048,1.0001151814747036,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.0056701889453681514,0.0,-1.0,0.05138089919739741,2444,0.4533551554828151,0.014521406929263623,0.014250466097583897,-0.308208375510791,0.0
cylinder_init090_neutral_B_shadow_only,PASS_B6_ANALYSIS,90,control,control_drift,600,-0.00010687085998085084,1.0001144833520557,0,2520,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006879948373867148,0.0,-2.0,0.1454674512132641,2448,0.4542483660130719,0.014721504343082538,0.014412897313417206,-0.3057017831730032,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,200,-9.628932874456895e-05,1.0001300720495574,0,2488,74.24882633654697,-0.7328130323023601,52.5,1.0,0.004104345131624243,0.0,-1.0,0.07564519340479592,2420,0.44958677685950416,0.013850342549269362,0.013504987708963065,-0.30276922533023143,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,400,-0.00010271974526951071,1.000133958614041,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.005672353885918681,0.0,-1.0,0.0512166134114409,2444,0.4533551554828151,0.01452129397662992,0.014250366871500771,-0.3082106668764824,0.0
cylinder_init090_neutral_C_controlled_psi,PASS_B6_ANALYSIS,90,control,control_drift,600,-0.00010724334668333894,1.0001262483583762,0,2520,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006882276164633441,0.0,-2.0,0.14531338967094598,2448,0.4542483660130719,0.014721260543295728,0.014412707939913493,-0.3057065937412316,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,0,0.0,1.0,0,2540,74.98163936884933,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,200,-9.620593033205608e-05,1.0001453221856813,0,2488,74.24882633654697,-0.7328130323023601,52.5,1.0,0.004102855029441695,0.0,-1.0,0.07570298652680663,2420,0.44958677685950416,0.01385066415487898,0.013505297891741916,-0.302768207800784,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,400,-0.00010312210094436048,1.0001151814747036,0,2512,73.17859010995916,-1.8030492588901694,52.5,1.0,0.0056701889453681514,0.0,-1.0,0.05138089919739741,2444,0.4533551554828151,0.014521406929263623,0.014250466097583897,-0.308208375510791,0.0
cylinder_init090_neutral_D_controlled_legacy,PASS_B6_ANALYSIS,90,control,control_drift,600,-0.00010687085998085084,1.0001144833520557,0,2520,73.17859010995916,-1.8030492588901694,52.5,1.0,0.006879948373867148,0.0,-2.0,0.1454674512132641,2448,0.4542483660130719,0.014721504343082538,0.014412897313417206,-0.3057017831730032,0.0
