step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,phase_wall_missing_links,phase_wall_stream_mass_before,phase_wall_reflect_mass,phase_wall_delta_mass,mass_correction_delta,mass_correction_weight,mass_correction_count,phase_source_sum_abs_max,phase_source_first_max,wall_ghost_min,wall_ghost_max,nonfinite_count
0,207.291354062611,0.0,0.008209428684718132,0.8941617399945025,0,0,0.10738848581624633,0.9047455659950523,0.33333333333333326,0.33333333333333326,-0.0003547626224884275,0.002295790357086256,0.00019621121110488722,0.0,0.0003924224222097584,0.0,0.0,0.0003924224222097584,0.0006765025103558801,0,0.004629629629629629,0.2962962962962963,0,0,0,0.0,0.0,0.0,0.0,122.95133534134428,1000,0.0,0.0,0.5,0.5,0
1,207.29135406261094,-5.684341886080802e-14,-6.2341624917916505e-19,0.9944384798029555,0,0,0.1,0.99499463182266,0.33329808660005117,0.3335261000828567,-0.0008973445615502281,0.003264442666550188,0.0005081602353776343,0.0,0.0005197449553418211,0.0,0.0,0.0005197449553418211,0.0009157895073875058,0,0.004620195295100968,0.2962962962962361,0,0,0,0.0,0.0,0.0,-0.007669857684263002,109.81077480816408,992,3.469446951953614e-17,0.24988999161365585,0.5,0.5,0
2,207.29135406261094,-5.684341886080802e-14,-4.207636165485737e-19,1.0000000000000002,0,0,0.1,1.0,0.33322953671517797,0.3339364259035221,-0.0014018242843967888,0.003551903199092143,0.0007830401990798061,0.0,0.0007358841652263357,0.0,0.0,0.0007358841652263357,0.0010781042421982114,0,0.004613006931244348,0.2965104089046954,0,0,0,0.0,0.0,0.0,0.18684613401035222,97.6059507186763,960,2.992397996059992e-17,0.24874731987357301,0.5,0.5,0
