step,group,bin,active_count,limiter_count,limiter_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50
300,c_x_tangent:c_0p30_0p70,t_0p025_0p05,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p30_0p70,t_0p05_0p10,40,40,1.0,0.4313508049167035,0.4313508060319931,0.6243986721484578
300,c_x_tangent:c_0p30_0p70,t_0p10_inf,120,120,1.0,0.6360582841428475,0.6393086485103843,0.46754817399154425
300,c_x_tangent:c_0p70_0p90,t_0_0p005,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p70_0p90,t_0p005_0p01,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p70_0p90,t_0p01_0p025,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p70_0p90,t_0p025_0p05,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p70_0p90,t_0p05_0p10,60,60,1.0,0.4477377715788985,0.44773777209840077,0.6834403681855058
300,c_x_tangent:c_0p70_0p90,t_0p10_inf,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p90_0p95,t_0_0p005,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p90_0p95,t_0p005_0p01,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p90_0p95,t_0p01_0p025,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p90_0p95,t_0p025_0p05,12,0,0.0,0.2217954369261908,0.22179543692619144,1.0
300,c_x_tangent:c_0p90_0p95,t_0p05_0p10,8,8,1.0,0.2680773203310433,0.26807732033104353,0.9325667751058954
300,c_x_tangent:c_0p90_0p95,t_0p10_inf,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p95_1,t_0_0p005,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p95_1,t_0p005_0p01,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p95_1,t_0p01_0p025,4,0,0.0,0.0537811289219953,0.05378112892199539,1.0
300,c_x_tangent:c_0p95_1,t_0p025_0p05,8,0,0.0,0.12490188420686697,0.12490188420686721,1.0
300,c_x_tangent:c_0p95_1,t_0p05_0p10,0,0,nan,nan,nan,nan
300,c_x_tangent:c_0p95_1,t_0p10_inf,0,0,nan,nan,nan,nan
400,region,none_or_unknown,0,0,nan,nan,nan,nan
400,region,sphere_upper,848,380,0.4481132075471698,0.6092331723823415,0.6578852431100293,1.0
400,region,sphere_lower90,0,0,nan,nan,nan,nan
400,region,sphere_bottom120,0,0,nan,nan,nan,nan
400,region,outer_or_other_wall,0,0,nan,nan,nan,nan
400,theta_zone,sphere11,848,380,0.4481132075471698,0.6092331723823415,0.6578852431100293,1.0
400,theta_zone,outer90,0,0,nan,nan,nan,nan
400,theta_zone,fallback,0,0,nan,nan,nan,nan
400,c_bin,c_0_0p05,200,0,0.0,0.09222383759766255,0.10107464590639287,1.0
400,c_bin,c_0p05_0p10,160,0,0.0,0.1745222158891964,0.18461088377252094,1.0
400,c_bin,c_0p10_0p30,228,152,0.6666666666666666,0.39058574299468324,0.3993951345740278,0.8597695099982039
400,c_bin,c_0p30_0p70,152,152,1.0,0.6588412884562933,0.6600097972159343,0.46514531586594643
400,c_bin,c_0p70_0p90,76,76,1.0,0.44037778686809786,0.4403777886528276,0.6497268525393458
400,c_bin,c_0p90_0p95,16,0,0.0,0.23276417504771987,0.2327641750477207,1.0
400,c_bin,c_0p95_1,16,0,0.0,0.14923131649231386,0.14923131649231425,1.0
400,tangent_bin,t_0_0p005,0,0,nan,nan,nan,nan
400,tangent_bin,t_0p005_0p01,44,0,0.0,0.04360778671061434,0.043607793446970626,1.0
400,tangent_bin,t_0p01_0p025,224,0,0.0,0.10311219090605829,0.10641865676868048,1.0
400,tangent_bin,t_0p025_0p05,168,0,0.0,0.20510952093385043,0.23276417490892842,1.0
400,tangent_bin,t_0p05_0p10,284,252,0.8873239436619719,0.42295889936851455,0.42565715177547003,0.7677238176449908
400,tangent_bin,t_0p10_inf,128,128,1.0,0.6600097883239496,0.6600097973154994,0.45688039725287444
400,normal_agreement_bin,normal_0_0p5,0,0,nan,nan,nan,nan
400,normal_agreement_bin,normal_0p5_0p9,0,0,nan,nan,nan,nan
400,normal_agreement_bin,normal_0p9_0p99,220,100,0.45454545454545453,0.6111451606386025,0.6125975152437834,1.0
400,normal_agreement_bin,normal_0p99_1p01,628,280,0.445859872611465,0.547189158343109,0.6600097883239497,1.0
400,c_x_tangent:c_0_0p05,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0_0p05,t_0p005_0p01,40,0,0.0,0.039183920341457595,0.0391839289972964,1.0
400,c_x_tangent:c_0_0p05,t_0p01_0p025,160,0,0.0,0.09222383853170867,0.10107465258897444,1.0
400,c_x_tangent:c_0_0p05,t_0p025_0p05,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0_0p05,t_0p05_0p10,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0_0p05,t_0p10_inf,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p05_0p10,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p05_0p10,t_0p005_0p01,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p05_0p10,t_0p01_0p025,56,0,0.0,0.10641865676868031,0.10641866577297267,1.0
400,c_x_tangent:c_0p05_0p10,t_0p025_0p05,104,0,0.0,0.18461087696562897,0.18461088800240422,1.0
400,c_x_tangent:c_0p05_0p10,t_0p05_0p10,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p05_0p10,t_0p10_inf,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p10_0p30,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p10_0p30,t_0p005_0p01,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p10_0p30,t_0p01_0p025,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p10_0p30,t_0p025_0p05,44,0,0.0,0.20510951981904624,0.2051095209338504,1.0
400,c_x_tangent:c_0p10_0p30,t_0p05_0p10,184,152,0.8260869565217391,0.39058574653635003,0.39939513469799526,0.7861041003992649
400,c_x_tangent:c_0p10_0p30,t_0p10_inf,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p30_0p70,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p30_0p70,t_0p005_0p01,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p30_0p70,t_0p01_0p025,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p30_0p70,t_0p025_0p05,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p30_0p70,t_0p05_0p10,32,32,1.0,0.3986335068691912,0.3986335078497257,0.6495651542985852
400,c_x_tangent:c_0p30_0p70,t_0p10_inf,120,120,1.0,0.660009788719442,0.6600097973486877,0.44804720309757606
400,c_x_tangent:c_0p70_0p90,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p70_0p90,t_0p005_0p01,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p70_0p90,t_0p01_0p025,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p70_0p90,t_0p025_0p05,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p70_0p90,t_0p05_0p10,68,68,1.0,0.4256571516022941,0.42565715389478387,0.6497268552147513
400,c_x_tangent:c_0p70_0p90,t_0p10_inf,8,8,1.0,0.44037778865282795,0.44037778865282823,0.5676943917685575
400,c_x_tangent:c_0p90_0p95,t_0_0p005,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p90_0p95,t_0p005_0p01,0,0,nan,nan,nan,nan
400,c_x_tangent:c_0p90_0p95,t_0p01_0p025,0,0,nan,nan,nan,nan
