case,status,phase_equation_mode,phase_source_scale,phase_bound_mode,pressure_model,mass_drift,mass_correction_delta,c_min,c_max,u_max,phase_source_sum_abs_max,phase_source_first_max,nonfinite_count
book_mode2_pressure2_bulk_2,pass,2,,2,2,5.684341886080802e-14,0.18684613401035222,-4.207636165485737e-19,1.0000000000000002,0.0007830401990798061,2.992397996059992e-17,0.24874731987357301,0
source_mode0_masscorr_2,pass,0,,2,2,5.684341886080802e-14,0.0,0.0067384773467479885,0.8939169808634191,0.0005363528654643618,1.2902005852577503e-17,0.08330896392593333,0
source_mode1_nocorr_2,pass,1,,0,2,5.684341886080802e-14,0.0,0.006738477346747992,0.8939169808634191,0.0005363528654643618,1.2902005852577503e-17,0.08330896392593333,0
source_mode2_scale0p3333333333333333_masscorr_2,pass,2,0.3333333333333333,2,2,5.684341886080802e-14,0.0,0.006738477346747993,0.8939169808634191,0.0005363528654643618,1.105517210903858e-17,0.08330896392593332,0
source_mode2_scale1p0_masscorr_2,pass,2,1.0,2,2,5.684341886080802e-14,0.18684613401035222,-4.207636165485737e-19,1.0000000000000002,0.0007830401990798061,2.992397996059992e-17,0.24874731987357301,0
