case,rc,solver_status,gate_status,density_ratio,mass_drift,mass_correction_delta,c_min,c_max,u_max,spurious_u_rms_interface,laplace_delta_p,laplace_delta_p_target,laplace_delta_p_relative_error,nonfinite_count
ratio0010_bulk_1000,RC=0,pass,pass,10.0,6.184563972055912e-11,0.0,3.169800931422398e-07,0.9959124837669511,7.858821545970752e-05,4.150598962656768e-05,0.0005355377782870763,0.0005126294465914931,0.044687896584759614,0
ratio0050_bulk_1000,RC=0,pass,pass,50.0,6.184563972055912e-11,0.0,3.169800931422398e-07,0.9959124837669511,7.858821545970752e-05,4.150598962656768e-05,0.0005355377782870763,0.0005126294465914931,0.044687896584759614,0
ratio0200_bulk_1000,RC=0,pass,pass,200.0,6.184563972055912e-11,0.0,3.169800931422398e-07,0.9959124837669511,7.858821545970752e-05,4.150598962656768e-05,0.0005355377782870763,0.0005126294465914931,0.044687896584759614,0
ratio1000_bulk_1000,RC=0,pass,pass,1000.0,6.184563972055912e-11,0.0,3.169800931422398e-07,0.9959124837669511,7.858821545970752e-05,4.150598962656768e-05,0.0005355377782870763,0.0005126294465914931,0.044687896584759614,0
