classification,run_dir,raw_file_count,bytes,human,max_file_bytes,max_file_path,examples,approval_status
REVIEW_RAW_FIELDS,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_diag_20260615,30,2492077500,2.32 GiB,166136294,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_diag_20260615/diag_wall_t150/output/case_VTK_P00_00000000.vti,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_diag_20260615/diag_wall_t150/output/case_VTK_P00_00000000.vti | /home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_diag_20260615/diag_wall_t150/output/case_VTK_P00_00001000.vti | /home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_diag_20260615/diag_wall_t150/output/case_VTK_P00_00002000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2b_t90_coeff0p02,6,2079193104,1.94 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2b_t90_coeff0p02/diag_wall_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2b_t90_coeff0p02/diag_wall_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2b_t90_coeff0p02/diag_wall_t90/output/case_VTK_P00_00002000.vti | /mnt/usb1t/RUNS/runs/stage15C2b_t90_coeff0p02/diag_wall_t90/output/case_VTK_P00_00004000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2c_t90_coeff0p2,6,2079193104,1.94 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2c_t90_coeff0p2/diag_wall_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2c_t90_coeff0p2/diag_wall_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2c_t90_coeff0p2/diag_wall_t90/output/case_VTK_P00_00002000.vti | /mnt/usb1t/RUNS/runs/stage15C2c_t90_coeff0p2/diag_wall_t90/output/case_VTK_P00_00004000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2d_t90_coeff2,6,2079193104,1.94 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2d_t90_coeff2/diag_wall_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2d_t90_coeff2/diag_wall_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2d_t90_coeff2/diag_wall_t90/output/case_VTK_P00_00002000.vti | /mnt/usb1t/RUNS/runs/stage15C2d_t90_coeff2/diag_wall_t90/output/case_VTK_P00_00004000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage15C2f0_t90_cap0p2,6,2079193104,1.94 GiB,693054618,/mnt/usb1t/RUNS/runs/stage15C2f0_t90_cap0p2/diag_wall_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage15C2f0_t90_cap0p2/diag_wall_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage15C2f0_t90_cap0p2/diag_wall_t90/output/case_VTK_P00_00002000.vti | /mnt/usb1t/RUNS/runs/stage15C2f0_t90_cap0p2/diag_wall_t90/output/case_VTK_P00_00004000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage17_diag_nan_20260620,4,1663346016,1.55 GiB,831663258,/mnt/usb1t/RUNS/runs/stage17_diag_nan_20260620/cyl_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage17_diag_nan_20260620/cyl_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage17_diag_nan_20260620/cyl_t90/output/case_VTK_P00_00000250.vti | /mnt/usb1t/RUNS/runs/stage17_diag_nan_20260620/cyl_t90/output/case_VTK_P00_00000000.pvti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage17_diag_write0_20260620,2,831673008,793.15 MiB,831663258,/mnt/usb1t/RUNS/runs/stage17_diag_write0_20260620/cyl_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage17_diag_write0_20260620/cyl_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage17_diag_write0_20260620/cyl_t90/output/case_VTK_P00_00000000.pvti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage17_cyl_oldbc_20260620,10,619329350,590.64 MiB,123864539,/mnt/usb1t/RUNS/runs/stage17_cyl_oldbc_20260620/cyl_t120_oldbc/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage17_cyl_oldbc_20260620/cyl_t120_oldbc/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage17_cyl_oldbc_20260620/cyl_t120_oldbc/output/case_VTK_P00_00010000.vti | /mnt/usb1t/RUNS/runs/stage17_cyl_oldbc_20260620/cyl_t60_oldbc/output/case_VTK_P00_00000000.vti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/mnt/usb1t/RUNS/runs/stage17_cyl_smoke_20260620,4,247731740,236.26 MiB,123864539,/mnt/usb1t/RUNS/runs/stage17_cyl_smoke_20260620/cyl_t90/output/case_VTK_P00_00000000.vti,/mnt/usb1t/RUNS/runs/stage17_cyl_smoke_20260620/cyl_t90/output/case_VTK_P00_00000000.vti | /mnt/usb1t/RUNS/runs/stage17_cyl_smoke_20260620/cyl_t90/output/case_VTK_P00_00002000.vti | /mnt/usb1t/RUNS/runs/stage17_cyl_smoke_20260620/cyl_t90/output/case_VTK_P00_00000000.pvti,NEEDS_USER_APPROVAL
REVIEW_RAW_FIELDS,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_t30_nanprobe_20260615,2,166138500,158.44 MiB,166136294,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_t30_nanprobe_20260615/diag_wall_t30/output/case_VTK_P00_00000000.vti,/home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_t30_nanprobe_20260615/diag_wall_t30/output/case_VTK_P00_00000000.vti | /home/yuan/data_sdb/RUNS/runs/stage13_flat_wall_t30_nanprobe_20260615/diag_wall_t30/output/case_VTK_P00_00000000.pvti,NEEDS_USER_APPROVAL
