angle_hi_deg,angle_lo_deg,cell_count,grad_mag_mean,mu_max_abs,mu_mean,mu_std,phase_mean
-170.0,-180.0,0,,,,,
-160.0,-170.0,0,,,,,
-150.0,-160.0,0,,,,,
-140.0,-150.0,0,,,,,
-130.0,-140.0,0,,,,,
-120.0,-130.0,0,,,,,
-110.0,-120.0,0,,,,,
-100.0,-110.0,0,,,,,
-90.0,-100.0,0,,,,,
-80.0,-90.0,2,0.06935143722628102,1.5645532506428702e-05,1.56455325064287e-05,2.395770963567772e-21,0.05159099541030371
-70.0,-80.0,228,0.20419728563411305,0.0001884717052989351,4.043151973323267e-05,5.79717987324376e-05,0.29013808788714546
-60.0,-70.0,260,0.2353200877605527,0.00034483372708747596,5.009038985432427e-05,8.00709339195985e-05,0.5749950361734164
-50.0,-60.0,186,0.23456883550655377,0.00034648514731379376,4.5144919724277884e-05,8.293611534466037e-05,0.5327728889155379
-40.0,-50.0,130,0.2422872655848574,0.000304726147367432,5.194334150304377e-05,8.72645847722205e-05,0.5001882278692249
-30.0,-40.0,136,0.23696100529478212,0.0003275583257897136,3.9328858076354823e-05,7.66359153483437e-05,0.5005673381692828
-20.0,-30.0,102,0.24114044943507895,0.0003038299496219315,3.652711960427205e-05,6.274473058262334e-05,0.4907225916156902
-10.0,-20.0,110,0.24040990192780498,0.0003289519421617948,3.5718061765122665e-05,6.989225245681189e-05,0.4861814415230912
0.0,-10.0,116,0.2442044058452488,0.00018779722542516502,3.184308527572068e-05,5.379657315546473e-05,0.500231971625356
10.0,0.0,116,0.2442044058452488,0.00018779722542516488,3.184308527572068e-05,5.379657315546473e-05,0.5002319716253562
20.0,10.0,110,0.24040990192780498,0.0003289519421617948,3.5718061765122665e-05,6.989225245681187e-05,0.4861814415230912
30.0,20.0,102,0.24114044943507892,0.00030382994962193147,3.652711960427204e-05,6.274473058262334e-05,0.49072259161569015
40.0,30.0,136,0.23696100529478212,0.0003275583257897136,3.932885807635483e-05,7.66359153483437e-05,0.5005673381692828
50.0,40.0,130,0.24228726558485744,0.0003047261473674321,5.1943341503043774e-05,8.72645847722205e-05,0.5001882278692249
60.0,50.0,186,0.23456883550655377,0.00034648514731379376,4.5144919724277884e-05,8.293611534466037e-05,0.5327728889155378
70.0,60.0,260,0.2353200877605527,0.00034483372708747607,5.009038985432427e-05,8.00709339195985e-05,0.5749950361734164
80.0,70.0,228,0.20419728563411305,0.0001884717052989351,4.043151973323267e-05,5.7971798732437596e-05,0.2901380878871454
90.0,80.0,2,0.06935143722628102,1.5645532506428706e-05,1.5645532506428706e-05,0.0,0.05159099541030371
100.0,90.0,0,,,,,
110.0,100.0,0,,,,,
120.0,110.0,0,,,,,
130.0,120.0,0,,,,,
140.0,130.0,0,,,,,
150.0,140.0,0,,,,,
160.0,150.0,0,,,,,
170.0,160.0,0,,,,,
180.0,170.0,0,,,,,
