cell_count,coord_mode,grad_mag_count,grad_mag_max,grad_mag_max_abs,grad_mag_mean,grad_mag_min,grad_mag_nonfinite,grad_mag_p95_abs,grad_mag_std,laplace_count,laplace_max,laplace_max_abs,laplace_mean,laplace_min,laplace_nonfinite,laplace_p95_abs,laplace_std,mu_count,mu_deviation_from_region_mean_count,mu_deviation_from_region_mean_max,mu_deviation_from_region_mean_max_abs,mu_deviation_from_region_mean_mean,mu_deviation_from_region_mean_min,mu_deviation_from_region_mean_nonfinite,mu_deviation_from_region_mean_p95_abs,mu_deviation_from_region_mean_std,mu_max,mu_max_abs,mu_mean,mu_min,mu_nonfinite,mu_p95_abs,mu_std,phase_count,phase_max,phase_max_abs,phase_mean,phase_min,phase_nonfinite,phase_p95_abs,phase_std,region
763392,cell_center,763392,0.6009252125730922,0.6009252125730922,0.018340614658485185,0.0,0,0.1393490643050398,0.07327055226083676,763392,1.0,1.6666666666446577,-0.004075214246961024,-1.6666666666446577,0,0.0960423382560984,0.12633561602310858,763392,763392,0.000373968480988797,0.000373968480988797,-7.271644349332692e-23,-0.00022603151900196087,0,1.506464573206537e-06,2.7556047762360417e-05,0.00037499999999075783,0.00037499999999075783,1.0315190019608418e-06,-0.00022500000000000002,0,1.7913693788507027e-06,2.7556047762360417e-05,763392,1.0,1.0,0.1744552155343798,0.0,0,0.9999999982287173,0.36802092253330343,fluid
38520,cell_center,38520,0.5636939378295674,0.5636939378295674,0.20330674604397275,0.06552906736577319,0,0.29309156216557747,0.07908581327662573,38520,0.13934194037376768,1.6231801865731361,-0.028063473522801977,-1.6231801865731361,0,0.1606356851779169,0.18066700344056838,38520,38520,0.000338761053847345,0.000338761053847345,-9.00687163020149e-22,-1.1085055511867201e-05,0,1.1045847321350775e-05,2.8415282943682117e-05,0.00034648514731379376,0.00034648514731379376,7.724093466448725e-06,-3.3609620454184757e-06,0,1.4812649859913847e-05,2.8415282943682117e-05,38520,0.9498508008944095,0.9498508008944095,0.4825790699196389,0.05000180842184804,0,0.9322863153054171,0.31111739656463355,interface
38400,cell_center,38400,0.6009252125730922,0.6009252125730922,0.04777854241857514,0.0,0,0.42491829174935286,0.13105351014311067,38400,0.1392438733489917,1.6666666666446577,-0.08087034921579112,-1.6666666666446577,0,0.8333591922314694,0.29980030737181235,38400,38400,0.00035664704371231727,0.00035664704371231727,-2.168404344971009e-21,-2.1517666273983397e-05,0,0.00016914631463978367,6.62464983305306e-05,0.00037499999999075783,0.00037499999999075783,1.8352956278440565e-05,-3.1647099955428324e-06,0,0.00018749927091822423,6.62464983305306e-05,38400,0.9999999999999043,0.9999999999999043,0.22218213598652084,0.0,0,0.9999999966248172,0.4017481870914944,near_wall
2540,cell_center,2540,0.5636939378295674,0.5636939378295674,0.23196998236189004,0.06552906736577319,0,0.4497898866306997,0.10654996995426456,2540,0.1392438733489917,1.6231801865731361,-0.18197560755102538,-1.6231801865731361,0,0.9891763741682466,0.3798634836968892,2540,2540,0.00030387093945978376,0.00030387093945978376,-1.3659239968321316e-21,-4.5778917849552826e-05,0,0.00014977700908825665,7.333138378488994e-05,0.00034648514731379376,0.00034648514731379376,4.2614207854009993e-05,-3.1647099955428324e-06,0,0.00019239121694226665,7.333138378488994e-05,2540,0.9484695646937391,0.9484695646937391,0.47993018268296966,0.05022998720509775,0,0.9293870610977603,0.30788021022621115,near_interface
556,cell_center,556,0.5123117135307814,0.5123117135307814,0.3097438047022294,0.17214772589924376,0,0.4488710427904758,0.07363770263096922,556,0.1380643179557127,1.3712535617240038,-0.4233835554729958,-1.3712535617240038,0,1.0854592377550767,0.3779477015901178,556,556,0.0001736798114341739,0.0001736798114341739,-1.4040028132905813e-20,-9.882805689204954e-05,0,0.00011570951192613267,6.89681663100176e-05,0.0002701512171672508,0.0002701512171672508,9.647140573307692e-05,-2.3566511589726207e-06,0,0.0002121809176592096,6.89681663100176e-05,556,0.7953511510400257,0.7953511510400257,0.4926642079504398,0.20083984917699066,0,0.769447973743209,0.18556673738684346,contact_core
105016,cell_center,105016,0.6009252125730922,0.6009252125730922,0.02717074375780756,0.0,0,0.41783796381708477,0.11093470451637528,105016,1.0732155904709846e-15,1.6666666666446577,-0.055928622067544745,-1.6666666666446577,0,0.8333330094281282,0.23831640037798216,105016,105016,0.000362621809904113,0.000362621809904113,-3.964478119852534e-22,-1.2378190086645325e-05,0,0.00017225089855935768,5.361464635718712e-05,0.00037499999999075783,0.00037499999999075783,1.2378190086644817e-05,-5.079270337660086e-19,0,0.0001846290886460025,5.361464635718712e-05,105016,1.0,1.0,0.9994776377832829,0.9900041807847193,0,0.9999999999999998,0.0015497280160511203,bulk_liquid
598140,cell_center,598140,0.5,0.5,0.0037067152032785123,0.0,0,0.0008199710148498214,0.040571210705824666,598140,1.0,1.0,0.007191775440250089,-0.006286579001225391,0,0.0008967528983941761,0.0810783740325982,598140,598140,6.831302187624146e-06,0.00022343379207408475,1.392094273027832e-22,-0.00022343379207408475,0,1.5662079259152737e-06,1.8244097077191548e-05,5.265094261708873e-06,0.00022500000000000002,-1.5662079259152737e-06,-0.00022500000000000002,0,2.417148213412273e-08,1.8244097077191548e-05,598140,0.009985629163760723,0.009985629163760723,0.0001317947010868342,0.0,0,0.000247208360435236,0.0007952699096955016,bulk_gas
765216,node,765216,0.6009252125530073,0.6009252125530073,0.018185780074697833,0.0,0,0.13803688705483774,0.07310450806438723,765216,1.0,1.666666666564473,-0.004005759087990758,-1.666666666564473,0,0.09427886528544932,0.12604993414474494,765216,765216,0.00037398703129320576,0.00037398703129320576,5.440733521442753e-23,-0.0002260129686621464,0,1.4862365220909698e-06,2.7496691516404318e-05,0.00037499999995535213,0.00037499999995535213,1.0129686621463606e-06,-0.00022500000000000002,0,1.7707840011227104e-06,2.7496691516404318e-05,765216,1.0,1.0,0.1718397540089188,0.0,0,0.9999999978841931,0.3658576500521686,fluid
38106,node,38106,0.556049464297999,0.556049464297999,0.20338713220177077,0.05116826693538996,0,0.29315987223024614,0.079492005045,38106,0.13932496781728865,1.6165272742992012,-0.02853124187917635,-1.6165272742992012,0,0.16052210736331035,0.1827858934578512,38106,38106,0.0003362033713841089,0.0003362033713841089,5.974976544952394e-23,-1.1147504621869217e-05,0,1.1138665927252736e-05,2.8976513842897084e-05,0.00034402654919272514,0.00034402654919272514,7.823177808616266e-06,-3.3243268132529506e-06,0,1.824218905465507e-05,2.8976513842897084e-05,38106,0.9499983650147228,0.9499983650147228,0.4823217591853637,0.0500047727439884,0,0.9320297551466001,0.3113462536918871,interface
39168,node,39168,0.6009252125530073,0.6009252125530073,0.04686909720381086,0.0,0,0.4249182212794744,0.12949102654455824,39168,0.13932237969687164,1.666666666564473,-0.07815800210994757,-1.666666666564473,0,0.8333348312899711,0.2938283612616576,39168,39168,0.00035730460586851727,0.00035730460586851727,5.669030967244468e-21,-2.0813660586035294e-05,0,0.00016980273048913602,6.487579266014101e-05,0.00037499999995535213,0.00037499999995535213,1.769539408683486e-05,-3.1182664992004334e-06,0,0.00018749812457597088,6.487579266014101e-05,39168,0.999999999999952,0.999999999999952,0.22297393177820823,0.0,0,0.9999999962115301,0.4023124991620234,near_wall
