angle_hi_deg,angle_lo_deg,cell_count,grad_mag_mean,mu_max_abs,mu_mean,mu_std,phase_mean
-170.0,-180.0,0,,,,,
-160.0,-170.0,0,,,,,
-150.0,-160.0,0,,,,,
-140.0,-150.0,0,,,,,
-130.0,-140.0,0,,,,,
-120.0,-130.0,0,,,,,
-110.0,-120.0,0,,,,,
-100.0,-110.0,0,,,,,
-90.0,-100.0,0,,,,,
-80.0,-90.0,0,,,,,
-70.0,-80.0,210,0.18643262098597935,0.00012653354218540333,2.7306335767323022e-05,3.6692738763279806e-05,0.26278679858698145
-60.0,-70.0,322,0.23880302971996484,0.0003440265491927251,5.771494602887177e-05,9.355981807106127e-05,0.5802634815889947
-50.0,-60.0,186,0.23287475769968607,0.0003396044116183092,4.2805655678412045e-05,7.91803624750307e-05,0.5278542130624173
-40.0,-50.0,128,0.2359576396348913,0.0003071590084628368,4.13018628629609e-05,7.742217473728831e-05,0.5112339717319976
-30.0,-40.0,138,0.23794375769193865,0.00032180193594246234,4.0125745087515516e-05,7.622275188803373e-05,0.5077254939485303
-20.0,-30.0,128,0.23925857565026368,0.0003156232188413557,4.152409040465411e-05,7.446156817535086e-05,0.4897510742206326
-10.0,-20.0,110,0.2330864486145718,0.00018616861234369245,2.6338502051337827e-05,4.6876501444736296e-05,0.4977523246472024
0.0,-10.0,90,0.24836878324842435,0.00019446558646303187,3.491706032678281e-05,5.8777391754957606e-05,0.5030712978114977
10.0,0.0,130,0.24445496156441582,0.0001949630473874623,3.261709780384108e-05,5.7443947601995974e-05,0.501240473374365
20.0,10.0,110,0.2330864486145718,0.00018616861234369255,2.633850205133781e-05,4.68765014447363e-05,0.4977523246472024
30.0,20.0,128,0.23925857565026365,0.0003156232188413557,4.1524090404654104e-05,7.446156817535086e-05,0.4897510742206326
40.0,30.0,138,0.2379437576919387,0.00032180193594246234,4.0125745087515516e-05,7.622275188803372e-05,0.5077254939485303
50.0,40.0,128,0.2359576396348913,0.0003071590084628368,4.130186286296091e-05,7.742217473728831e-05,0.5112339717319976
60.0,50.0,186,0.23287475769968607,0.00033960441161830934,4.2805655678412045e-05,7.91803624750307e-05,0.5278542130624173
70.0,60.0,322,0.23880302971996484,0.00034402654919272514,5.771494602887177e-05,9.355981807106124e-05,0.5802634815889947
80.0,70.0,210,0.18643262098597935,0.00012653354218540328,2.7306335767323012e-05,3.66927387632798e-05,0.2627867985869815
90.0,80.0,0,,,,,
100.0,90.0,0,,,,,
110.0,100.0,0,,,,,
120.0,110.0,0,,,,,
130.0,120.0,0,,,,,
140.0,130.0,0,,,,,
150.0,140.0,0,,,,,
160.0,150.0,0,,,,,
170.0,160.0,0,,,,,
180.0,170.0,0,,,,,
