cell_count,grad_mag_max_abs,grad_mag_mean,grad_mag_std,mu_max_abs,mu_mean,mu_std,phase_max_abs,phase_mean,phase_std,sd_hi,sd_lo
3840,0.6009252125730922,0.13550258489834038,0.23479476641531893,0.00037499999999075783,7.705404264544696e-05,0.0001383032263754103,0.9999999999892746,0.22570576488634314,0.40079813912362744,0.5,0.0
8832,0.5892555440992557,0.09620572345557289,0.18270738386164156,0.0003374999134898576,4.246522744419719e-05,8.78700342154653e-05,0.9999999999986269,0.21611812163020894,0.3983484871937332,1.0,0.5
3840,0.30563748766869814,0.038599963055834595,0.07027885866372734,3.7701481585340566e-05,7.838995747809956e-06,1.4632751899995315e-05,0.9999999999957196,0.24299258480025207,0.4129671334765366,1.5,1.0
8832,0.29385044500183655,0.013968711500587493,0.051302606237975765,9.21695786513728e-06,1.489940583841591e-07,1.0793709042618752e-06,0.9999999999996376,0.2155047881154316,0.3981774421263853,2.0,1.5
4608,0.2932965800679585,0.018315177660948336,0.057740658240452374,9.093312025469728e-06,2.617154963211436e-07,1.3497926068820891e-06,0.9999999999987925,0.23138144024692572,0.40508954489634463,2.5,2.0
8448,0.2938833986892778,0.012865210290577056,0.049190983927239654,9.042693622044267e-06,1.407983361937415e-07,1.0377029764607843e-06,0.9999999999999043,0.21942390430333153,0.4020094296523109,3.0,2.5
4992,0.2936755412947807,0.017169898460219706,0.055371883346694295,9.193800036600805e-06,2.0972829870216793e-07,1.245233099442692e-06,0.9999999999996565,0.2324110690637353,0.40693561529979116,3.5,3.0
8448,0.29365622898895155,0.013215456695450952,0.049826874928349495,9.286347597309608e-06,1.6481080776581153e-07,1.0857393695825133e-06,0.9999999999999747,0.2157534342639097,0.39909236925233627,4.0,3.5
6912,0.2940506457081531,0.016981357569144085,0.055726160679575885,9.082616553948425e-06,1.7685793100625846e-07,1.1667218600803937e-06,0.9999999999999014,0.23693859366630365,0.4099606832353123,4.5,4.0
9600,0.29399359688755183,0.013178663698443364,0.05006088009619571,9.20660020601692e-06,1.778188558027339e-07,1.1374432721432114e-06,0.9999999999999933,0.22020122105701592,0.4022161822210749,5.0,4.5
5376,0.29414654411370744,0.015671040554734516,0.05350646859255206,9.27170776606623e-06,1.575030606759231e-07,1.1223111820545402e-06,0.9999999999999714,0.23336317201588536,0.40887273331576396,5.5,5.0
9216,0.29419034752703455,0.012572103819068446,0.04828328615755341,9.102246495726556e-06,1.652556579756012e-07,1.0941057486316858e-06,0.9999999999999982,0.21643376043595428,0.4002325170821309,6.0,5.5
5760,0.2940380165340656,0.015322170504778822,0.05359409609013754,9.145651228597522e-06,1.7879587791776145e-07,1.1433600908569676e-06,0.9999999999999916,0.23426566280344382,0.40968662716742,6.5,6.0
9984,0.29414867469557776,0.012297891991923448,0.04764239729855482,9.328365475222829e-06,1.4007890904207232e-07,1.0255137250026708e-06,0.9999999999999996,0.2195594017451517,0.4027020720748597,7.0,6.5
5376,0.2941903475270345,0.015234558670599313,0.053242998484007424,9.078618589297251e-06,1.9827151360515072e-07,1.2190591121447044e-06,0.9999999999999974,0.22662134043261195,0.40474278103616196,7.5,7.0
11904,0.2941779787672828,0.01340558814510738,0.050254824300994816,9.193124125023992e-06,1.4696624665519302e-07,1.0610850312906489e-06,0.9999999999999999,0.22185679241712125,0.40318236015246556,8.0,7.5
6144,0.2939526057620035,0.01446566325902654,0.051218771087552795,9.350781801440315e-06,1.7545562058702954e-07,1.1181540941963641e-06,0.9999999999999992,0.23230282107965153,0.40933603788738065,8.5,8.0
10368,0.29414197939160514,0.012211004639183936,0.04833942658175453,9.128660493329932e-06,1.5639401725929124e-07,1.0753745489175113e-06,1.0,0.2142999924502794,0.3989536305099005,9.0,8.5
7680,0.2939605454103429,0.01342783854404341,0.04951408631162534,9.246489427699753e-06,1.5287664506988152e-07,1.0778213753991033e-06,0.9999999999999998,0.22171889481290574,0.40316559626394083,9.5,9.0
9984,0.2939780991455888,0.012233992827238157,0.048074064226556336,9.289703891462934e-06,1.554362703526473e-07,1.0715712059992876e-06,1.0,0.22281418524104607,0.40494222009015224,10.0,9.5
8064,0.2938187745534405,0.013144936173125244,0.04935655620668849,9.060746814929113e-06,1.4958512500548557e-07,1.0452309308402094e-06,1.0,0.2200908043232203,0.402250602728159,10.5,10.0
10752,0.29348463664664337,0.010959355115500427,0.045394876878705026,9.416437294200673e-06,1.261036953575279e-07,9.860818457338273e-07,1.0,0.21207463341559527,0.3986110803209195,11.0,10.5
6912,0.2940986212518811,0.014235402098180762,0.05143867748283309,9.08284584296272e-06,1.7940606196064333e-07,1.1681871377507434e-06,1.0,0.22730830163064544,0.4061528139534875,11.5,11.0
12672,0.2939935968875518,0.012030605585744869,0.04809130914320558,9.422379207026903e-06,1.354792155830011e-07,1.0226944305213468e-06,1.0,0.21563879646801934,0.40007523440042514,12.0,11.5
