cell_count,grad_mag_max_abs,grad_mag_mean,grad_mag_std,mu_max_abs,mu_mean,mu_std,phase_max_abs,phase_mean,phase_std,sd_hi,sd_lo
6528,0.6009252125530073,0.11900105807794144,0.22035666583893404,0.00037499999995535213,6.267652982073127e-05,0.00012187245975858498,0.999999999997377,0.20830699270607483,0.3938119377757698,0.5,0.0
5376,0.5892553835877798,0.10460152264351333,0.18349727317866293,0.00033749978612593627,4.60714192525815e-05,8.832676478529586e-05,0.9999999999933781,0.2375466330789338,0.40890345563057146,1.0,0.5
8448,0.3057210929832671,0.023890490189675984,0.05966083364833472,3.76950813733191e-05,3.870570615709858e-06,1.0921646597544251e-05,0.9999999999993086,0.22062652515108017,0.4020846457990633,1.5,1.0
5376,0.2939098379809783,0.018396853638430993,0.057529069006442266,9.188353024135692e-06,2.495670914804129e-07,1.3278030580850534e-06,0.9999999999981588,0.23197379881193392,0.4054613894279265,2.0,1.5
8064,0.29412301601187346,0.01391960799811794,0.051592841998428285,9.222080153024565e-06,1.458550535528291e-07,1.0762884480549263e-06,0.9999999999998177,0.21601471284135426,0.39854315870465057,2.5,2.0
4992,0.29382637080219215,0.016313015918232362,0.053428831100535465,8.989267641796866e-06,2.0405460671560828e-07,1.1924759940825482e-06,0.9999999999994849,0.2352394323835705,0.4096513282403066,3.0,2.5
8832,0.2940540919010972,0.013784313928046727,0.0515405687647778,9.208650105154497e-06,1.6982065978943233e-07,1.134516882439616e-06,0.999999999999952,0.21989999956875755,0.4013813351815169,3.5,3.0
4608,0.2931374180563215,0.016037312406268264,0.05313798569707424,9.255676773201945e-06,1.6518026439684426e-07,1.1071666809382175e-06,0.9999999999998548,0.22820912655605913,0.4052582776373054,4.0,3.5
9216,0.2941262658966989,0.013404492395556519,0.05037340936842509,9.10456358840337e-06,1.8230162006070165e-07,1.13900719344223e-06,0.9999999999999873,0.2210091980968489,0.40257708653365015,4.5,4.0
5376,0.29395409628804,0.015531925530366983,0.05342787423113903,9.099907139896188e-06,1.5688088373320595e-07,1.1278537962590105e-06,0.9999999999999587,0.23338767099013283,0.4089962617226774,5.0,4.5
10752,0.29385450732822704,0.01308389070240604,0.049046524481556365,9.316311031494577e-06,1.6433169386656025e-07,1.1008682237788192e-06,0.9999999999999967,0.21829502724009892,0.4010884564531981,5.5,5.0
5376,0.2941230160118734,0.015652168431410967,0.053571811878767445,9.087642589629212e-06,1.8539058031908865e-07,1.1393684698977132e-06,0.9999999999999798,0.23093550415414596,0.4072688516133786,6.0,5.5
10368,0.29355031725109065,0.01297443637505786,0.04938987779903937,9.19191036736877e-06,1.4431421699014323e-07,1.0546984211837883e-06,0.9999999999999991,0.22176462312020045,0.40354201416883195,6.5,6.0
6528,0.29386840567242783,0.016004098549772503,0.05487116265098067,9.308856476666962e-06,2.110182046219191e-07,1.24488242623991e-06,0.9999999999999939,0.2290085108149794,0.40556199012771116,7.0,6.5
8832,0.29393363052152355,0.011608576140539135,0.04666424410079028,9.120846302819115e-06,1.240097418133665e-07,9.735082018243611e-07,0.9999999999999998,0.21628519821072975,0.4010122655901332,7.5,7.0
6912,0.29331758594985424,0.015040883657934986,0.05249565514020634,9.187957838206766e-06,2.0233395364072863e-07,1.2206765625054857e-06,0.9999999999999981,0.22899691370799824,0.4065708358129321,8.0,7.5
10752,0.29399657108111166,0.011839427266894933,0.04706315659206863,9.386575960891886e-06,1.357259632366995e-07,9.924911090400046e-07,1.0,0.21905545805737273,0.4027390577816738,8.5,8.0
5376,0.2938883119589259,0.014945336972389402,0.05257958578221311,9.138094293575951e-06,1.734491790459581e-07,1.1507798758330573e-06,0.9999999999999993,0.22274185486998993,0.4023968284722544,9.0,8.5
11136,0.2928364705884259,0.011646188322915805,0.046716085369628575,9.361539277619919e-06,1.4394582660673546e-07,1.0528525842222359e-06,1.0,0.21934002406342568,0.40311859949730694,9.5,9.0
7296,0.2941262658966989,0.015688673443574008,0.054595159704699185,9.064847660614548e-06,1.6972440584772972e-07,1.1345901345984996e-06,0.9999999999999998,0.22795776224154476,0.40513411097915203,10.0,9.5
11904,0.2941481444732638,0.011906100860186435,0.047109844498929285,9.221238714900022e-06,1.5538097050393341e-07,1.075181426781702e-06,1.0,0.21654400246811079,0.40092646539291477,10.5,10.0
6144,0.29384074181366965,0.014519313195667823,0.05229199581605109,9.374864317059796e-06,1.7047252713438342e-07,1.1065228354148423e-06,1.0,0.22351758485126774,0.4032625826822045,11.0,10.5
12288,0.29414814447326376,0.011488634323137228,0.04615070171207988,9.059799743887782e-06,1.3200522243571156e-07,9.875771741083868e-07,1.0,0.2164064379819576,0.4012404646986346,11.5,11.0
7680,0.2938985193200609,0.013600284035330394,0.050159491575926515,9.355457738198593e-06,1.6772539220773533e-07,1.1410989694489022e-06,1.0,0.22167033833534652,0.4029270051293775,12.0,11.5
