case,status,steps,phase_equation_mode,phase_source_scale_mode,phase_source_scale,phase_mobility,lattice_phase_mobility,phase_post_source_factor,phase_effective_post_scale,mass_drift,mass_correction_delta,c_min,c_max,u_max,force_over_rho_max,phase_source_sum_abs_max,phase_source_first_max,nonfinite_count
bulk_mode2_mobilityscale_100,pass,100,2,3,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,6.366462912410498e-12,0.0,2.9587720103204774e-07,0.9961164822307599,7.607633881701021e-05,0.0004032062076312918,1.145144371624943e-17,0.08326405852079123,0
bulk_mode2_mobilityscale_1000,pass,1000,2,3,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,6.52562448522076e-11,0.0,3.143340128859435e-07,0.9959126286635428,6.674801044122051e-05,0.00039354314741216006,1.2531682804194844e-17,0.08330241697496708,0
