M,case,target,theta_end,theta_err_deg,abs_err_deg,drift_deg_per_1k_last4k,RMS_end,mass_drift_pct,maxU_end,footprint_r_traj,liq_vol_traj,clband_path30_traj,clband_pathm30_traj,error
0.1,diag_wall_t150,150,152.2542,2.2542,2.2542,0.2038,0.11677,0.0956,3.61411465139694e-05,10.817;10.296;10.05;10.0;10.0;9.899;9.487,17300;17268;17268;17236;17232;17224;17240,0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0,
0.1,diag_wall_t30,30,30.153,0.153,0.153,-0.0001,0.0639,-0.3637,3.433376227642031e-06,32.016;32.016;32.016;32.202;32.249;32.249;32.311,16772;16688;16680;16716;16732;16716;16772,0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0,
0.1,diag_wall_t90,90,90.3196,0.3196,0.3196,0.0298,0.02356,0.0104,4.819441310546356e-06,20.616;20.616;20.616;20.616;20.616;20.616;20.616,17200;17204;17204;17192;17192;17176;17168,0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0,
