step,group,bin,active_count,limiter_count,limiter_fraction,normal_limiter_count,normal_limiter_fraction,ratio_cap_selected_count,ratio_cap_selected_fraction,abs_cap_selected_count,abs_cap_selected_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50,cap_demand_ratio_p50,cap_demand_ratio_p95,cap_demand_ratio_p99,normal_raw_abs_p50,normal_raw_abs_p95
0,region,none_or_unknown,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,region,sphere_upper,2160,0,0.0,1904,0.8814814814814815,1672,0.774074074074074,488,0.22592592592592592,0.4136082685907265,0.5775868461206123,0.18681545887658454,5.352876723167252,14.089387765781584,22.46813478491711,0.04516725675831619,0.13494237284043664
0,region,sphere_lower90,2688,0,0.0,2096,0.7797619047619048,1664,0.6190476190476191,1024,0.38095238095238093,0.32047612007461956,0.34752854546294826,0.4240127168413878,2.3584198310119886,6.409522401492391,6.950570909258965,0.0726165629423256,0.14706644434833013
0,region,sphere_bottom120,348,0,0.0,0,0.0,348,1.0,0,0.0,0.003342842212773964,0.006048072853896863,1.0,0.023944706176746187,0.32287234046588803,0.5933889745564634,0.015481800270841763,0.020900720489524554
0,region,outer_or_other_wall,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,sphere11,5196,0,0.0,4000,0.7698229407236336,3684,0.7090069284064665,1512,0.2909930715935335,0.3396364658043522,0.5029118575019015,0.30717490620412496,3.255474258484762,9.697841136838164,18.41656221748974,0.05476341861089737,0.14296369099323192
0,theta_zone,outer90,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,theta_zone,fallback,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_bin,c_0_0p05,816,0,0.0,76,0.09313725490196079,816,1.0,0,0.0,0.01979564462000385,0.024877074755387637,1.0,0.09880404674342283,1.4479014137326145,1.8351248319804554,0.019160410997353442,0.027343912275037716
0,c_bin,c_0p05_0p10,564,0,0.0,436,0.7730496453900709,564,1.0,0,0.0,0.0731361180809221,0.09338197454936042,0.5699198556112518,1.7546326736194824,3.3661457463485664,5.401722217442422,0.0412969600375756,0.05345663903924774
0,c_bin,c_0p10_0p30,1004,0,0.0,932,0.9282868525896414,632,0.6294820717131474,372,0.3705179282868526,0.22560905204540135,0.2807809462104102,0.4027793228663802,2.482749096660417,4.7154219690435895,5.644961992715743,0.08832551513966667,0.12373960731242645
0,c_bin,c_0p30_0p70,988,0,0.0,988,1.0,24,0.024291497975708502,964,0.9757085020242915,0.4612484721120338,0.6073815756838,0.1763703392645096,5.669887602247338,9.224969442240676,18.416562217489744,0.13700354327174746,0.15170551512897976
0,c_bin,c_0p70_0p90,820,0,0.0,820,1.0,644,0.7853658536585366,176,0.2146341463414634,0.4140127727902485,0.5029118575019016,0.16204608373375723,6.171084033372917,17.343418468397925,22.468134784917112,0.07356060996965821,0.11822145728185883
0,c_bin,c_0p90_0p95,468,0,0.0,468,1.0,468,1.0,0,0.0,0.17813876270899143,0.23644602402519738,0.15833935851184466,6.31554914329904,13.366884801178006,16.062783424504435,0.030737789814645755,0.044864219376176344
0,c_bin,c_0p95_1,536,0,0.0,280,0.5223880597014925,536,1.0,0,0.0,0.04897049091085223,0.06600735492536289,0.9605740432099179,1.0410441621536366,5.773289371815765,8.052217066550163,0.014364320858373074,0.02128669330616838
0,tangent_bin,t_0_0p005,200,0,0.0,0,0.0,200,1.0,0,0.0,0.006824052178843418,0.007714270588563571,1.0,0.0029012800844063825,0.3417514025459303,0.3721914670125676,0.015780325680183668,0.043154979232391075
0,tangent_bin,t_0p005_0p01,736,0,0.0,0,0.0,736,1.0,0,0.0,0.009464709689625976,0.028563324113475053,1.0,0.11515946012172883,0.7599269359777441,0.7923861706368458,0.01850079770984046,0.034410235159131164
0,tangent_bin,t_0p01_0p02,944,0,0.0,716,0.7584745762711864,944,1.0,0,0.0,0.05663179618697946,0.0621884019006188,0.6127458283800068,1.632000321389293,4.368781691386151,4.692802751544183,0.027176628125057896,0.055931430451043415
0,tangent_bin,t_0p02_0p05,1484,0,0.0,1452,0.9784366576819407,1264,0.8517520215633423,220,0.14824797843665768,0.16610682606959445,0.1942978821464933,0.3130680068618948,3.194194162551828,8.052217066550163,12.025093581200068,0.059222226328540656,0.11553842299857837
0,tangent_bin,t_0p05_0p10,1736,0,0.0,1736,1.0,500,0.2880184331797235,1236,0.7119815668202765,0.36037240710276247,0.42247442944629676,0.18276956213113488,5.471370551747082,13.856709928903241,20.55646693784606,0.12286764059469278,0.14858426452883794
0,tangent_bin,t_0p10_inf,96,0,0.0,96,1.0,40,0.4166666666666667,56,0.5833333333333334,0.6239620462516936,0.6239620462516936,0.09387776148396168,10.65688722045395,23.939240547036928,23.93924054703693,0.10188020248703708,0.1351514077858472
0,normal_raw_abs_bin,normal_raw_abs_0_1e-4,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_1e-4_1e-3,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_raw_abs_bin,normal_raw_abs_1e-3_1e-2,72,0,0.0,0,0.0,72,1.0,0,0.0,0.001354082020264055,0.001354082020264055,1.0,0.03284405635132944,0.27395177430586626,0.2739517743058663,0.008853734734082755,0.00995530736211305
0,normal_raw_abs_bin,normal_raw_abs_1e-2_5e-2,2376,0,0.0,1336,0.5622895622895623,2376,1.0,0,0.0,0.22374639068210073,0.3610195915613207,0.6702537958346182,1.4921191208183076,12.025093581200068,20.87804215214559,0.0247703059599468,0.04572377351348582
0,normal_raw_abs_bin,normal_raw_abs_5e-2_inf,2748,0,0.0,2664,0.9694323144104804,1236,0.4497816593886463,1512,0.5502183406113537,0.3826152207273992,0.5440786481141887,0.2249065102894682,4.446291922421187,8.620179227215528,13.606062499549195,0.10575512485852244,0.14699774554458134
0,cap_source,abs_cap_selected,1512,0,0.0,1488,0.9841269841269841,0,0.0,1512,1.0,0.36037240710276247,0.5171399899265349,0.1996908354959808,5.007742612945602,7.207448142055249,10.342799798530697,0.12951313184711158,0.14960481603540982
0,cap_source,raw_normal_scale_selected,3684,0,0.0,2512,0.6818675352877307,3684,1.0,0,0.0,0.30843420387623127,0.5029118575019015,0.45152736570580626,2.214705189433751,11.76156829574084,20.55646693784606,0.034410235159131164,0.09025736291755983
0,cap_source,target_scale_selected,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,cap_source,tangent_scale_selected,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,cap_source,floor_scale_selected,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,cap_source,none_or_inactive,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,stage8g_mode,mode_0,5196,0,0.0,4000,0.7698229407236336,3684,0.7090069284064665,1512,0.2909930715935335,0.3396364658043522,0.5029118575019015,0.30717490620412496,3.255474258484762,9.697841136838164,18.41656221748974,0.05476341861089737,0.14296369099323192
0,stage8g_mode,mode_1,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,stage8g_mode,mode_2,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,stage8g_mode,mode_3,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,limiter_class,none,1196,0,0.0,0,0.0,1172,0.979933110367893,24,0.020066889632107024,0.016928001564982878,0.04064359286013483,1.0,0.12327639707674176,0.8130874130865264,0.9818746532711932,0.017783936262464994,0.07184134852496184
0,limiter_class,abs_cap_limiter,1488,0,0.0,1488,1.0,0,0.0,1488,1.0,0.36037240710276247,0.5216100739312063,0.19822419882205708,5.044792744490723,7.207448142055249,10.432201478624124,0.12971619723215708,0.14960481603540982
0,limiter_class,ratio_cap_limiter,2512,0,0.0,2512,1.0,2512,1.0,0,0.0,0.33346557495271945,0.5211246021112698,0.2635613890418089,3.794182882936478,13.606062499549195,21.842767795044175,0.046620139473725744,0.09190673410468686
0,limiter_class,secondary_vector_safety,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,limiter_class,inactive_or_fallback,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_agreement_bin,normal_0_0p5,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_agreement_bin,normal_0p5_0p9,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,normal_agreement_bin,normal_0p9_0p99,968,0,0.0,816,0.8429752066115702,632,0.6528925619834711,336,0.34710743801652894,0.32833769169670596,0.4612484721120338,0.25729626861931715,3.8866270545374557,6.933628115697014,10.881572962283773,0.07506114945180407,0.1451064241174346
0,normal_agreement_bin,normal_0p99_1p01,4228,0,0.0,3184,0.7530747398297067,3052,0.7218543046357616,1176,0.2781456953642384,0.340534645599662,0.5029118575019016,0.3352939206526462,2.9824578926259986,10.464382438375353,18.416562217489744,0.05179883916853574,0.14221152469404771
0,c_x_tangent:c_0_0p05,t_0_0p005,168,0,0.0,0,0.0,168,1.0,0,0.0,0.0006275981841547954,0.0007148152120251268,1.0,0.0015589300386352036,0.049782078865739356,0.058092539016633346,0.014939080982154917,0.02460953589308456
0,c_x_tangent:c_0_0p05,t_0p005_0p01,528,0,0.0,0,0.0,528,1.0,0,0.0,0.008714953888400599,0.010869487949604292,1.0,0.10974555080601986,0.7489672718199043,0.7970161368747667,0.019198427852516006,0.02669619451380095
0,c_x_tangent:c_0_0p05,t_0p01_0p02,120,0,0.0,76,0.6333333333333333,120,1.0,0,0.0,0.024877074755387637,0.026356155062506263,0.9113057468629271,1.1001356162155491,1.8351248319804554,1.9082577798217149,0.02538230104638557,0.028791277715682826
0,c_x_tangent:c_0_0p05,t_0p02_0p05,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0_0p05,t_0p05_0p10,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0_0p05,t_0p10_inf,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0_0p005,32,0,0.0,0,0.0,32,1.0,0,0.0,0.007714270588563571,0.007714270588563571,1.0,0.24736420957059022,0.3721914670125676,0.3721914670125676,0.04230410823129422,0.04394636402378148
0,c_x_tangent:c_0p05_0p10,t_0p005_0p01,56,0,0.0,0,0.0,56,1.0,0,0.0,0.01493677695758929,0.01493677695758929,1.0,0.30493885040909136,0.5893518446118721,0.5893518446118721,0.0343761372601398,0.05515704620041064
0,c_x_tangent:c_0p05_0p10,t_0p01_0p02,372,0,0.0,332,0.8924731182795699,372,1.0,0,0.0,0.0553592127633669,0.05953269815211856,0.6078551421434566,1.645128799065083,2.99018415841243,3.328616465475437,0.037993651802647514,0.05345663903924774
0,c_x_tangent:c_0p05_0p10,t_0p02_0p05,104,0,0.0,104,1.0,104,1.0,0,0.0,0.09338197454936042,0.09338197454936042,0.3349171932095557,2.9858126733264063,5.401722217442422,5.401722217442422,0.04697157707672096,0.054009896073497037
0,c_x_tangent:c_0p05_0p10,t_0p05_0p10,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p05_0p10,t_0p10_inf,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p10_0p30,t_0_0p005,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p10_0p30,t_0p005_0p01,16,0,0.0,0,0.0,16,1.0,0,0.0,0.029245143596593064,0.029245143596593064,1.0,0.7676234420400039,0.7753199481022636,0.7753199481022636,0.07364077119559333,0.07544019386622482
0,c_x_tangent:c_0p10_0p30,t_0p01_0p02,40,0,0.0,16,0.4,40,1.0,0,0.0,0.04580431963801893,0.04580431963801893,1.0,0.5217190963084782,1.6300770215148395,1.6300770215148395,0.07175098605008147,0.088822065956545
0,c_x_tangent:c_0p10_0p30,t_0p02_0p05,736,0,0.0,704,0.9565217391304348,536,0.7282608695652174,200,0.2717391304347826,0.1435866488318988,0.15153023948474076,0.43096804363733054,2.3203576570552475,3.795446439154283,4.213598546812784,0.08011538579697777,0.12065312976102306
0,c_x_tangent:c_0p10_0p30,t_0p05_0p10,212,0,0.0,212,1.0,40,0.18867924528301888,172,0.8113207547169812,0.2807809462104102,0.2822480996357872,0.2631647936362259,3.7999003825044517,5.644961992715743,5.885983170771695,0.1087475392516263,0.12408085146436039
0,c_x_tangent:c_0p10_0p30,t_0p10_inf,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p30_0p70,t_0_0p005,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p30_0p70,t_0p005_0p01,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p30_0p70,t_0p01_0p02,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p30_0p70,t_0p02_0p05,16,0,0.0,16,1.0,0,0.0,16,1.0,0.09992773720599217,0.09992773720599217,0.5004240577200412,1.9983052376535073,1.9985547441198432,1.9985547441198432,0.13852553589140743,0.14221152469404771
0,c_x_tangent:c_0p30_0p70,t_0p05_0p10,892,0,0.0,892,1.0,0,0.0,892,1.0,0.34752854546294826,0.3826152207273992,0.1816435710422693,5.5052870534421245,6.950570909258965,7.6523044145479835,0.13838624023098794,0.15228647744279714
0,c_x_tangent:c_0p30_0p70,t_0p10_inf,80,0,0.0,80,1.0,24,0.3,56,0.7,0.6239620462516936,0.6239620462516936,0.09990649761083065,10.025830205471811,23.939240547036928,23.93924054703693,0.1059482973610997,0.1351514077858472
0,c_x_tangent:c_0p70_0p90,t_0_0p005,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,c_x_tangent:c_0p70_0p90,t_0p005_0p01,0,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
