step,mass,mass_drift,c_min,c_max,c_oob_low,c_oob_high,rho_min,rho_max,pressure_min,pressure_max,mu_min,mu_max,u_max,f_pressure_max,f_surf_max,f_mu_max,f_body_max,f_total_max,force_over_rho_max,force_cap_hits,g_min,g_max,wall_cells,write_allowed_cells,wall_ghost_min,wall_ghost_max,nonfinite_count
0,1151.6332540613578,0.0,9.020596492548271e-07,0.9941414338584684,0,0,0.10000081185368434,0.9947272904726217,0.033333603951228113,0.33157576349087386,-2.155422422680661e-05,0.0008062190325630363,3.825646031192756e-17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0004629667215448349,0.2947340119918878,0,0,0.5,0.5,0
1,1151.6332540613578,0.0,7.965761517303102e-07,0.9945160181843508,0,0,0.10000071691853657,0.9950644163659157,0.03333357230617885,0.33168813878863856,-2.1346553076874177e-05,0.0007945018072154198,0.1656673833728342,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0004629667215448349,0.29473401199188787,0,0,0.5,0.5,0
2,1151.6332540613575,-2.2737367544323206e-13,7.236956218712945e-07,0.9948116422325328,0,0,0.10000065132605969,0.9953304780092795,0.033333550442019896,0.33177682600309316,-2.1186233009283323e-05,0.0008035312517274408,0.32946468473672674,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0003668270634138207,0.294856730087544,0,0,0.5,0.5,0
3,1151.6332540613578,0.0,6.700181078897242e-07,0.9950486928449573,0,0,0.10000060301629711,0.9955438235604617,0.0333335343387657,0.33184794118682054,-2.1075300103474112e-05,0.0008092833062264674,0.4992489760025021,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002257926231129957,0.2949138933196733,0,0,0.5,0.5,0
4,1151.6332540613575,-2.2737367544323206e-13,6.285266852717463e-07,0.9952398797909361,0,0,0.10000056567401674,0.9957158918118425,0.03333352189133891,0.33190529727061413,-2.10116265546911e-05,0.0008131960053265209,0.6987999073236892,0.0,0.0,0.0,0.0,0.0,0.0,0,7.612817880616367e-05,0.2949516948590203,0,0,0.5,0.5,0
5,1151.6332540613575,-2.2737367544323206e-13,5.952588606306863e-07,0.99539388227012,0,0,0.10000053573297457,0.9958544940431081,0.03333351191099152,0.33195149801436935,-2.0989485915491494e-05,0.000815994190391491,0.8830704984317166,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.003420997549634515,0.29495983741984705,0,0,0.5,0.5,0
6,1151.6332540613573,-4.547473508864641e-13,5.678221022732316e-07,0.9955172575759134,0,0,0.10000051103989205,0.995965531818322,0.033333503679964016,0.33198851060610735,-2.1001241919785217e-05,0.0008180723911719737,1.1140414443668782,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.01196525882778475,0.2949524832664562,0,0,0.5,0.5,0
7,1151.6332540613573,-4.547473508864641e-13,5.446872678206132e-07,0.9956153371421028,0,0,0.10000049021854104,0.9960538034278925,0.03333349673951368,0.33201793447596417,-2.103885285715443e-05,0.0008196610084914098,1.4039477911405023,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.03757700790129583,0.29493901056458016,0,0,0.5,0.5,0
8,1151.6332540613575,-2.2737367544323206e-13,5.248295544635839e-07,0.9956926158610715,0,0,0.10000047234659902,0.9961233542749643,0.03333349078219967,0.33204111809165476,-2.109485061824084e-05,0.0008209028392118611,1.4043810897125266,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.07542457385017778,0.2949261492713838,0,0,0.5,0.5,0
9,1151.633254061357,-6.821210263296962e-13,5.075345616352165e-07,0.9957529196880744,0,0,0.10000045678110547,0.996177627719267,0.03333348559370182,0.3320592092397556,-2.1162836607516897e-05,0.0008218906842181097,1.323358945881532,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06909773899776771,0.2949161931347354,0,0,0.5,0.5,0
