case,status,theta_deg,init_contact_angle_deg,phase_advection_mode,wetting_ghost_distance,wetting_ghost_sign,measured_mean_deg,target_error_deg,mass_drift,mass_correction_delta,phase_wall_delta_mass,u_max,force_over_rho_max,near_wall_interface_cells,near_wall_force_over_rho_max,near_wall_mu_abs_max,wall_ghost_min,wall_ghost_max,wall_ghost_clamp_low_cells,wall_ghost_clamp_high_cells,nonfinite_count
theta120_init120_100,pass,120.0,120.0,1,1.0,-1.0,143.46694899119407,23.466948991194073,-5.093170329928398e-11,0.0,-2.7888727622162205e-15,0.0013918229108116917,0.001017318944492069,430,0.001017318944492069,0.0017278185888044291,1.286072258740904e-13,0.999275091956154,557,0,0
theta60_init60_100,pass,60.0,60.0,1,1.0,-1.0,94.53069137784557,34.53069137784557,-1.1368683772161603e-11,0.0,-1.2638413555425842e-15,0.001396309907073032,0.000832814695204485,400,0.000832814695204485,0.001610356818742302,2.732149314736364e-13,0.9994627484020637,229,0,0
theta90_init90_100,pass,90.0,90.0,1,1.0,-1.0,120.233755890499,30.233755890498998,-3.637978807091713e-11,0.0,9.033021206268036e-16,0.0011567753341979374,0.0008746510065399354,453,0.0008746510065399354,0.00155124806694154,2.5841726798148985e-13,0.9998366382690947,312,0,0
