source,isotropic_norm,deviatoric_norm,iso_over_dev,fmu_deviatoric_norm,force_over_rho_deviatoric_norm,force_vs_legacy
legacy,,362.11242942021437,,11.673532893296445,2124.2842100288635,0.8057473769536411
raw,,14322.643828564242,,71.277972363803,13547.993348166909,5.138794541584688
bgk,,14322.643828564238,,89.09746545475373,16935.232667669443,6.423584582351558
post,,1766155.433956263,,,,
