1.363249794067946254e+02,3.914616671620448756e+02,6.165081524026344368e+02,7.451611521620034182e+02,6.755421392838165957e+02,3.685089632747594806e+02,1.385443556415107196e+02,3.438045254373582793e+01,7.318698407032115938e+00,1.673074523559080262e+00,3.173321298422706604e-01,6.591771791454448248e-02,1.354074298433260992e-02,1.650051731303392444e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529974047842616756e+02,4.479710092737866489e+02,7.397785243798613237e+02,1.054325697420634242e+03,1.328395948485279860e+03,1.492349716587679723e+03,1.525224105463159503e+03,1.105300084092541510e+03,5.539367298932647827e+02,3.309133959889841208e+02,1.762130648140555422e+02,1.274771574727947154e+02,1.056372714026565518e+02,8.397059948633614113e+01,7.111031645483308239e+01,5.920809147120962734e+01,4.665841844939313887e+01,3.758523065427289112e+01,4.112719400509377010e+01,1.972667761573029566e+01,1.606318431026920734e+01,1.234967215878896241e+01,9.470236779212427791e+00,6.813600171333746403e+00,4.797471506062720437e+00,3.124915157906798413e+00,2.108289038258590153e+00,1.244538175415073056e+00,1.040902610631746938e+00,1.486518539983080700e+00,2.636725566086170147e+00,4.068764313713472802e+00,8.200094182011525845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529998931865313807e+02,4.479985166577189375e+02,7.399871398646960188e+02,1.055897361076365769e+03,1.339254022358571547e+03,1.555435694608862832e+03,1.838338044036713654e+03,1.963874886946546212e+03,1.687916509778284308e+03,1.328446537600020747e+03,7.515664531670809083e+02,4.846403176084349980e+02,3.624494359223808715e+02,2.787720627781673102e+02,2.331154009191686782e+02,1.953484581721022550e+02,1.562360220025784656e+02,1.305743760062759975e+02,1.533855314657503186e+02,7.946634049651584064e+01,6.860947592756565427e+01,5.584382372831896646e+01,4.515106440048111835e+01,3.414231544923131878e+01,2.521761664507175738e+01,1.737160466483328491e+01,1.301506639007311605e+01,1.066371438424903317e+01,1.497336422898661112e+01,2.670702069520848454e+01,4.407295392243395327e+01,4.682766824152713525e+01,7.388207350548327668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529999935297871900e+02,4.479996877169384106e+02,7.399966265573074224e+02,1.055972132212835959e+03,1.339797079750425837e+03,1.558832288810942373e+03,1.860585369567700582e+03,2.080363300225174498e+03,2.069293597517384114e+03,2.064264757335127797e+03,1.480466434062909684e+03,1.024464532924635932e+03,7.367411335775268526e+02,5.450178323765831010e+02,4.374217859425407369e+02,3.571395863285688392e+02,2.811082601414273086e+02,2.346552618730129325e+02,2.803757126500277082e+02,1.478663681658035784e+02,1.288738747450770461e+02,1.059559009119002440e+02,8.630757390898725134e+01,6.606326841295594932e+01,4.998717984193717712e+01,3.678592929719161475e+01,3.364262071334451321e+01,4.359787268109357683e+01,8.033689543563014013e+01,1.344163324828841724e+02,1.588738275913274265e+02,9.922597781600416056e+01,1.221808338693517726e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529999673887392930e+02,4.479995627869097916e+02,7.399967219276421702e+02,1.055978235646431131e+03,1.339862605929296024e+03,1.559322635963614175e+03,1.864100619158533846e+03,2.101088407961971825e+03,2.161345608119425378e+03,2.349947757610352710e+03,1.950127869263691537e+03,1.512225583142777396e+03,1.127345306723400427e+03,8.340828754399663012e+02,6.513793406893273641e+02,5.184930207193137903e+02,3.990129349284616183e+02,3.285094369164689851e+02,3.916791926546466129e+02,2.063804952201098786e+02,1.791118412588220963e+02,1.468767987316605286e+02,1.196080138786091993e+02,9.276764391836695722e+01,7.337789580280150403e+01,6.121994015307427617e+01,7.553177745295397472e+01,1.371709254315392172e+02,2.559610230710313772e+02,3.290514052430735319e+02,2.653708372783112281e+02,1.214408147295580420e+02,1.354191894887117087e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529998160286195628e+02,4.479986772043404244e+02,7.399935323931066478e+02,1.055969074956813984e+03,1.339844473710565126e+03,1.559369706381834476e+03,1.864830333951100329e+03,2.106458683130364989e+03,2.188776301996345865e+03,2.455499999122643203e+03,2.186426936682915766e+03,1.838863343454233473e+03,1.441734867785198730e+03,1.092784303043536056e+03,8.474889637564883742e+02,6.654338953457081516e+02,5.032647656992376142e+02,4.088472973410607665e+02,4.855280896685180778e+02,2.554604248651485250e+02,2.212585433051244763e+02,1.818308690774792922e+02,1.496701742166624172e+02,1.199212498914239404e+02,1.021818759104935452e+02,9.938143567135193734e+01,1.551868941018001351e+02,3.197394553458980226e+02,5.194661559965315973e+02,4.971361814153242449e+02,3.146855673840509553e+02,1.277941203168629727e+02,1.385351518324387143e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529993802005978694e+02,4.479963571589827325e+02,7.399858497364901950e+02,1.055947060182644918e+03,1.339782328572398455e+03,1.559260424182190945e+03,1.864747876601145435e+03,2.107727831671298190e+03,2.197977864582921029e+03,2.497810038479656214e+03,2.301286800223622777e+03,2.033645804841100471e+03,1.661654862679559301e+03,1.296990060971242201e+03,1.012183731658868055e+03,7.931279545735342253e+02,5.942572770023507474e+02,4.782311540569608042e+02,5.673420227397145936e+02,2.993122426060617727e+02,2.600155932881789340e+02,2.154650515172907035e+02,1.807982211467715388e+02,1.511277340412052581e+02,1.394087763734096370e+02,1.546316223498834006e+02,2.780011772176985687e+02,5.735196834294110886e+02,7.729666677391942358e+02,5.925618234778121405e+02,3.330459619822395325e+02,1.297011968643055297e+02,1.394160854195797583e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529984040815301967e+02,4.479914934381213243e+02,7.399710637535488331e+02,1.055908288038203636e+03,1.339676378147960349e+03,1.559044259328576118e+03,1.864258142019770276e+03,2.107337176929801899e+03,2.200279469932047505e+03,2.514957962871894779e+03,2.358057259022058133e+03,2.147152873491570062e+03,1.808168601795568975e+03,1.448958635064751434e+03,1.143376505458349129e+03,8.996820326089982700e+02,6.719869173316219531e+02,5.380240428386423446e+02,6.398838646531403356e+02,3.396961583924967272e+02,2.969257357001406490e+02,2.488506723877508193e+02,2.134388610418973258e+02,1.861450042340438813e+02,1.842079223280197766e+02,2.260923672970129701e+02,4.385920799234845617e+02,8.499216299262770917e+02,9.612942093643105181e+02,6.394319534988790110e+02,3.401727508502808632e+02,1.303803155476525717e+02,1.397244640488133882e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529965530178470203e+02,4.479826646574821893e+02,7.399458370872032447e+02,1.055846997068716519e+03,1.339518301448669718e+03,1.558724014430598345e+03,1.863462153632175614e+03,2.105995735536800566e+03,2.199183849175567957e+03,2.520208883320869063e+03,2.385105798016456902e+03,2.212117806702972302e+03,1.903397004250909959e+03,1.558444336172680778e+03,1.244901086018391652e+03,9.867363711976140621e+02,7.377235222777053423e+02,5.893654683899439988e+02,7.040020466692694754e+02,3.766465130788674287e+02,3.316967027647770010e+02,2.813887076042519766e+02,2.465955004320458102e+02,2.234985555177045171e+02,2.345472469197957253e+02,3.109198808712317259e+02,6.230900580252819054e+02,1.104599485553138948e+03,1.084384906073348247e+03,6.623005636987945763e+02,3.432520874198016827e+02,1.306634335449562059e+02,1.398521324324246962e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529934189540362297e+02,4.479681588322276866e+02,7.399061974340913821e+02,1.055756230987501567e+03,1.339296299680070661e+03,1.558288163594103935e+03,1.862374995762020262e+03,2.103935671644985632e+03,2.195973207684690351e+03,2.518791429042510572e+03,2.395336571745159745e+03,2.246966514737296166e+03,1.962930415853894374e+03,1.634262918928016006e+03,1.320688666742946225e+03,1.055914926373017806e+03,7.925142385769686371e+02,6.332017772271246940e+02,7.602487202488155162e+02,4.098397043808035960e+02,3.634320157776310225e+02,3.118326419052355050e+02,2.788222861046633625e+02,2.615612343641660118e+02,2.884447284275120182e+02,4.057610985091923794e+02,8.161957810701387643e+02,1.317211760825804959e+03,1.161530852372212394e+03,6.740806463248190994e+02,3.447414653848973103e+02,1.307981617207042291e+02,1.399124923018098343e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
