status,step,file,dims,shell_min_lu,shell_max_lu,phase_floor,shell_fluid_cell_count,shell_liquid_cell_count,shell_phi_sum,shell_phi_mean,theta_weighted_mean_deg,theta_weighted_p90_deg,theta_weighted_p95_deg,theta_weighted_p99_deg,theta_max_phi005_deg,theta_max_phi05_deg,theta_gt05_cell_count,theta_gt005_cell_count,top60_phi_sum,top90_phi_sum,lower90_phi_sum,bottom120_phi_sum,bottom135_phi_sum,bottom150_phi_sum,lower90_phi_fraction,bottom120_phi_fraction,bottom135_phi_fraction,bottom150_phi_fraction,bottom150_phi_max,global_fit_angle_deg,global_H1H2_error_percent,global_H1H2_lu,global_fluid_phase_drift_percent
exploratory_not_validation,0,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00000000.vti,96x80x140,0.0,8.0,1e-06,71201,23903,3115.8220754502304,0.043760931383691665,17.869740605305434,27.92746040295835,30.65330424928928,36.08051649158879,35.795759914707084,27.474785630176836,2908,6362,3115.8068846555366,3115.8220754502304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,163.59725731395724,142.1250928011663,47.48976686071707,0.0
exploratory_not_validation,50000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00050000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,9565.931465941841,0.1343510830738591,30.52012842003219,47.79741326494029,62.245092770869476,94.2105773576099,161.24374194161535,46.4588974609997,8627,17540,9034.88283865629,9454.796512021343,126.8786993668196,21.328134326242846,11.2974586240021,7.525499297994335,0.01326360112640922,0.0022295930513592617,0.0011810097808274205,0.0007866980152207676,0.06721711818610884,110.51393148529378,107.32389196120356,40.66395258743138,-0.497737766450371
exploratory_not_validation,100000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00100000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,15345.686900681705,0.21552628334829152,39.84296254371122,66.54586268400392,85.2729763984101,133.7724622072606,161.24374194161535,161.24374194161535,13458,29316,13346.355376889964,14759.911952495664,642.8357679911163,206.2372165230579,150.63292882300755,98.28882951449808,0.041890322157071995,0.013439425543987618,0.009815978248345203,0.00640498077085958,0.5593513203183105,82.97958184020953,76.5566535592272,34.62934889661177,-0.9064005317553171
exploratory_not_validation,150000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00150000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,19931.64707849157,0.2799349317915699,46.55424125245226,79.57127956932965,101.49045990373153,152.28481677021554,161.24374194161535,161.24374194161535,17572,38161,15875.035800211115,18570.641806519372,1464.5274180406045,649.0847192460142,528.6689893936566,270.31788879425903,0.0734774909606437,0.032565533429821145,0.026524099454086177,0.01356224539445923,0.8854074057728104,62.47267540927617,55.006526827410994,30.40256478897166,-1.2543373434670153
exploratory_not_validation,200000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00200000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,23562.90901408962,0.330935085379273,51.74657932693262,90.0,131.4698603709074,152.78507729277376,161.24374194161535,161.24374194161535,21027,44266,17234.99557489922,21238.427733080556,2469.090523773404,1332.666538111439,1122.5369247024023,400.353570956712,0.10478716877856604,0.056557810298998354,0.04763999742269399,0.016990838046241134,0.970892710974535,54.87418900050058,39.44908176511726,27.351169204939964,-1.5318834550326015
exploratory_not_validation,250000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00250000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,26459.67952433321,0.3716194930455079,55.86830538402641,103.93209154925806,141.60180632186157,152.60402895307664,161.24374194161535,161.24374194161535,23926,48530,17937.03087901289,23075.971602394846,3563.0945523495084,2149.4252013254836,1792.6749956419512,456.3332028841668,0.13466128904066155,0.08123398468786441,0.0677511983466522,0.017246361675110518,0.9907428635414235,46.51089854486737,27.900887832193483,25.086137393523117,-1.7563638978
exploratory_not_validation,300000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00300000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,28797.452040690114,0.4044529155586314,59.15458965500916,123.93255021914766,142.6485154225526,152.36580239315222,161.24374194161535,161.24374194161535,26286,51680,18299.167616433133,24345.142677175634,4661.839383314491,2987.778517975835,2415.7369420349487,476.68876738856784,0.1618837450176989,0.10375148863011127,0.0838871764981697,0.01655315778336979,0.996345330648661,41.8356003628963,19.075121431115452,23.355075222703263,-1.9467732745130768
exploratory_not_validation,350000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00350000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,30706.83547770335,0.43126972202220965,61.787430042593314,133.8575886797122,142.7448716209616,152.28481677021554,161.24374194161535,161.24374194161535,28346,54108,18487.63277105517,25233.765300929437,5709.005971550256,3784.0656751408214,2935.1733055922814,484.5255128027774,0.1859197107984521,0.12323203014157819,0.09558696817597992,0.01577907671907768,0.9983077326670502,38.51169642388861,12.089349888742571,21.984904712693563,-2.115004148349694
exploratory_not_validation,400000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00400000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,32273.2272838191,0.45326929795675763,63.90669159789901,135.82210329064512,142.69415703756033,152.07253959704167,161.24374194161535,161.24374194161535,29966,55882,18581.088594095334,25860.663046429112,6671.570901416446,4507.742875349616,3339.1856895333713,487.900734208017,0.2067215293575981,0.13967437578235856,0.10346612255934957,0.015117816694230544,0.9991177064214489,36.112328210879845,6.3931560358765225,20.86766851492284,-2.2693888123058583
exploratory_not_validation,450000,/mnt/8A0E24070E23EAC1/runs/tclb_pre2025_sphere_theta030_profile_radAngle011_M0p1_W6_600k_20260610/theta030/output/case_VTK_P00_00450000.vti,96x80x140,0.0,8.0,1e-06,71201,71201,33555.59215044793,0.4712797875092755,65.62990009979964,136.29981025195227,142.48171778224298,151.98560187789178,161.24374194161535,161.24374194161535,31450,57385,18617.586860098814,26296.159818754302,7538.4923466467435,5152.755743865548,3642.354135858611,489.53087633579673,0.22465681168276191,0.15355877854167937,0.10854685918007231,0.014588652590035193,0.9994953936835208,34.139842525470335,1.625804889788968,19.932613036568142,-2.4157249311981213
