case_id,step,active_count,normal_limiter_fraction,vector_limiter_fraction,outer90_limiter_count,max_mach,nonfinite_total,write_mode_allowed,root_cause,raw_delta_p99,normal_delta_limited_p99,limiter_ratio_p50
theta030_cap_on_sphere_shadow,1000,5460,0.7304029304029304,0.0,0,1.892877581620868e-05,0,False,undetermined_shadow_only_normal_limiter_dominated,0.4794265072846032,0.008925232203090985,0.4122576787348907
theta030_free_sphere_shadow,1000,924,0.8528138528138528,0.0,0,0.0003084275362609073,0,False,undetermined_shadow_only_normal_limiter_dominated,0.6470816609500727,-2.941689785117156e-05,0.13520012159572392
